Gamagori Hotel,443-0022,Aichi Prefecture,2-82 Miyakitadori Gamagori,111,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d299366-Reviews-Gamagori_Hotel-Gamagori_Aichi_Prefecture_Chubu.html
Gamagori Classic Hotel,443-0031,Aichi Prefecture,15-1 Takeshima-cho Gamagori,27,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d300891-Reviews-Gamagori_Classic_Hotel-Gamagori_Aichi_Prefecture_Chubu.html
Hiranoya,443-0021,Aichi Prefecture,"1-21 Minamiyama, Miyacho Gamagori",,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074025-Reviews-Hiranoya-Gamagori_Aichi_Prefecture_Chubu.html
Hotel Takeshima,443-0031,Aichi Prefecture,1-6 Takeshimacho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074118-Reviews-Hotel_Takeshima-Gamagori_Aichi_Prefecture_Chubu.html
Hotel Tatsuki,443-0105,Aichi Prefecture,25 Oyama Nishiuracho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074124-Reviews-Hotel_Tatsuki-Gamagori_Aichi_Prefecture_Chubu.html
Hotel Meizansou,443-0021,Aichi Prefecture,14-1 Tobikake Miyacho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074128-Reviews-Hotel_Meizansou-Gamagori_Aichi_Prefecture_Chubu.html
Higaki Hotel,443-0021,Aichi Prefecture,1-59 Miyacho Minamiyama Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074142-Reviews-Higaki_Hotel-Gamagori_Aichi_Prefecture_Chubu.html
Ginpaso,443-0105,Aichi Prefecture,25 Oyama Nishiuracho Gamagori,66,$$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074146-Reviews-Ginpaso-Gamagori_Aichi_Prefecture_Chubu.html
Tatsuki Bekkan Aoi,443-0105,Aichi Prefecture,17-14 Oyama Nishiuracho Gamagori,,$$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074150-Reviews-Tatsuki_Bekkan_Aoi-Gamagori_Aichi_Prefecture_Chubu.html
Suehiro,443-0105,Aichi Prefecture,17 Oyama Nishiuracho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074155-Reviews-Suehiro-Gamagori_Aichi_Prefecture_Chubu.html
Wano Resort Hazu,443-0105,Aichi Prefecture,17 Oyama Nishiuracho Gamagori,45,$,http://www.tripadvisor.com/Hotel_Review-g298104-d1074168-Reviews-Wano_Resort_Hazu-Gamagori_Aichi_Prefecture_Chubu.html
Fujimiso,443-0105,Aichi Prefecture,17-1 Oyama Nishiura-cho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1088641-Reviews-Fujimiso-Gamagori_Aichi_Prefecture_Chubu.html
Hotel Mikawa Kaiyokaku,443-0021,Aichi Prefecture,1-69 Miya-cho Minamiyama Gamagori,,$,http://www.tripadvisor.com/Hotel_Review-g298104-d1088646-Reviews-Hotel_Mikawa_Kaiyokaku-Gamagori_Aichi_Prefecture_Chubu.html
Hotel Tokaien,443-0105,Aichi Prefecture,17-1 Nishiura-cho Oyama Gamagori,82,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1088651-Reviews-Hotel_Tokaien-Gamagori_Aichi_Prefecture_Chubu.html
Nishiura Grand Hotel Kikkei,443-0105,Aichi Prefecture,3 Nishiura-cho Shiogara Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1088654-Reviews-Nishiura_Grand_Hotel_Kikkei-Gamagori_Aichi_Prefecture_Chubu.html
Suzuoka,443-0102,Aichi Prefecture,3-14 Kanehira-cho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1088659-Reviews-Suzuoka-Gamagori_Aichi_Prefecture_Chubu.html
Laguna Gamagori,443-0014,Aichi Prefecture,2-8 Kaiyocho Gamagori,,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1088661-Reviews-Laguna_Gamagori-Gamagori_Aichi_Prefecture_Chubu.html
Shofuen,443-0021,Aichi Prefecture,"14-4 Tobikake, Miyacho Gamagori",100,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1092332-Reviews-Shofuen-Gamagori_Aichi_Prefecture_Chubu.html
Gamagori Orange Pension,443-0013 ,Aichi Prefecture,"52-8 Hoshigoe, Otsukacho Gamagori",,$$,http://www.tripadvisor.com/Hotel_Review-g298104-d1095478-Reviews-Gamagori_Orange_Pension-Gamagori_Aichi_Prefecture_Chubu.html
