Hotel Metropolitan Akita,010-8530,Akita Prefecture,7-2-1 Naka-dori Akita,115,$$,http://www.tripadvisor.com/Hotel_Review-g298239-d482034-Reviews-Hotel_Metropolitan_Akita-Akita_Akita_Prefecture_Tohoku.html
Akita Castle Hotel,010-0001,Akita Prefecture,1-3-5 Nakadori Akita,150,$$,http://www.tripadvisor.com/Hotel_Review-g298239-d581759-Reviews-Akita_Castle_Hotel-Akita_Akita_Prefecture_Tohoku.html
Akita View Hotel,010-0001,Akita Prefecture,2-6-1 Nakadori Akita,192,$,http://www.tripadvisor.com/Hotel_Review-g298239-d583266-Reviews-Akita_View_Hotel-Akita_Akita_Prefecture_Tohoku.html
Comfort Hotel Akita,010-0874,Akita Prefecture,3-23 Senshukubota-machi Akita,159,$,http://www.tripadvisor.com/Hotel_Review-g298239-d623300-Reviews-Comfort_Hotel_Akita-Akita_Akita_Prefecture_Tohoku.html
Akita Park Hotel,010-0951,Akita Prefecture,4-5-10 Sanno Akita,,$,http://www.tripadvisor.com/Hotel_Review-g298239-d628441-Reviews-Akita_Park_Hotel-Akita_Akita_Prefecture_Tohoku.html
Hakuchoso,010-0877,Akita Prefecture,10-22 Senshuyadomemachi Akita,,$,http://www.tripadvisor.com/Hotel_Review-g298239-d1045252-Reviews-Hakuchoso-Akita_Akita_Prefecture_Tohoku.html
Kokaso,010-0865,Akita Prefecture,4-3 Tegatashinsakaemachi Akita,,,http://www.tripadvisor.com/Hotel_Review-g298239-d1045253-Reviews-Kokaso-Akita_Akita_Prefecture_Tohoku.html
Hotel Pearl City Akita,010-0921,Akita Prefecture,3-4-18 Omachi Akita,113,$,http://www.tripadvisor.com/Hotel_Review-g298239-d1045254-Reviews-Hotel_Pearl_City_Akita-Akita_Akita_Prefecture_Tohoku.html
Akita Onsen Plaza,010-0822,Akita Prefecture,142-3 Keidaikawara Soegawa Akita,,$,http://www.tripadvisor.com/Hotel_Review-g298239-d1045261-Reviews-Akita_Onsen_Plaza-Akita_Akita_Prefecture_Tohoku.html
Akitsuki Yakata,010-0922,Akita Prefecture,5-31 Kyokuhokusakaemachi Akita,,$,http://www.tripadvisor.com/Hotel_Review-g298239-d1045262-Reviews-Akitsuki_Yakata-Akita_Akita_Prefecture_Tohoku.html
