Hotel JAL City Aomori,030-0803,Aomori Prefecture,2-4-12 Yasukata Aomori,167,$,http://www.tripadvisor.com/Hotel_Review-g298241-d307687-Reviews-Hotel_JAL_City_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Alaska,030-0801,Aomori Prefecture,1-11-22 Shin-machi Aomori,78,$,http://www.tripadvisor.com/Hotel_Review-g298241-d628673-Reviews-Hotel_Alaska-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Shoen,039-3501,Aomori Prefecture,"322 Hotarudani, Asamushi Aomori",,,http://www.tripadvisor.com/Hotel_Review-g298241-d1050320-Reviews-Hotel_Shoen-Aomori_Aomori_Prefecture_Tohoku.html
Super Hotel Aomori,030-0823,Aomori Prefecture,1-3-14 Hashimoto Aomori,,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050330-Reviews-Super_Hotel_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Tatsumikan,039-3501,Aomori Prefecture,281Yamashita Asamushi Aomori,,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050373-Reviews-Tatsumikan-Aomori_Aomori_Prefecture_Tohoku.html
APA Hotel Aomorieki-Higashi,030-0803,Aomori Prefecture,1-11-2 Yasukata Aomori,140,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050374-Reviews-APA_Hotel_Aomorieki_Higashi-Aomori_Aomori_Prefecture_Tohoku.html
La Place Aoimori,030-0822,Aomori Prefecture,1-11-18 Chuo Aomori,,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050375-Reviews-La_Place_Aoimori-Aomori_Aomori_Prefecture_Tohoku.html
Aomori Kokusai Hotel,030-0801,Aomori Prefecture,1-6-18 Shinmachi Aomori,67,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050378-Reviews-Aomori_Kokusai_Hotel-Aomori_Aomori_Prefecture_Tohoku.html
Cottage Hotel Chocolat,039-3524,Aomori Prefecture,248-118 Sumiyoshi Takisawa Aomori,,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050380-Reviews-Cottage_Hotel_Chocolat-Aomori_Aomori_Prefecture_Tohoku.html
Ogawa,039-3501,Aomori Prefecture,280 Yamashita Asamushi Aomori,,,http://www.tripadvisor.com/Hotel_Review-g298241-d1050382-Reviews-Ogawa-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Fujisawa Hakkoda,030-0111,Aomori Prefecture,1-57 Aza kansuizawaza Arakawa Aomori,50,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050388-Reviews-Hotel_Fujisawa_Hakkoda-Aomori_Aomori_Prefecture_Tohoku.html
Yanagi no Yu,039-3501,Aomori Prefecture,236 Yamashita Asamushi Aomori,,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050392-Reviews-Yanagi_no_Yu-Aomori_Aomori_Prefecture_Tohoku.html
Aomori Green Park Hotel Annex,030-0802,Aomori Prefecture,2-5-18 Honcho Aomori,,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050395-Reviews-Aomori_Green_Park_Hotel_Annex-Aomori_Aomori_Prefecture_Tohoku.html
Hotel crown palace Aomori,030-0802,Aomori Prefecture,5-5-4 Honcho Aomori,44,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050397-Reviews-Hotel_crown_palace_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Akitaya,039-3501,Aomori Prefecture,293-12 Hotarudani Asamushi Aomori,38,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050404-Reviews-Hotel_Akitaya-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Neo Pal Aomori,030-0803,Aomori Prefecture,2-6-6 Yasukata Aomori,107,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050409-Reviews-Hotel_Neo_Pal_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Sukayu Onsen Ryokan,030-0111,Aomori Prefecture,"50 Sukayuzawa, Minami Arakawasan Kokuyurin, Arakawa Aomori",52,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050414-Reviews-Sukayu_Onsen_Ryokan-Aomori_Aomori_Prefecture_Tohoku.html
Alpha Hotel Aomori,030-0823,Aomori Prefecture,1-1-7 Hashimoto Aomori,,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050415-Reviews-Alpha_Hotel_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Futabaso,039-3501,Aomori Prefecture,249 Yamashita Asamushi Aomori,,,http://www.tripadvisor.com/Hotel_Review-g298241-d1050417-Reviews-Futabaso-Aomori_Aomori_Prefecture_Tohoku.html
Toyoko Inn Aomori-Eki Shomenguchi,030-0803,Aomori Prefecture,1-3-5 Yasukata Aomori,194,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1050425-Reviews-Toyoko_Inn_Aomori_Eki_Shomenguchi-Aomori_Aomori_Prefecture_Tohoku.html
Aomori Grand Hotel,030-0801,Aomori Prefecture,1-1-23 Shin-machi Aomori,139,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082087-Reviews-Aomori_Grand_Hotel-Aomori_Aomori_Prefecture_Tohoku.html
Aomori Green Park Hotel,030-0802,Aomori Prefecture,1-4-16 Hon-cho Aomori,,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082091-Reviews-Aomori_Green_Park_Hotel-Aomori_Aomori_Prefecture_Tohoku.html
Art Hotel Color Aomori,030-0801,Aomori Prefecture,2-5-6 Shin-machi Aomori,89,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082092-Reviews-Art_Hotel_Color_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Aomori Washington Hotel,030-0802,Aomori Prefecture,2-1-26 Hon-cho Aomori,248,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082094-Reviews-Aomori_Washington_Hotel-Aomori_Aomori_Prefecture_Tohoku.html
Asamushi Kanko Hotel,039-3501,Aomori Prefecture,"51-1 Sakamoto, Asamushi Aomori",49,$$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082097-Reviews-Asamushi_Kanko_Hotel-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Hagino,039-3501,Aomori Prefecture,"75 Hotarudani, Asamushi Aomori",,,http://www.tripadvisor.com/Hotel_Review-g298241-d1082107-Reviews-Hotel_Hagino-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Sunroute Aomori,030-0801,Aomori Prefecture,1-9-8 Shin-machi Aomori,180,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082109-Reviews-Hotel_Sunroute_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Smile Hotel Aomori,030-0802,Aomori Prefecture,2-4-7 Honcho Aomori,,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082110-Reviews-Smile_Hotel_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
Hotel Aomori,030-0812,Aomori Prefecture,1-1-23 Tsutsumi-machi Aomori,155,$,http://www.tripadvisor.com/Hotel_Review-g298241-d1082189-Reviews-Hotel_Aomori-Aomori_Aomori_Prefecture_Tohoku.html
