Apa Hotel & Resort Tokyo Bay Makuhari,261-8525,Chiba Prefecture,"2-3 Hibino, Mihama-ku Chiba",1001,$,http://www.tripadvisor.com/Hotel_Review-g298158-d301220-Reviews-Apa_Hotel_Resort_Tokyo_Bay_Makuhari-Chiba_Chiba_Prefecture_Kanto.html
New Otani Makuhari Hotel,261-0021,Chiba Prefecture,2-120-3 Hibino Mihama-ku Chiba,418,$$,http://www.tripadvisor.com/Hotel_Review-g298158-d301297-Reviews-New_Otani_Makuhari_Hotel-Chiba_Chiba_Prefecture_Kanto.html
Okura Chiba Hotel,260-0024 ,Chiba Prefecture,1-13-3 Chuominato Chuo-Ku Chiba,84,$,http://www.tripadvisor.com/Hotel_Review-g298158-d301718-Reviews-Okura_Chiba_Hotel-Chiba_Chiba_Prefecture_Kanto.html
Hotel The Manhattan,261-0021,Chiba Prefecture,2-10-1 Hibino Mihama-Ku Chiba,130,$$,http://www.tripadvisor.com/Hotel_Review-g298158-d481658-Reviews-Hotel_The_Manhattan-Chiba_Chiba_Prefecture_Kanto.html
Chiba Washington Hotel,260-0015,Chiba Prefecture,"1-13-1 Fujimi, Chuo-ku Chiba",181,$,http://www.tripadvisor.com/Hotel_Review-g298158-d626334-Reviews-Chiba_Washington_Hotel-Chiba_Chiba_Prefecture_Kanto.html
Urban Hotel Sanko,260-0834,Chiba Prefecture,2-11-8 Imai Chuo-ku Chiba,,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078578-Reviews-Urban_Hotel_Sanko-Chiba_Chiba_Prefecture_Kanto.html
Birdie Hotel Chiba,260-0031,Chiba Prefecture,1-6-5 Shinchiba Chuo-ku Chiba,151,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078579-Reviews-Birdie_Hotel_Chiba-Chiba_Chiba_Prefecture_Kanto.html
Business Hotel Heisei,261-0002,Chiba Prefecture,93-1 Shinminato Mihama-ku Chiba,,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078580-Reviews-Business_Hotel_Heisei-Chiba_Chiba_Prefecture_Kanto.html
Business Hotel Marine,261-0004,Chiba Prefecture,3-20-42 Takasu Mihama-ku Chiba,,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078581-Reviews-Business_Hotel_Marine-Chiba_Chiba_Prefecture_Kanto.html
Dormy Inn Soga,260-0842,Chiba Prefecture,"2-15-4 Minamicho, Chuo-ku Chiba",113,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078582-Reviews-Dormy_Inn_Soga-Chiba_Chiba_Prefecture_Kanto.html
Famyinn Makuhari,262-0033,Chiba Prefecture,1-33-3 Makuharihongo Hanamigawa-ku Chiba,184,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078583-Reviews-Famyinn_Makuhari-Chiba_Chiba_Prefecture_Kanto.html
Grand Park Hotel Excel Chiba,264-0036,Chiba Prefecture,"123-4 Tonodai-cho, Wakaba-ku Chiba",73,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078584-Reviews-Grand_Park_Hotel_Excel_Chiba-Chiba_Chiba_Prefecture_Kanto.html
Hakusen Ryokan,260-0045,Chiba Prefecture,2-21-1 Benten Chuo-ku Chiba,,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078585-Reviews-Hakusen_Ryokan-Chiba_Chiba_Prefecture_Kanto.html
Hotel Francs,261-0021,Chiba Prefecture,2-10-2 Hibino Mihama-ku Chiba,222,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078586-Reviews-Hotel_Francs-Chiba_Chiba_Prefecture_Kanto.html
Hotel Green Tower Makuhari,261-0021,Chiba Prefecture,"2-10-3 Hibino, Mihama-ku Chiba",204,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078588-Reviews-Hotel_Green_Tower_Makuhari-Chiba_Chiba_Prefecture_Kanto.html
Hotel New Tsukamono,260-0026,Chiba Prefecture,7-1 Chibaminato Chuo-ku Chiba,134,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078589-Reviews-Hotel_New_Tsukamono-Chiba_Chiba_Prefecture_Kanto.html
Hotel Port Plaza Chiba,260-0026,Chiba Prefecture,8-5 Chibaminato Chuo-ku Chiba,,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078590-Reviews-Hotel_Port_Plaza_Chiba-Chiba_Chiba_Prefecture_Kanto.html
Hotel Sun City Chiba,260-0031,Chiba Prefecture,1-3-18 Shinchiba Chuo-ku Chiba,,$,http://www.tripadvisor.com/Hotel_Review-g298158-d1078591-Reviews-Hotel_Sun_City_Chiba-Chiba_Chiba_Prefecture_Kanto.html
