ANA Hotel Matsuyama,790-8520,Ehime Prefecture,3-2-1 Ichiban-cho Matsuyama,330,$,http://www.tripadvisor.com/Hotel_Review-g298230-d300484-Reviews-ANA_Hotel_Matsuyama-Matsuyama_Ehime_Prefecture_Shikoku.html
Hotel JAL City Matsuyama,790-0067,Ehime Prefecture,1-10-10 Otemachi Matsuyama,161,$,http://www.tripadvisor.com/Hotel_Review-g298230-d307681-Reviews-Hotel_JAL_City_Matsuyama-Matsuyama_Ehime_Prefecture_Shikoku.html
Hotel Patio Dogo,790-0842,Ehime Prefecture,20-12 Yuno-machi Matsuyama,101,$,http://www.tripadvisor.com/Hotel_Review-g298230-d320880-Reviews-Hotel_Patio_Dogo-Matsuyama_Ehime_Prefecture_Shikoku.html
International Hotel Matsuyama,790-0001,Ehime Prefecture,1-13 Ichiban-cho Matsuyama,,$,http://www.tripadvisor.com/Hotel_Review-g298230-d320881-Reviews-International_Hotel_Matsuyama-Matsuyama_Ehime_Prefecture_Shikoku.html
Minshuku Miyoshi,790-0852,Ehime Prefecture,3-7-23 Ishite Matsuyama,,$,http://www.tripadvisor.com/Hotel_Review-g298230-d320882-Reviews-Minshuku_Miyoshi-Matsuyama_Ehime_Prefecture_Shikoku.html
Umenoya,790-0853　,Ehime Prefecture,2-8-9 Kami-ichi Matsuyama,,$$,http://www.tripadvisor.com/Hotel_Review-g298230-d320883-Reviews-Umenoya-Matsuyama_Ehime_Prefecture_Shikoku.html
Yamatoya Besso,790-0836,Ehime Prefecture,2-27 Dogo Sagidani-cho Matsuyama,,$$$,http://www.tripadvisor.com/Hotel_Review-g298230-d320884-Reviews-Yamatoya_Besso-Matsuyama_Ehime_Prefecture_Shikoku.html
Matsuyama Tokyu Inn,790-0001,Ehime Prefecture,3-3-1 Ichibancho Matsuyama,245,$,http://www.tripadvisor.com/Hotel_Review-g298230-d505512-Reviews-Matsuyama_Tokyu_Inn-Matsuyama_Ehime_Prefecture_Shikoku.html
Matsuyama Youth Hostel,790-0858,Ehime Prefecture,22-3 Himezuka Otsu Matsuyama,23,$,http://www.tripadvisor.com/Hotel_Review-g298230-d523978-Reviews-Matsuyama_Youth_Hostel-Matsuyama_Ehime_Prefecture_Shikoku.html
Toyoko Inn Matsuyama Ichiban-cho,790-0001 ,Ehime Prefecture,"1-10-8, Ichi-banchou Matsuyama",216,$,http://www.tripadvisor.com/Hotel_Review-g298230-d679741-Reviews-Toyoko_Inn_Matsuyama_Ichiban_cho-Matsuyama_Ehime_Prefecture_Shikoku.html
Business Hotel Katsuyama,790-0878,Ehime Prefecture,1-11-1 Katsuyamacho Matsuyama,,$,http://www.tripadvisor.com/Hotel_Review-g298230-d1071398-Reviews-Business_Hotel_Katsuyama-Matsuyama_Ehime_Prefecture_Shikoku.html
Business Hotel Clark,790-0011,Ehime Prefecture,8 Chome 132 Banchi1 Chifunemachi Matsuyama,,$,http://www.tripadvisor.com/Hotel_Review-g298230-d1071403-Reviews-Business_Hotel_Clark-Matsuyama_Ehime_Prefecture_Shikoku.html
