Hotel Fujita Fukui,910-0005,Fukui Prefecture,3-12-20 Ote Fukui,354,$,http://www.tripadvisor.com/Hotel_Review-g298110-d583619-Reviews-Hotel_Fujita_Fukui-Fukui_Fukui_Prefecture_Chubu.html
Apa Hotel Fukui Katamachi,910-0023,Fukui Prefecture,1-16-7 Junka Fukui,247,$,http://www.tripadvisor.com/Hotel_Review-g298110-d628482-Reviews-Apa_Hotel_Fukui_Katamachi-Fukui_Fukui_Prefecture_Chubu.html
Aoi Kaikan,910-0004,Fukui Prefecture,3-8-1 Hoei Fukui,,,http://www.tripadvisor.com/Hotel_Review-g298110-d1078015-Reviews-Aoi_Kaikan-Fukui_Fukui_Prefecture_Chubu.html
Ace Inn Fukui,910-0006,Fukui Prefecture,3-4-20 Chuo Fukui,,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078522-Reviews-Ace_Inn_Fukui-Fukui_Fukui_Prefecture_Chubu.html
Fukui Palace Hotel,910-0023,Fukui Prefecture,1-5-18 Junka Fukui,94,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078526-Reviews-Fukui_Palace_Hotel-Fukui_Fukui_Prefecture_Chubu.html
Fukui Palace Inn,910-0023,Fukui Prefecture,1-12-17 Junka Fukui,,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078527-Reviews-Fukui_Palace_Inn-Fukui_Fukui_Prefecture_Chubu.html
Fukui Plaza Hotel,910-0005,Fukui Prefecture,2-6-5 Ote Fukui,,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078528-Reviews-Fukui_Plaza_Hotel-Fukui_Fukui_Prefecture_Chubu.html
Hinode Ryokan,910-0017,Fukui Prefecture,4-2-6 Bunkyo Fukui,,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078530-Reviews-Hinode_Ryokan-Fukui_Fukui_Prefecture_Chubu.html
Hotel Econo Fukui Ekimae,910-0859,Fukui Prefecture,1-1-17 Hinode Fukui,138,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078531-Reviews-Hotel_Econo_Fukui_Ekimae-Fukui_Fukui_Prefecture_Chubu.html
Fukuikan,910-0006,Fukui Prefecture,1-3-5 Chuo Fukui,,,http://www.tripadvisor.com/Hotel_Review-g298110-d1078533-Reviews-Fukuikan-Fukui_Fukui_Prefecture_Chubu.html
Fukui Castle,910-0005,Fukui Prefecture,2-19-5 Ote Fukui,,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078534-Reviews-Fukui_Castle-Fukui_Fukui_Prefecture_Chubu.html
Hotel Honjin,910-0005,Fukui Prefecture,2-21-4 Ote Fukui,,,http://www.tripadvisor.com/Hotel_Review-g298110-d1078535-Reviews-Hotel_Honjin-Fukui_Fukui_Prefecture_Chubu.html
Hotel Izumi,910-0006,Fukui Prefecture,2-2-24 Chuo Fukui,,,http://www.tripadvisor.com/Hotel_Review-g298110-d1078536-Reviews-Hotel_Izumi-Fukui_Fukui_Prefecture_Chubu.html
Nawaya,910-0006,Fukui Prefecture,3-11-28 Chuo Fukui,,,http://www.tripadvisor.com/Hotel_Review-g298110-d1078538-Reviews-Nawaya-Fukui_Fukui_Prefecture_Chubu.html
Hotel Riverge Akebono,910-0006,Fukui Prefecture,3-10-12 Chuo Fukui,142,$$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078539-Reviews-Hotel_Riverge_Akebono-Fukui_Fukui_Prefecture_Chubu.html
Hotel Route Inn Fukui Owada,910-0802,Fukui Prefecture,32-15-1 Owadacho Fukui,126,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078540-Reviews-Hotel_Route_Inn_Fukui_Owada-Fukui_Fukui_Prefecture_Chubu.html
Hotel Sonosada,910-0006,Fukui Prefecture,2-3-26 Chuo Fukui,,$,http://www.tripadvisor.com/Hotel_Review-g298110-d1078541-Reviews-Hotel_Sonosada-Fukui_Fukui_Prefecture_Chubu.html
