Fukushima Rich Hotel,960-8031,Fukushima Prefecture,2-36 Sakae-machi Fukushima,,$,http://www.tripadvisor.com/Hotel_Review-g298244-d628340-Reviews-Fukushima_Rich_Hotel-Fukushima_Fukushima_Prefecture_Tohoku.html
Fukushima View Hotel,960-8068,Fukushima Prefecture,13-73 Ota Cho Fukushima,121,$,http://www.tripadvisor.com/Hotel_Review-g298244-d628759-Reviews-Fukushima_View_Hotel-Fukushima_Fukushima_Prefecture_Tohoku.html
Hotel Mets Fukushima,960-8031,Fukushima Prefecture,1-1 Sakae-machi Fukushima,129,$,http://www.tripadvisor.com/Hotel_Review-g298244-d653639-Reviews-Hotel_Mets_Fukushima-Fukushima_Fukushima_Prefecture_Tohoku.html
Yamaneya Ryokan,960-2157,Fukushima Prefecture,"3 Aburahata, Tsuchiyuonsen-machi Fukushima",30,$,http://www.tripadvisor.com/Hotel_Review-g298244-d1082954-Reviews-Yamaneya_Ryokan-Fukushima_Fukushima_Prefecture_Tohoku.html
The Hotel Okame,960-8031,Fukushima Prefecture,7-3 Sakae-machi Fukushima,,$,http://www.tripadvisor.com/Hotel_Review-g298244-d1082956-Reviews-The_Hotel_Okame-Fukushima_Fukushima_Prefecture_Tohoku.html
Surikamitei Ohtori,960-0201,Fukushima Prefecture,"24-3 Nakanouchi, Iizaka-machi Fukushima",59,$$,http://www.tripadvisor.com/Hotel_Review-g298244-d1082965-Reviews-Surikamitei_Ohtori-Fukushima_Fukushima_Prefecture_Tohoku.html
Silk Hotel,960-8031,Fukushima Prefecture,12-3 Sakae-machi Fukushima,,$,http://www.tripadvisor.com/Hotel_Review-g298244-d1082967-Reviews-Silk_Hotel-Fukushima_Fukushima_Prefecture_Tohoku.html
Shinmatsuba Ryokan,960-0211,Fukushima Prefecture,"2 Kiriyunoue, Iizaka-machiyuno Fukushima",,$,http://www.tripadvisor.com/Hotel_Review-g298244-d1082969-Reviews-Shinmatsuba_Ryokan-Fukushima_Fukushima_Prefecture_Tohoku.html
Tsukinose,960-0201,Fukushima Prefecture,"7-7 Kitahara, Iizaka-machi Fukushima",,$$$,http://www.tripadvisor.com/Hotel_Review-g298244-d1082971-Reviews-Tsukinose-Fukushima_Fukushima_Prefecture_Tohoku.html
Ryokan Kintaki,960-0201,Fukushima Prefecture,"12 Akagawabata, Iizaka-machi Fukushima",,,http://www.tripadvisor.com/Hotel_Review-g298244-d1083269-Reviews-Ryokan_Kintaki-Fukushima_Fukushima_Prefecture_Tohoku.html
