Miyako Hotel Gifu,502-0817,Gifu Prefecture,2695-2 Nagara Fukumitsu Gifu,192,$,http://www.tripadvisor.com/Hotel_Review-g298112-d299760-Reviews-Miyako_Hotel_Gifu-Gifu_Gifu_Prefecture_Chubu.html
Comfort Hotel Gifu,500-8844,Gifu Prefecture,6-6 Yoshino-machi Gifu,219,$,http://www.tripadvisor.com/Hotel_Review-g298112-d306448-Reviews-Comfort_Hotel_Gifu-Gifu_Gifu_Prefecture_Chubu.html
New Gifu Hotel Plaza,500-8175,Gifu Prefecture,3-4 Nagazumi-Cho Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d628286-Reviews-New_Gifu_Hotel_Plaza-Gifu_Gifu_Prefecture_Chubu.html
Gifu Grand Hotel,502-8567,Gifu Prefecture,648 Nagara Gifu,148,$,http://www.tripadvisor.com/Hotel_Review-g298112-d655964-Reviews-Gifu_Grand_Hotel-Gifu_Gifu_Prefecture_Chubu.html
Gifu Washington Hotel Plaza,500-8833,Gifu Prefecture,7-7-4 Kandacho Gifu,188,$,http://www.tripadvisor.com/Hotel_Review-g298112-d809651-Reviews-Gifu_Washington_Hotel_Plaza-Gifu_Gifu_Prefecture_Chubu.html
Gifu Green Hotel,500-8842,Gifu Prefecture,5-12-6 Kogane-machi Gifu,30,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082057-Reviews-Gifu_Green_Hotel-Gifu_Gifu_Prefecture_Chubu.html
Gifu Castle Inn,500-8176,Gifu Prefecture,2-8 Agata-machi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082062-Reviews-Gifu_Castle_Inn-Gifu_Gifu_Prefecture_Chubu.html
Hotel Park,500-8009,Gifu Prefecture,397-2 Minato-machi Gifu,77,$$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082064-Reviews-Hotel_Park-Gifu_Gifu_Prefecture_Chubu.html
Hotel Route Inn Gifu Kencho Minami,500-8289,Gifu Prefecture,2-1-8 Suga Gifu,140,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082069-Reviews-Hotel_Route_Inn_Gifu_Kencho_Minami-Gifu_Gifu_Prefecture_Chubu.html
Hotel Ilcred Gifu,500-8833,Gifu Prefecture,9-23 Kanda-machi Gifu,135,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082073-Reviews-Hotel_Ilcred_Gifu-Gifu_Gifu_Prefecture_Chubu.html
Hotel Resol Gifu,500-8175,Gifu Prefecture,5-8 Nagazumicho Gifu,119,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082076-Reviews-Hotel_Resol_Gifu-Gifu_Gifu_Prefecture_Chubu.html
Hotel Sports Palko,500-8117,Gifu Prefecture,2-10 Minamitonomachi Gifu,,$$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082083-Reviews-Hotel_Sports_Palko-Gifu_Gifu_Prefecture_Chubu.html
Kinka,500-8003,Gifu Prefecture,1-15 Omiyacho Gifu,,$$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082095-Reviews-Kinka-Gifu_Gifu_Prefecture_Chubu.html
Business Hotel Sun Summit,500-8429,Gifu Prefecture,2-16 Kano Shimizu-machi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082116-Reviews-Business_Hotel_Sun_Summit-Gifu_Gifu_Prefecture_Chubu.html
Business Hotel Kayokan,500-8402,Gifu Prefecture,3-5 Tatsuta-machi Gifu,,,http://www.tripadvisor.com/Hotel_Review-g298112-d1082119-Reviews-Business_Hotel_Kayokan-Gifu_Gifu_Prefecture_Chubu.html
Business Hotel Plaza,500-8184,Gifu Prefecture,14 Nishikomazume-cho Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082121-Reviews-Business_Hotel_Plaza-Gifu_Gifu_Prefecture_Chubu.html
Weekly-Sho Gifu Daiichi Hotel,500-8858,Gifu Prefecture,2-5 Fukuzumi-cho Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082124-Reviews-Weekly_Sho_Gifu_Daiichi_Hotel-Gifu_Gifu_Prefecture_Chubu.html
Nisho Sun Hotel,500-8834,Gifu Prefecture,26 Hanemachi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082132-Reviews-Nisho_Sun_Hotel-Gifu_Gifu_Prefecture_Chubu.html
Sauna & Capsule Hotel Gant,500-8113,Gifu Prefecture,1-3-3 Kanazono-cho Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082137-Reviews-Sauna_Capsule_Hotel_Gant-Gifu_Gifu_Prefecture_Chubu.html
Weekly Kanazono,500-8113,Gifu Prefecture,1-14 Kanazono-cho Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082141-Reviews-Weekly_Kanazono-Gifu_Gifu_Prefecture_Chubu.html
Usyounoie Sugiyama,502-0071,Gifu Prefecture,73-1 Nagara Gifu,46,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1082151-Reviews-Usyounoie_Sugiyama-Gifu_Gifu_Prefecture_Chubu.html
Hotel Grand Vert Gizan,500-8875 ,Gifu Prefecture,6-14 Yanagasedori Gifu,61,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087961-Reviews-Hotel_Grand_Vert_Gizan-Gifu_Gifu_Prefecture_Chubu.html
Juhachiro,500-8009,Gifu Prefecture,10 Minatomachi Gifu,111,$$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087963-Reviews-Juhachiro-Gifu_Gifu_Prefecture_Chubu.html
Kimie Ryokan,500-8843 ,Gifu Prefecture,1-34 Sumidamachi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087971-Reviews-Kimie_Ryokan-Gifu_Gifu_Prefecture_Chubu.html
Nagaragawa Kaikan,500-8881 ,Gifu Prefecture,5-4 Aoyagicho Gifu,,,http://www.tripadvisor.com/Hotel_Review-g298112-d1087972-Reviews-Nagaragawa_Kaikan-Gifu_Gifu_Prefecture_Chubu.html
Toyoko Inn Gifu,500-8185 ,Gifu Prefecture,5-9 Motomachi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087974-Reviews-Toyoko_Inn_Gifu-Gifu_Gifu_Prefecture_Chubu.html
Ueto Ryori Ryokan,500-8111 ,Gifu Prefecture,4 Bairin Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087975-Reviews-Ueto_Ryori_Ryokan-Gifu_Gifu_Prefecture_Chubu.html
Business Hotel Kagetsu,500-8116 ,Gifu Prefecture,1-10 Tonomachi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087976-Reviews-Business_Hotel_Kagetsu-Gifu_Gifu_Prefecture_Chubu.html
Daiwa Roynet Hotel Gifu,500-8833 ,Gifu Prefecture,8-5 Kandamachi Gifu,207,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087977-Reviews-Daiwa_Roynet_Hotel_Gifu-Gifu_Gifu_Prefecture_Chubu.html
Sun Hotel Gifu,500-8844 ,Gifu Prefecture,3-3 Yoshinomachi Gifu,,$,http://www.tripadvisor.com/Hotel_Review-g298112-d1087978-Reviews-Sun_Hotel_Gifu-Gifu_Gifu_Prefecture_Chubu.html
