Manyo no Yu,061-3776,Hokkaido,1695-67 Futomicho Tobetsu-cho,13,$,http://www.tripadvisor.com/Hotel_Review-g1120050-d1502111-Reviews-Manyo_no_Yu-Tobetsu_cho_Hokkaido.html
Unplug,061-3772,Hokkaido,5206-2 Shishinai Tobetsu-cho,,,http://www.tripadvisor.com/Hotel_Review-g1120050-d1884693-Reviews-Unplug-Tobetsu_cho_Hokkaido.html
The Lodge,061-0202,Hokkaido,3382 Moheizawa Tobetsu-cho,,,http://www.tripadvisor.com/Hotel_Review-g1120050-d2519827-Reviews-The_Lodge-Tobetsu_cho_Hokkaido.html
Tappu no Yu,068-1134,Hokkaido,Dai45senkita2 Shinshinotsu-mura,,,http://www.tripadvisor.com/Hotel_Review-g1120056-d2253384-Reviews-Tappu_no_Yu-Shinshinotsu_mura_Hokkaido.html
Cliff House Yanagida Ryokan,058-0342,Hokkaido,59 Erimo-misaki Erimo-cho,,$$,http://www.tripadvisor.com/Hotel_Review-g1065243-d1127975-Reviews-Cliff_House_Yanagida_Ryokan-Erimo_cho_Horoizumi_gun_Hokkaido.html
Erimo-no Yado Tanaka Ryokan,058-0204,Hokkaido,315-3 Honcho Erimo-cho,,$,http://www.tripadvisor.com/Hotel_Review-g1065243-d1127976-Reviews-Erimo_no_Yado_Tanaka_Ryokan-Erimo_cho_Horoizumi_gun_Hokkaido.html
Erimokankokan,058-0342,Hokkaido,19 Erimomisaki Erimo-cho,,$,http://www.tripadvisor.com/Hotel_Review-g1065243-d1139449-Reviews-Erimokankokan-Erimo_cho_Horoizumi_gun_Hokkaido.html
Minshuku Senba,058-0342 ,Hokkaido,236-6 Erimomisaki Erimo-cho,,$,http://www.tripadvisor.com/Hotel_Review-g1065243-d1139455-Reviews-Minshuku_Senba-Erimo_cho_Horoizumi_gun_Hokkaido.html
Sansuikaku,058-0342,Hokkaido,13 Erimomisaki Erimo-cho,,$,http://www.tripadvisor.com/Hotel_Review-g1065243-d1139458-Reviews-Sansuikaku-Erimo_cho_Horoizumi_gun_Hokkaido.html
Ryokan Boyoso,058-0343,Hokkaido,Erimomisaki Erimo-cho,,,http://www.tripadvisor.com/Hotel_Review-g1065243-d1497831-Reviews-Ryokan_Boyoso-Erimo_cho_Horoizumi_gun_Hokkaido.html
Maruha Ryokan,058-0204,Hokkaido,284-1 Honcho Erimo-cho,,,http://www.tripadvisor.com/Hotel_Review-g1065243-d1882707-Reviews-Maruha_Ryokan-Erimo_cho_Horoizumi_gun_Hokkaido.html
Kameya Ryokan,058-0204,Hokkaido,148 Honcho Erimo-cho,,$,http://www.tripadvisor.com/Hotel_Review-g1065243-d1882713-Reviews-Kameya_Ryokan-Erimo_cho_Horoizumi_gun_Hokkaido.html
Farm Inn Maburitto,058-0342,Hokkaido,406_1 Erimomisaki Erimo-cho,,,http://www.tripadvisor.com/Hotel_Review-g1065243-d4815997-Reviews-Farm_Inn_Maburitto-Erimo_cho_Horoizumi_gun_Hokkaido.html
Kasai Ryokan,098-6233,Hokkaido,116 Onishibetsuminamimachi Sarufutsu-mura,,$$,http://www.tripadvisor.com/Hotel_Review-g1120881-d1499115-Reviews-Kasai_Ryokan-Sarufutsu_mura_Soya_gun_Hokkaido.html
Hotel Sarufutsu,098-6222 ,Hokkaido,214-7 Hamaonishibetsu Sarufutsu-mura,,,http://www.tripadvisor.com/Hotel_Review-g1120881-d1860291-Reviews-Hotel_Sarufutsu-Sarufutsu_mura_Soya_gun_Hokkaido.html
ANA Crowne Plaza Hotel Chitose,066-0036,Hokkaido,2-2-1 Hokuei Chitose,288,$$,http://www.tripadvisor.com/Hotel_Review-g298145-d300451-Reviews-ANA_Crowne_Plaza_Hotel_Chitose-Chitose_Hokkaido.html
Hotel Grand Terrace Chitose,066-8520,Hokkaido,4-4 Honcho Chitose,256,$,http://www.tripadvisor.com/Hotel_Review-g298145-d301946-Reviews-Hotel_Grand_Terrace_Chitose-Chitose_Hokkaido.html
Wing International Hotel Chitose,066-0062,Hokkaido,2-2-10 Chiyoda-cho Chitose,153,$,http://www.tripadvisor.com/Hotel_Review-g298145-d673641-Reviews-Wing_International_Hotel_Chitose-Chitose_Hokkaido.html
Chitose Daiichi Hotel,066-0063,Hokkaido,4-25-1 Saiwaicho Chitose,119,$,http://www.tripadvisor.com/Hotel_Review-g298145-d1080699-Reviews-Chitose_Daiichi_Hotel-Chitose_Hokkaido.html
Chitose Airport Hotel,066-0062,Hokkaido,6-1 Chiyodacho Chitose,88,$,http://www.tripadvisor.com/Hotel_Review-g298145-d1080701-Reviews-Chitose_Airport_Hotel-Chitose_Hokkaido.html
