Himeji Castle Grandvrio Hotel,670-0940,Hyogo Prefecture,210 Sanzaemonbori Nishinomachi Himeji,257,,http://www.tripadvisor.com/Hotel_Review-g298191-d304195-Reviews-Himeji_Castle_Grandvrio_Hotel-Himeji_Hyogo_Prefecture_Kinki.html
Hotel Claire Higasa,670-0911,Hyogo Prefecture,22 Junishomaecho Himeji,60,$,http://www.tripadvisor.com/Hotel_Review-g298191-d320337-Reviews-Hotel_Claire_Higasa-Himeji_Hyogo_Prefecture_Kinki.html
Hotel Himeji Plaza,670-0964,Hyogo Prefecture,158 Toyozawacho Himeji,201,$,http://www.tripadvisor.com/Hotel_Review-g298191-d320340-Reviews-Hotel_Himeji_Plaza-Himeji_Hyogo_Prefecture_Kinki.html
Hotel Nikko Himeji,670-0962,Hyogo Prefecture,100 Minami-ekimaecho Himeji,257,$,http://www.tripadvisor.com/Hotel_Review-g298191-d574397-Reviews-Hotel_Nikko_Himeji-Himeji_Hyogo_Prefecture_Kinki.html
Comfort Hotel Himeji,670-0935,Hyogo Prefecture,1-50-3 Hojo-Guchi Himeji,152,$,http://www.tripadvisor.com/Hotel_Review-g298191-d601541-Reviews-Comfort_Hotel_Himeji-Himeji_Hyogo_Prefecture_Kinki.html
Toyoko Inn Himejieki Shinkansen Minamiguchi,670-0962,Hyogo Prefecture,97 Minami-Ekimae Himeji,210,$,http://www.tripadvisor.com/Hotel_Review-g298191-d1034364-Reviews-Toyoko_Inn_Himejieki_Shinkansen_Minamiguchi-Himeji_Hyogo_Prefecture_Kinki.html
Business Hotel Kurogane Ryokan,671-1116,Hyogo Prefecture,3-4 Hirohatakuseimondori Himeji,,$,http://www.tripadvisor.com/Hotel_Review-g298191-d1067089-Reviews-Business_Hotel_Kurogane_Ryokan-Himeji_Hyogo_Prefecture_Kinki.html
Business Hotel Sakigake Honkan,671-1116,Hyogo Prefecture,4-2-4 Hirohatakuseimondori Himeji,,$,http://www.tripadvisor.com/Hotel_Review-g298191-d1067091-Reviews-Business_Hotel_Sakigake_Honkan-Himeji_Hyogo_Prefecture_Kinki.html
Floral Inn Himeji,670-0965,Hyogo Prefecture,3-56 Higashinobusue Himeji,291,$,http://www.tripadvisor.com/Hotel_Review-g298191-d1067093-Reviews-Floral_Inn_Himeji-Himeji_Hyogo_Prefecture_Kinki.html
Himeji Green Hotel Tatemachi,670-0903,Hyogo Prefecture,83 Tatemachi Himeji,,$,http://www.tripadvisor.com/Hotel_Review-g298191-d1067723-Reviews-Himeji_Green_Hotel_Tatemachi-Himeji_Hyogo_Prefecture_Kinki.html
Himeji Orient Hotel,670-0904,Hyogo Prefecture,111 Shiomachi Himeji,,,http://www.tripadvisor.com/Hotel_Review-g298191-d1067733-Reviews-Himeji_Orient_Hotel-Himeji_Hyogo_Prefecture_Kinki.html
