President Hotel Mito,310-0803,Ibaraki Prefecture,2-2-2 Jonan Mito,133,$,http://www.tripadvisor.com/Hotel_Review-g298166-d299140-Reviews-President_Hotel_Mito-Mito_Ibaraki_Prefecture_Kanto.html
Mito Plaza Hotel,310-0851,Ibaraki Prefecture,2078-1 Senbacho Mito,85,$$,http://www.tripadvisor.com/Hotel_Review-g298166-d506010-Reviews-Mito_Plaza_Hotel-Mito_Ibaraki_Prefecture_Kanto.html
Hotel Mets Mito,310-0015,Ibaraki Prefecture,1-1-1 Miyamachi Mito,,$,http://www.tripadvisor.com/Hotel_Review-g298166-d603343-Reviews-Hotel_Mets_Mito-Mito_Ibaraki_Prefecture_Kanto.html
Mito Grand Hotel,310-0024 ,Ibaraki Prefecture,7-31 Bizenmachi Mito,,,http://www.tripadvisor.com/Hotel_Review-g298166-d628458-Reviews-Mito_Grand_Hotel-Mito_Ibaraki_Prefecture_Kanto.html
Mito Daiichi Hotel Shinkan,310-0805,Ibaraki Prefecture,2-3-19 Chuo Mito,,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057415-Reviews-Mito_Daiichi_Hotel_Shinkan-Mito_Ibaraki_Prefecture_Kanto.html
Hotel Sealuck Pal Mito,310-0852,Ibaraki Prefecture,600-60 Kasaharacho Mito,161,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057418-Reviews-Hotel_Sealuck_Pal_Mito-Mito_Ibaraki_Prefecture_Kanto.html
Hotel Primo,310-0803,Ibaraki Prefecture,2-6-1 Jonan Mito,60,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057429-Reviews-Hotel_Primo-Mito_Ibaraki_Prefecture_Kanto.html
Izumiso,310-0022,Ibaraki Prefecture,1-3-30 Baiko Mito,,,http://www.tripadvisor.com/Hotel_Review-g298166-d1057439-Reviews-Izumiso-Mito_Ibaraki_Prefecture_Kanto.html
Mito Silver Inn,310-0015,Ibaraki Prefecture,2-3-38 Miyamachi Mito,,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057443-Reviews-Mito_Silver_Inn-Mito_Ibaraki_Prefecture_Kanto.html
Urban Business Hotel,310-0022,Ibaraki Prefecture,1-2-5 Baiko Mito,,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057449-Reviews-Urban_Business_Hotel-Mito_Ibaraki_Prefecture_Kanto.html
Hotel Season,310-0801,Ibaraki Prefecture,1-9-6 Sakuragawa Mito,96,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057458-Reviews-Hotel_Season-Mito_Ibaraki_Prefecture_Kanto.html
Izumiya,310-0033,Ibaraki Prefecture,2-4-26 Tokiwacho Mito,,,http://www.tripadvisor.com/Hotel_Review-g298166-d1057468-Reviews-Izumiya-Mito_Ibaraki_Prefecture_Kanto.html
Mimatsu Annex,310-0015,Ibaraki Prefecture,3-2-14 Miyamachi Mito,56,$,http://www.tripadvisor.com/Hotel_Review-g298166-d1057472-Reviews-Mimatsu_Annex-Mito_Ibaraki_Prefecture_Kanto.html
Nishikiya,310-0851,Ibaraki Prefecture,780-1 Senbacho Mito,,,http://www.tripadvisor.com/Hotel_Review-g298166-d1057484-Reviews-Nishikiya-Mito_Ibaraki_Prefecture_Kanto.html
