Hotel Nikko Kanazawa,920-0853,Ishikawa Prefecture,2-15-1 Honmachi Kanazawa,254,$$,http://www.tripadvisor.com/Hotel_Review-g298115-d301965-Reviews-Hotel_Nikko_Kanazawa-Kanazawa_Ishikawa_Prefecture_Chubu.html
Kanazawa Excel Hotel Tokyu,920-0961,Ishikawa Prefecture,2-1-1 Korinbo Kanazawa,236,$$,http://www.tripadvisor.com/Hotel_Review-g298115-d305978-Reviews-Kanazawa_Excel_Hotel_Tokyu-Kanazawa_Ishikawa_Prefecture_Chubu.html
APA Hotel Kanazawa Station Square,920-0031,Ishikawa Prefecture,"1-9-28, Hiro'oka Kanazawa",456,$,http://www.tripadvisor.com/Hotel_Review-g298115-d324889-Reviews-APA_Hotel_Kanazawa_Station_Square-Kanazawa_Ishikawa_Prefecture_Chubu.html
Kanazawa City Monde Hotel,920-0911 ,Ishikawa Prefecture,2-10 Hashiba-cho Kanazawa,,$,http://www.tripadvisor.com/Hotel_Review-g298115-d324893-Reviews-Kanazawa_City_Monde_Hotel-Kanazawa_Ishikawa_Prefecture_Chubu.html
Kanazawa Miyako Hotel,920-0852,Ishikawa Prefecture,"6-10, Konohana-cho Kanazawa",193,$,http://www.tripadvisor.com/Hotel_Review-g298115-d324894-Reviews-Kanazawa_Miyako_Hotel-Kanazawa_Ishikawa_Prefecture_Chubu.html
Murataya Ryokan,920-0981,Ishikawa Prefecture,1-5-2 Kata-machi Kanazawa,,$,http://www.tripadvisor.com/Hotel_Review-g298115-d324896-Reviews-Murataya_Ryokan-Kanazawa_Ishikawa_Prefecture_Chubu.html
Yogetsu,920-0831,Ishikawa Prefecture,1-13-22 Higashiyama Kanazawa,,$,http://www.tripadvisor.com/Hotel_Review-g298115-d324897-Reviews-Yogetsu-Kanazawa_Ishikawa_Prefecture_Chubu.html
Holiday Inn ANA Kanazawa Sky,920-0855,Ishikawa Prefecture,15-1 Musashimachi Kanazawa,101,$,http://www.tripadvisor.com/Hotel_Review-g298115-d479499-Reviews-Holiday_Inn_ANA_Kanazawa_Sky-Kanazawa_Ishikawa_Prefecture_Chubu.html
Kanazawa Kokusai Hotel,921-8565,Ishikawa Prefecture,Ru-8 Onuka-machi Kanazawa,100,$,http://www.tripadvisor.com/Hotel_Review-g298115-d479527-Reviews-Kanazawa_Kokusai_Hotel-Kanazawa_Ishikawa_Prefecture_Chubu.html
Castle Inn Kanazawa,920-0852,Ishikawa Prefecture,10-17 Konohana-cho Kanazawa,195,$,http://www.tripadvisor.com/Hotel_Review-g298115-d583201-Reviews-Castle_Inn_Kanazawa-Kanazawa_Ishikawa_Prefecture_Chubu.html
Toyoko Inn Kanazawa Kenrokuen Korinbo,920-0961,Ishikawa Prefecture,2-4-28 Korinbo Kanazawa,422,$,http://www.tripadvisor.com/Hotel_Review-g298115-d604798-Reviews-Toyoko_Inn_Kanazawa_Kenrokuen_Korinbo-Kanazawa_Ishikawa_Prefecture_Chubu.html
APA Hotel Kanazawa Chuo,920-0981,Ishikawa Prefecture,1-5-24 Katamachi Kanazawa,513,$,http://www.tripadvisor.com/Hotel_Review-g298115-d613511-Reviews-APA_Hotel_Kanazawa_Chuo-Kanazawa_Ishikawa_Prefecture_Chubu.html
APA Hotel Kanazawa Katamachi,920-0984,Ishikawa Prefecture,2-21-1 Ikedamachi Kanazawa,132,$,http://www.tripadvisor.com/Hotel_Review-g298115-d628287-Reviews-APA_Hotel_Kanazawa_Katamachi-Kanazawa_Ishikawa_Prefecture_Chubu.html
APA Villa Hotel - Kanazawa Katamachi,920-0981,Ishikawa Prefecture,2-2-13 Kata-machi Kanazawa,42,$,http://www.tripadvisor.com/Hotel_Review-g298115-d628289-Reviews-APA_Villa_Hotel_Kanazawa_Katamachi-Kanazawa_Ishikawa_Prefecture_Chubu.html
APA Hotel Kanazawa Nomachi,921-8031,Ishikawa Prefecture,2-4-22 Nomachi Kanazawa,100,$,http://www.tripadvisor.com/Hotel_Review-g298115-d628290-Reviews-APA_Hotel_Kanazawa_Nomachi-Kanazawa_Ishikawa_Prefecture_Chubu.html
APA Hotel Kanazawa West,920-0362,Ishikawa Prefecture,3-127 Kobu Kanazawa,200,$,http://www.tripadvisor.com/Hotel_Review-g298115-d628291-Reviews-APA_Hotel_Kanazawa_West-Kanazawa_Ishikawa_Prefecture_Chubu.html
Kanazawa Central Hotel,920-0847,Ishikawa Prefecture,4-4 Horikawa-cho Kanazawa,61,$,http://www.tripadvisor.com/Hotel_Review-g298115-d628292-Reviews-Kanazawa_Central_Hotel-Kanazawa_Ishikawa_Prefecture_Chubu.html
Garden Hotel Kanazawa,920-0853,Ishikawa Prefecture,2-16-16 Honmachi Kanazawa,160,$,http://www.tripadvisor.com/Hotel_Review-g298115-d628293-Reviews-Garden_Hotel_Kanazawa-Kanazawa_Ishikawa_Prefecture_Chubu.html
Dormy Inn Kanazawa,920-0849,Ishikawa Prefecture,2-25 Horikawa Shinmachi Kanazawa,304,$,http://www.tripadvisor.com/Hotel_Review-g298115-d1074136-Reviews-Dormy_Inn_Kanazawa-Kanazawa_Ishikawa_Prefecture_Chubu.html
R&B Hotel Kanazawaeki Nishi,920-0031,Ishikawa Prefecture,1-3-31 Hiroka Kanazawa,,$,http://www.tripadvisor.com/Hotel_Review-g298115-d1083012-Reviews-R_B_Hotel_Kanazawaeki_Nishi-Kanazawa_Ishikawa_Prefecture_Chubu.html
Business Hotel Kawaguchi,920-0853,Ishikawa Prefecture,2-6-23 Honmachi Kanazawa,,$,http://www.tripadvisor.com/Hotel_Review-g298115-d1083020-Reviews-Business_Hotel_Kawaguchi-Kanazawa_Ishikawa_Prefecture_Chubu.html
