Hotel Higashinihon Morioka,020-0022,Iwate Prefecture,3-3-18 Odori Morioka,190,$,http://www.tripadvisor.com/Hotel_Review-g298247-d583454-Reviews-Hotel_Higashinihon_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Ace Morioka,020-0021,Iwate Prefecture,2-11-35 Chuo-dori Morioka,275,$,http://www.tripadvisor.com/Hotel_Review-g298247-d628342-Reviews-Hotel_Ace_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Metropolitan Morioka,020-0034,Iwate Prefecture,1-44 Moriokaekimaedori Morioka,190,$,http://www.tripadvisor.com/Hotel_Review-g298247-d634664-Reviews-Hotel_Metropolitan_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Ruiz,020-0034,Iwate Prefecture,7-15 Morioka Ekimae Dori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1016714-Reviews-Hotel_Ruiz-Morioka_Iwate_Prefecture_Tohoku.html
R & B Hotel Morioka Station,020-0034,Iwate Prefecture,9-4 Morioka ekimaedori Morioka,216,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074692-Reviews-R_B_Hotel_Morioka_Station-Morioka_Iwate_Prefecture_Tohoku.html
Aishinkan,020-0055,Iwate Prefecture,40-4 Azanurisawa Tsunagi Morioka,,$$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074719-Reviews-Aishinkan-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Morioka Hills,020-0034,Iwate Prefecture,15-25 Moriokaekimaedori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074722-Reviews-Hotel_Morioka_Hills-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Kokeshi,020-0024,Iwate Prefecture,1-7-10 Saien Morioka,,,http://www.tripadvisor.com/Hotel_Review-g298247-d1074724-Reviews-Hotel_Kokeshi-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Miharu,020-0055,Iwate Prefecture,9 Azatateichi Tsunagi Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074748-Reviews-Hotel_Miharu-Morioka_Iwate_Prefecture_Tohoku.html
Hotel New Carina,020-0024,Iwate Prefecture,2-3-7 Saien Morioka,228,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074756-Reviews-Hotel_New_Carina-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Odashima,020-0021,Iwate Prefecture,1-12-24 Chuodori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074758-Reviews-Hotel_Odashima-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Pearl City Morioka,020-0022,Iwate Prefecture,3-7-19 Odori Morioka,182,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074761-Reviews-Hotel_Pearl_City_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Royal Morioka,020-0024,Iwate Prefecture,1-11-11 Saien Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074763-Reviews-Hotel_Royal_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Taikan,020-0055,Iwate Prefecture,37-1 Yunotate Tsunagi Morioka,,$$$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074764-Reviews-Taikan-Morioka_Iwate_Prefecture_Tohoku.html
Hotel du Nord,020-0023,Iwate Prefecture,17-45 Uchimaru Morioka,94,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074765-Reviews-Hotel_du_Nord-Morioka_Iwate_Prefecture_Tohoku.html
Morioka Grand Hotel Annex,020-0021,Iwate Prefecture,1-9-16 Chuodori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074779-Reviews-Morioka_Grand_Hotel_Annex-Morioka_Iwate_Prefecture_Tohoku.html
Morioka New City Hotel,020-0034,Iwate Prefecture,13-10 Moriokaekimaedori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074782-Reviews-Morioka_New_City_Hotel-Morioka_Iwate_Prefecture_Tohoku.html
Morioka City Hotel,020-0034,Iwate Prefecture,8-14 Moriokaekimaedori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074785-Reviews-Morioka_City_Hotel-Morioka_Iwate_Prefecture_Tohoku.html
Pacific Hotel Morioka,020-0021,Iwate Prefecture,1-13-55 Chuodori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1074786-Reviews-Pacific_Hotel_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Bright Inn Morioka,020-0871 ,Iwate Prefecture,1-1-21 Nakanohashidori Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1083722-Reviews-Hotel_Bright_Inn_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Route Inn Morioka Ekimae,020-0034 ,Iwate Prefecture,3-25 Morioka Ekimaedori Morioka,281,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1083723-Reviews-Hotel_Route_Inn_Morioka_Ekimae-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Route Inn Morioka Minami Inter,020-0835 ,Iwate Prefecture,14-167 Tsushida Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1083724-Reviews-Hotel_Route_Inn_Morioka_Minami_Inter-Morioka_Iwate_Prefecture_Tohoku.html
Hotel Shion,020-0055,Iwate Prefecture,"74-2 Yunotate, Tsunagi Morioka",127,$$,http://www.tripadvisor.com/Hotel_Review-g298247-d1083725-Reviews-Hotel_Shion-Morioka_Iwate_Prefecture_Tohoku.html
Sincere Morioka,020-0883 ,Iwate Prefecture,1-10 Shikecho Morioka,,$,http://www.tripadvisor.com/Hotel_Review-g298247-d1083726-Reviews-Sincere_Morioka-Morioka_Iwate_Prefecture_Tohoku.html
