JR Hotel Clement Takamatsu,760-0011,Kagawa Prefecture,1-1 Hamano-cho Takamatsu,300,$$,http://www.tripadvisor.com/Hotel_Review-g298232-d300483-Reviews-JR_Hotel_Clement_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
RIHGA Hotel Zest Takamatsu,760-0025,Kagawa Prefecture,9-1 Furujinmachi Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d302382-Reviews-RIHGA_Hotel_Zest_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Chisan inn Takamatsu,760-0048,Kagawa Prefecture,11-1 Fukudamachi Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d320873-Reviews-Chisan_inn_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Takamatsu Tokyu Inn,760-0024,Kagawa Prefecture,9-9 Hyogomachi Takamatsu,191,$,http://www.tripadvisor.com/Hotel_Review-g298232-d472361-Reviews-Takamatsu_Tokyu_Inn-Takamatsu_Kagawa_Prefecture_Shikoku.html
Hotel Kawaroku,760-0041,Kagawa Prefecture,1-2 Hyakkenmachi Takamatsu,179,$,http://www.tripadvisor.com/Hotel_Review-g298232-d623025-Reviews-Hotel_Kawaroku-Takamatsu_Kagawa_Prefecture_Shikoku.html
Okura Hotel Takamatsu,760-0036,Kagawa Prefecture,1-9-5 Jotocho Takamatsu,344,$,http://www.tripadvisor.com/Hotel_Review-g298232-d671027-Reviews-Okura_Hotel_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel East Park Ritsurin,760-0073,Kagawa Prefecture,1-14-3 Ritsurincho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1071525-Reviews-Business_Hotel_East_Park_Ritsurin-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Japan,760-0045,Kagawa Prefecture,1-4 Furubabacho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1071526-Reviews-Business_Hotel_Japan-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Park Inn,760-0008,Kagawa Prefecture,24-13 Nakanocho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1071529-Reviews-Business_Hotel_Park_Inn-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Parkside Takamatsu,760-0073,Kagawa Prefecture,1-3-1 Ritsurincho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1071531-Reviews-Business_Hotel_Parkside_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Palace Takamatsu,760-0022,Kagawa Prefecture,2-7 Nishiuchimachi Takamatsu,63,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1071533-Reviews-Business_Hotel_Palace_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Prince,760-0080,Kagawa Prefecture,2505-2 Kita-cho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1071535-Reviews-Business_Hotel_Prince-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Sunshine Takamatsu,760-0071,Kagawa Prefecture,3-17-15 Fujizukacho Takamatsu,86,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072540-Reviews-Business_Hotel_Sunshine_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Chateau Est Takamatsu,760-0036,Kagawa Prefecture,2-2-7 Jotocho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072547-Reviews-Business_Hotel_Chateau_Est_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Business Hotel Toho Inn Takamatsu,760-0036,Kagawa Prefecture,1-5-18 Jotocho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072548-Reviews-Business_Hotel_Toho_Inn_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Friendly Tatamatsu,760-0062,Kagawa Prefecture,2-4-22 Shiogamicho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072550-Reviews-Friendly_Tatamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Hotel Boukai Sou,761-0111,Kagawa Prefecture,1784-15 Yashimahigashimachi Takamatsu,,,http://www.tripadvisor.com/Hotel_Review-g298232-d1072568-Reviews-Hotel_Boukai_Sou-Takamatsu_Kagawa_Prefecture_Shikoku.html
Hotel Fukuya,760-0025,Kagawa Prefecture,5-8 Furujinmachi Takamatsu,60,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072569-Reviews-Hotel_Fukuya-Takamatsu_Kagawa_Prefecture_Shikoku.html
Hotel Number 1 Takamatsu,760-0055,Kagawa Prefecture,2-4-1 Kankodori Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072570-Reviews-Hotel_Number_1_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Hotel New Wakasa,760-0056,Kagawa Prefecture,13-23 Nakajincho Takamatsu,,,http://www.tripadvisor.com/Hotel_Review-g298232-d1072987-Reviews-Hotel_New_Wakasa-Takamatsu_Kagawa_Prefecture_Shikoku.html
Hotel Sanyuso,760-0008,Kagawa Prefecture,28-18 Nakanocho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072988-Reviews-Hotel_Sanyuso-Takamatsu_Kagawa_Prefecture_Shikoku.html
Kiyomisanso Hanajukai,760-0004,Kagawa Prefecture,3-5-10 Saihocho Takamatsu,,$$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072992-Reviews-Kiyomisanso_Hanajukai-Takamatsu_Kagawa_Prefecture_Shikoku.html
Castle Hotel Takamatsu,760-0035,Kagawa Prefecture,4-8 Tsuruyamachi Takamatsu,,,http://www.tripadvisor.com/Hotel_Review-g298232-d1072993-Reviews-Castle_Hotel_Takamatsu-Takamatsu_Kagawa_Prefecture_Shikoku.html
Shinkabagawa Kankou Hotel,761-1612,Kagawa Prefecture,1-6 Yasuhara Shiogami-cho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072995-Reviews-Shinkabagawa_Kankou_Hotel-Takamatsu_Kagawa_Prefecture_Shikoku.html
Takamatsu Hotel Sakika,760-0041,Kagawa Prefecture,6-9 Hyakkenmachi Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1072999-Reviews-Takamatsu_Hotel_Sakika-Takamatsu_Kagawa_Prefecture_Shikoku.html
Takamatsu Century Hotel,760-0020,Kagawa Prefecture,1-4-19 Nishikimachi Takamatsu,64,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1073001-Reviews-Takamatsu_Century_Hotel-Takamatsu_Kagawa_Prefecture_Shikoku.html
Takamatsu Cityi Hotel,760-0050,Kagawa Prefecture,8-13 Kameicho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1073002-Reviews-Takamatsu_Cityi_Hotel-Takamatsu_Kagawa_Prefecture_Shikoku.html
Takamatsu Terminal Hotel,760-0021,Kagawa Prefecture,10-17 Nishinomarucho Takamatsu,48,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1073006-Reviews-Takamatsu_Terminal_Hotel-Takamatsu_Kagawa_Prefecture_Shikoku.html
Takamatsu Washington Hotel Plaza,760-0052,Kagawa Prefecture,1-2-3 Kawaramachi Takamatsu,256,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1073007-Reviews-Takamatsu_Washington_Hotel_Plaza-Takamatsu_Kagawa_Prefecture_Shikoku.html
Touyoko Inn Takamatsu Nakashinchou,760-0007,Kagawa Prefecture,11-5 Chuocho Takamatsu,,$,http://www.tripadvisor.com/Hotel_Review-g298232-d1073009-Reviews-Touyoko_Inn_Takamatsu_Nakashinchou-Takamatsu_Kagawa_Prefecture_Shikoku.html
