Ibusuki Coral Beach Hotel,891-0406,Kagoshima Prefecture,2-12-7 Yunohama Ibusuki,50,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d321230-Reviews-Ibusuki_Coral_Beach_Hotel-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Ibusuki Hakusuikan,891-0404,Kagoshima Prefecture,12126-12 Higashikata Ibusuki,205,$$$,http://www.tripadvisor.com/Hotel_Review-g298210-d321232-Reviews-Ibusuki_Hakusuikan-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Ibusuki Iwasaki Hotel,891-0493,Kagoshima Prefecture,3755 Juni-cho Ibusuki,285,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d321233-Reviews-Ibusuki_Iwasaki_Hotel-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Kyuka-Mura Ibusuki,891-0404,Kagoshima Prefecture,"Higashikata, Shiomi-cho Ibusuki",65,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d321236-Reviews-Kyuka_Mura_Ibusuki-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Marutomi,891-0406,Kagoshima Prefecture,5-24-15 Yunohama Ibusuki,,$,http://www.tripadvisor.com/Hotel_Review-g298210-d321239-Reviews-Marutomi-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Onsenyado Motoya,891-0406,Kagoshima Prefecture,5-19-4 Yunohama Ibusuki,,,http://www.tripadvisor.com/Hotel_Review-g298210-d1060666-Reviews-Onsenyado_Motoya-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Ibusuki Phoenex Hotel,891-0403,Kagoshima Prefecture,4320 Junicho Ibusuki,147,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d1060681-Reviews-Ibusuki_Phoenex_Hotel-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Ryokan Tsukimiso,891-0406,Kagoshima Prefecture,5-24-8 Yunohama Ibusuki,,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d1060686-Reviews-Ryokan_Tsukimiso-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Ginsyo,891-0406,Kagoshima Prefecture,5-26-27 Yunohama Ibusuki,71,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d1060693-Reviews-Ginsyo-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
Ibusuki Seaside Hotel,891-0402,Kagoshima Prefecture,1912 Juccho Ibusuki,107,$$,http://www.tripadvisor.com/Hotel_Review-g298210-d1060695-Reviews-Ibusuki_Seaside_Hotel-Ibusuki_Kagoshima_Prefecture_Kyushu_Okinawa.html
