Odakyu Station Hotel Hon-Atsugi,243-0013,Kanagawa Prefecture,1-1 Izumicho Atsugi,61,$,http://www.tripadvisor.com/Hotel_Review-g298169-d578312-Reviews-Odakyu_Station_Hotel_Hon_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Sansuiro,243-0121,Kanagawa Prefecture,2062 Nanasawa Atsugi,,,http://www.tripadvisor.com/Hotel_Review-g298169-d1049510-Reviews-Sansuiro-Atsugi_Kanagawa_Prefecture_Kanto.html
Gyokusuiro,243-0121,Kanagawa Prefecture,2607 Nanasawa Atsugi,,$$$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049511-Reviews-Gyokusuiro-Atsugi_Kanagawa_Prefecture_Kanto.html
Ryokan Sagami,243-0018,Kanagawa Prefecture,3-9-2 Nakacho Atsugi,,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049512-Reviews-Ryokan_Sagami-Atsugi_Kanagawa_Prefecture_Kanto.html
Nanasawaso,243-0121,Kanagawa Prefecture,1826 Nanasawa Atsugi,,$$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049513-Reviews-Nanasawaso-Atsugi_Kanagawa_Prefecture_Kanto.html
Plaza Hotel Atsugi,243-0017,Kanagawa Prefecture,1-1-8 Sakaecho Atsugi,,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049517-Reviews-Plaza_Hotel_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Rigna Atsugi,243-0013,Kanagawa Prefecture,2-4 Izumicho Atsugi,,,http://www.tripadvisor.com/Hotel_Review-g298169-d1049617-Reviews-Rigna_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Nakaya Ryokan,243-0121,Kanagawa Prefecture,2750 Nanasawa Atsugi,,$$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049620-Reviews-Nakaya_Ryokan-Atsugi_Kanagawa_Prefecture_Kanto.html
R-bend Hotel Atsugi,243-0018,Kanagawa Prefecture,2-10-15 Nakacho Atsugi,121,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049625-Reviews-R_bend_Hotel_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Motoyu Ryokan,243-0213,Kanagawa Prefecture,4916 Iiyama Atsugi,,$$$$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049631-Reviews-Motoyu_Ryokan-Atsugi_Kanagawa_Prefecture_Kanto.html
Motoyu Tamagawakan,243-0121,Kanagawa Prefecture,2776 Nanasawa Atsugi,,$$$$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049634-Reviews-Motoyu_Tamagawakan-Atsugi_Kanagawa_Prefecture_Kanto.html
Hotel Vista Atsugi,243-0018,Kanagawa Prefecture,3-12-5 Nakacho Atsugi,165,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049645-Reviews-Hotel_Vista_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Yamatoya,243-0213,Kanagawa Prefecture,5503 Iiyama Atsugi,,,http://www.tripadvisor.com/Hotel_Review-g298169-d1049648-Reviews-Yamatoya-Atsugi_Kanagawa_Prefecture_Kanto.html
Atsugi Urban Hotel,243-0018,Kanagawa Prefecture,3-14-14 Nakacho Atsugi,149,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049651-Reviews-Atsugi_Urban_Hotel-Atsugi_Kanagawa_Prefecture_Kanto.html
Ryokan Fukumatsu,243-0121,Kanagawa Prefecture,1751 Nanasawa Atsugi,,,http://www.tripadvisor.com/Hotel_Review-g298169-d1049656-Reviews-Ryokan_Fukumatsu-Atsugi_Kanagawa_Prefecture_Kanto.html
Ryokan Midorien,243-0213,Kanagawa Prefecture,5157 Iiyama Atsugi,,$$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049659-Reviews-Ryokan_Midorien-Atsugi_Kanagawa_Prefecture_Kanto.html
Park Inn Atsugi,243-0013,Kanagawa Prefecture,2-4 Izumicho Atsugi,234,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049664-Reviews-Park_Inn_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Sanpouso,243-0121,Kanagawa Prefecture,1191 Nanasawa Atsugi,,,http://www.tripadvisor.com/Hotel_Review-g298169-d1049666-Reviews-Sanpouso-Atsugi_Kanagawa_Prefecture_Kanto.html
Hotel Tohkai,243-0018,Kanagawa Prefecture,3-6-16 Nakacho Atsugi,75,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049667-Reviews-Hotel_Tohkai-Atsugi_Kanagawa_Prefecture_Kanto.html
Atsugi City Hotel,243-0018,Kanagawa Prefecture,2-4-14 Nakacho Atsugi,53,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1049675-Reviews-Atsugi_City_Hotel-Atsugi_Kanagawa_Prefecture_Kanto.html
Rembrandt Hotel Atsugi,243-0018,Kanagawa Prefecture,2-13-1 Nakacho Atsugi,163,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1070105-Reviews-Rembrandt_Hotel_Atsugi-Atsugi_Kanagawa_Prefecture_Kanto.html
Japan Folk-Toy Atsugi Museum Hotel,243-0213,Kanagawa Prefecture,1006 Iiyama Atsugi,,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1096231-Reviews-Japan_Folk_Toy_Atsugi_Museum_Hotel-Atsugi_Kanagawa_Prefecture_Kanto.html
Iyama Honjin,243-0213,Kanagawa Prefecture,4858-1 Iyama Atsugi,,,http://www.tripadvisor.com/Hotel_Review-g298169-d1179055-Reviews-Iyama_Honjin-Atsugi_Kanagawa_Prefecture_Kanto.html
Atsugi Capsule Hotel,243-0018,Kanagawa Prefecture,2-3-1 Nakacho Atsugi,,$,http://www.tripadvisor.com/Hotel_Review-g298169-d1872415-Reviews-Atsugi_Capsule_Hotel-Atsugi_Kanagawa_Prefecture_Kanto.html
Seirakuen,243-0121,Kanagawa Prefecture,1811 Nanasawa Atsugi,,$$$,http://www.tripadvisor.com/Hotel_Review-g298169-d2535667-Reviews-Seirakuen-Atsugi_Kanagawa_Prefecture_Kanto.html
Atsugi Hotel Yugiri,243-0017,Kanagawa Prefecture,1-9-4 Sakaecho Atsugi,,$,http://www.tripadvisor.com/Hotel_Review-g298169-d3354222-Reviews-Atsugi_Hotel_Yugiri-Atsugi_Kanagawa_Prefecture_Kanto.html
Fukumotokan,243-0121,Kanagawa Prefecture,2758 Nanasawa Atsugi,,$$,http://www.tripadvisor.com/Hotel_Review-g298169-d4353813-Reviews-Fukumotokan-Atsugi_Kanagawa_Prefecture_Kanto.html
Toyoko Inn Honatsugi-eki Minami-guchi,243-0014,Kanagawa Prefecture,1-9-8 Asahicho Atsugi,,$,http://www.tripadvisor.com/Hotel_Review-g298169-d7002461-Reviews-Toyoko_Inn_Honatsugi_eki_Minami_guchi-Atsugi_Kanagawa_Prefecture_Kanto.html
Hilton Odawara Resort & Spa,250-0024,Kanagawa Prefecture,583-1 Nebukawa Odawara,172,$$,http://www.tripadvisor.com/Hotel_Review-g1021278-d486944-Reviews-Hilton_Odawara_Resort_Spa-Odawara_Kanagawa_Prefecture_Kanto.html
"Crystal Inn, Odawara",250-0011,Kanagawa Prefecture,1-6-6 Sakaecho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d736894-Reviews-Crystal_Inn_Odawara-Odawara_Kanagawa_Prefecture_Kanto.html
Business Hotel Ise,250-0011,Kanagawa Prefecture,1-9-10 Sakaecho Odawara,,$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047010-Reviews-Business_Hotel_Ise-Odawara_Kanagawa_Prefecture_Kanto.html
Business Hotel Wako,250-0874,Kanagawa Prefecture,7-1 Kamonomiya Odawara,,$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047012-Reviews-Business_Hotel_Wako-Odawara_Kanagawa_Prefecture_Kanto.html
Miyako Ryokan,250-0011,Kanagawa Prefecture,2-5-37 Sakaecho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047019-Reviews-Miyako_Ryokan-Odawara_Kanagawa_Prefecture_Kanto.html
Choeikan,250-0011,Kanagawa Prefecture,2-7-29 Sakaecho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047022-Reviews-Choeikan-Odawara_Kanagawa_Prefecture_Kanto.html
Enoura Terrace,250-0025,Kanagawa Prefecture,206-13 Enoura Odawara,,$$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047038-Reviews-Enoura_Terrace-Odawara_Kanagawa_Prefecture_Kanto.html
Business Hotel Okamoto,250-0011,Kanagawa Prefecture,2-7-29 Sakaecho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047094-Reviews-Business_Hotel_Okamoto-Odawara_Kanagawa_Prefecture_Kanto.html
Business Ryokan Kaneko,250-0012,Kanagawa Prefecture,2-7-10 Honcho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047095-Reviews-Business_Ryokan_Kaneko-Odawara_Kanagawa_Prefecture_Kanto.html
Koshimizu Ryokan,250-0012,Kanagawa Prefecture,3-5-27 Honcho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d1047140-Reviews-Koshimizu_Ryokan-Odawara_Kanagawa_Prefecture_Kanto.html
Hotel Poshu,250-0011,Kanagawa Prefecture,2-7-7 Sakae-cho Odawara,,$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1076206-Reviews-Hotel_Poshu-Odawara_Kanagawa_Prefecture_Kanto.html
Odawara Terminal Hotel,250-0011,Kanagawa Prefecture,2-4-3 Sakae-cho Odawara,,,http://www.tripadvisor.com/Hotel_Review-g1021278-d1076207-Reviews-Odawara_Terminal_Hotel-Odawara_Kanagawa_Prefecture_Kanto.html
Boston Inn Odawara,250-0012,Kanagawa Prefecture,2-8-1 Honcho Odawara,,$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1089835-Reviews-Boston_Inn_Odawara-Odawara_Kanagawa_Prefecture_Kanto.html
Tozan Odawara,250-0011,Kanagawa Prefecture,2-7-10 Sakaecho Odawara,,$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1089838-Reviews-Tozan_Odawara-Odawara_Kanagawa_Prefecture_Kanto.html
Kamonomiya Station Hotel,250-0875,Kanagawa Prefecture,3-50-7 Minamikamonomiya Odawara,49,$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1089841-Reviews-Kamonomiya_Station_Hotel-Odawara_Kanagawa_Prefecture_Kanto.html
Soun,250-0021,Kanagawa Prefecture,3-22-7 Hayakawa Odawara,,$$,http://www.tripadvisor.com/Hotel_Review-g1021278-d1089844-Reviews-Soun-Odawara_Kanagawa_Prefecture_Kanto.html
