Comfort Hotel Kochi Station,780-0056,Kochi Prefecture,2-2-12 Kitahonmachi Kochi,119,$,http://www.tripadvisor.com/Hotel_Review-g298234-d299470-Reviews-Comfort_Hotel_Kochi_Station-Kochi_Kochi_Prefecture_Shikoku.html
The Crown Plalace Hotel New Hankyu Kochi,780-8561,Kochi Prefecture,"4-2-50, Honmachi Kochi",242,$,http://www.tripadvisor.com/Hotel_Review-g298234-d302292-Reviews-The_Crown_Plalace_Hotel_New_Hankyu_Kochi-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Los Inn Kochi,780-0056,Kochi Prefecture,2-4-8 Kitahonmachi Kochi,100,$,http://www.tripadvisor.com/Hotel_Review-g298234-d583144-Reviews-Hotel_Los_Inn_Kochi-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Ryoma Hotel,780-0056,Kochi Prefecture,2-3-4 Kitahonmachi Kochi,50,$,http://www.tripadvisor.com/Hotel_Review-g298234-d620676-Reviews-Kochi_Ryoma_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Kochi South Breeze Hotel,780-0825,Kochi Prefecture,5-29 Nonin-machi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d628712-Reviews-Kochi_South_Breeze_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Prince Hotel Bekkan,780-0816,Kochi Prefecture,4-2 Minami Houei cho Kochi,,$$,http://www.tripadvisor.com/Hotel_Review-g298234-d646115-Reviews-Kochi_Prince_Hotel_Bekkan-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Abest Kochi,780-0833,Kochi Prefecture,1-7-14 Minamiharimayacho Kochi,40,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1069794-Reviews-Hotel_Abest_Kochi-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Ko's Style,780-8001,Kochi Prefecture,8-8 Doimachi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1069806-Reviews-Hotel_Ko_s_Style-Kochi_Kochi_Prefecture_Shikoku.html
Business Hotel Minatoya,780-0054,Kochi Prefecture,2-12 Aioicho Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1069824-Reviews-Business_Hotel_Minatoya-Kochi_Kochi_Prefecture_Shikoku.html
Bright Park Hotel,780-0842,Kochi Prefecture,1-5-13 Otesuji Kochi,105,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071066-Reviews-Bright_Park_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Tourist Inn Kochi,780-0052,Kochi Prefecture,1-5-5 Okawasuji Kochi,218,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071194-Reviews-Tourist_Inn_Kochi-Kochi_Kochi_Prefecture_Shikoku.html
Tosa Gyoen,780-0052,Kochi Prefecture,1-4-8 Okawasuji Kochi,94,$$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071199-Reviews-Tosa_Gyoen-Kochi_Kochi_Prefecture_Shikoku.html
Shouei Dainibekkan,780-0864,Kochi Prefecture,3-12 Tojin machi Kochi,56,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071201-Reviews-Shouei_Dainibekkan-Kochi_Kochi_Prefecture_Shikoku.html
Sansuien,780-0862,Kochi Prefecture,1-3-35 Takajomachi Kochi,131,$$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071205-Reviews-Sansuien-Kochi_Kochi_Prefecture_Shikoku.html
Riverside Hotel Shouei,780-8012,Kochi Prefecture,8-1 Tenjin cho Kochi,65,$$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071209-Reviews-Riverside_Hotel_Shouei-Kochi_Kochi_Prefecture_Shikoku.html
Orient Hotel Kochi,780-0861,Kochi Prefecture,5-37 Masugata Kochi,140,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1071215-Reviews-Orient_Hotel_Kochi-Kochi_Kochi_Prefecture_Shikoku.html
Hotel No.1 Kochi,780-0843,Kochi Prefecture,16-8 Nijudaimachi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1072168-Reviews-Hotel_No_1_Kochi-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Nikko Kochi /Asahi Royal,780-0832,Kochi Prefecture,9-15 Kutanda Kochi,188,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1072169-Reviews-Hotel_Nikko_Kochi_Asahi_Royal-Kochi_Kochi_Prefecture_Shikoku.html
Hotel New Shikoku,780-8011,Kochi Prefecture,9-20 Umenotsuji Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1072171-Reviews-Hotel_New_Shikoku-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Tosaji,781-8104,Kochi Prefecture,2-6-55 Takasu Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1072225-Reviews-Hotel_Tosaji-Kochi_Kochi_Prefecture_Shikoku.html
Jyoseikan,780-0901,Kochi Prefecture,2-5-34 Kamimachi Kochi,70,$$,http://www.tripadvisor.com/Hotel_Review-g298234-d1072228-Reviews-Jyoseikan-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Grand Hotel Anex,780-0056,Kochi Prefecture,2-1-13 Kitahonmachi Kochi,,,http://www.tripadvisor.com/Hotel_Review-g298234-d1082533-Reviews-Kochi_Grand_Hotel_Anex-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Palace Hotel,780-8510,Kochi Prefecture,1-18 Nijudaimachi Kochi,262,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1082534-Reviews-Kochi_Palace_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Pacific Hotel,780-0053,Kochi Prefecture,1-15 Ekimaecho Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1082535-Reviews-Kochi_Pacific_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Sakura Hotel,780-0056,Kochi Prefecture,2-3-11 Kitahonmachi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1082541-Reviews-Kochi_Sakura_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Kochi Sunrise Hotel,780-0870,Kochi Prefecture,2-2-31 Honmachi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1082542-Reviews-Kochi_Sunrise_Hotel-Kochi_Kochi_Prefecture_Shikoku.html
Orient Hotel Kochi Wafu Bekkan Kichiman,780-0056,Kochi Prefecture,2-1-22 Kitahonmachi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1082543-Reviews-Orient_Hotel_Kochi_Wafu_Bekkan_Kichiman-Kochi_Kochi_Prefecture_Shikoku.html
Hitsuzanso,780-0864,Kochi Prefecture,1-22 Tojinmachi Kochi,,,http://www.tripadvisor.com/Hotel_Review-g298234-d1084541-Reviews-Hitsuzanso-Kochi_Kochi_Prefecture_Shikoku.html
Hotel First,780-0822,Kochi Prefecture,3-15-10 Harimaya-cho Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084544-Reviews-Hotel_First-Kochi_Kochi_Prefecture_Shikoku.html
Weekly Sho Hotel Kochi Plaza,780-0806,Kochi Prefecture,1-6-10 Chiyori-cho Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084545-Reviews-Weekly_Sho_Hotel_Kochi_Plaza-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Nansui,780-0901,Kochi Prefecture,1-7-12 Kamimachi Kochi,44,$$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084548-Reviews-Hotel_Nansui-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Sun Atlas,780-0822,Kochi Prefecture,3-18-10 Harimayacho Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084552-Reviews-Hotel_Sun_Atlas-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Takasago,780-0053,Kochi Prefecture,2-1 Ekimae-cho Kochi,43,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084553-Reviews-Hotel_Takasago-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Town Ekimae,780-0053,Kochi Prefecture,1-20 Ekimae-cho Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084554-Reviews-Hotel_Town_Ekimae-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Town Honmachi,780-0870,Kochi Prefecture,1-5-26 Honmachi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084555-Reviews-Hotel_Town_Honmachi-Kochi_Kochi_Prefecture_Shikoku.html
Hotel Town Nishikigawa,780-0843,Kochi Prefecture,15-24 Nijudai-machi Kochi,,$,http://www.tripadvisor.com/Hotel_Review-g298234-d1084556-Reviews-Hotel_Town_Nishikigawa-Kochi_Kochi_Prefecture_Shikoku.html
