ANA Crowne Plaza Hotel Kumamoto New Sky,860-8575,Kumamoto Prefecture,"2 Higashi-Amidajicho, Chuo-ku Kumamoto",186,$$,http://www.tripadvisor.com/Hotel_Review-g298213-d300566-Reviews-ANA_Crowne_Plaza_Hotel_Kumamoto_New_Sky-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Hotel New Otani Kumamoto,860-0047,Kumamoto Prefecture,"1-13-1 Kasuga, Nishi-ku Kumamoto",126,$,http://www.tripadvisor.com/Hotel_Review-g298213-d301325-Reviews-Hotel_New_Otani_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Hotel Nikko Kumamoto,860-8536,Kumamoto Prefecture,2-1 Kamitori-cho Kumamoto,191,$$,http://www.tripadvisor.com/Hotel_Review-g298213-d301989-Reviews-Hotel_Nikko_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Minshuku Higoji,860-0047 ,Kumamoto Prefecture,4-39-31 Kasuga Kumamoto,,,http://www.tripadvisor.com/Hotel_Review-g298213-d317487-Reviews-Minshuku_Higoji-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Ark Hotel Kumamotojomae,860-0846,Kumamoto Prefecture,5-16 Joto-machi Kumamoto,222,$,http://www.tripadvisor.com/Hotel_Review-g298213-d324716-Reviews-Ark_Hotel_Kumamotojomae-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Nest Hotel Kumamoto,860-0804,Kumamoto Prefecture,4-39 Karashimacho Kumamoto,201,$,http://www.tripadvisor.com/Hotel_Review-g298213-d324718-Reviews-Nest_Hotel_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Minshuku Kajita,860-0004,Kumamoto Prefecture,1-2-7 Shinmachi Kumamoto,,$,http://www.tripadvisor.com/Hotel_Review-g298213-d324721-Reviews-Minshuku_Kajita-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Kumamoto Hotel Castle,860-8565,Kumamoto Prefecture,4-2 Jotomachi Kumamoto,179,$$,http://www.tripadvisor.com/Hotel_Review-g298213-d324722-Reviews-Kumamoto_Hotel_Castle-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Kumamoto Tokyu Inn,860-0803,Kumamoto Prefecture,7-25 Shinshigai Kumamoto,140,$,http://www.tripadvisor.com/Hotel_Review-g298213-d324725-Reviews-Kumamoto_Tokyu_Inn-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Hotel Hokke Club Kumamoto,860-0013,Kumamoto Prefecture,20-1 Tori-cho Kumamoto,,$,http://www.tripadvisor.com/Hotel_Review-g298213-d479502-Reviews-Hotel_Hokke_Club_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Jr Kyushu Hotel Kumamoto,860-0047,Kumamoto Prefecture,3-15-15 Kasuga Kumamoto,150,$,http://www.tripadvisor.com/Hotel_Review-g298213-d604921-Reviews-Jr_Kyushu_Hotel_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Kumamoto Oriental Hotel,862-0956,Kumamoto Prefecture,28-9 Suizenji-Koen Kumamoto,,,http://www.tripadvisor.com/Hotel_Review-g298213-d628431-Reviews-Kumamoto_Oriental_Hotel-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Minshuku Ryokan Komatsuso,860-0047 ,Kumamoto Prefecture,1-8-13 Kasuga Kumamoto,,,http://www.tripadvisor.com/Hotel_Review-g298213-d939090-Reviews-Minshuku_Ryokan_Komatsuso-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Comfort Hotel Kumamoto,860-0803,Kumamoto Prefecture,2-10 Shinshigai Kumamoto,157,$,http://www.tripadvisor.com/Hotel_Review-g298213-d1026180-Reviews-Comfort_Hotel_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
R&B Hotel Kumamoto Shimotori,860-0807,Kumamoto Prefecture,2-2-18 Shimotori Kumamoto,,$,http://www.tripadvisor.com/Hotel_Review-g298213-d1071414-Reviews-R_B_Hotel_Kumamoto_Shimotori-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Hotel Shirogane,860-0051,Kumamoto Prefecture,1-6-26 Nihongi Kumamoto,,,http://www.tripadvisor.com/Hotel_Review-g298213-d1071418-Reviews-Hotel_Shirogane-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Hotel Sunroute Kumamoto,860-0807,Kumamoto Prefecture,1-7-18 Shimotori Kumamoto,,$,http://www.tripadvisor.com/Hotel_Review-g298213-d1071421-Reviews-Hotel_Sunroute_Kumamoto-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Kumamoto Station Hotel,860-0051,Kumamoto Prefecture,1-3-6 Nihongi Kumamoto,75,$,http://www.tripadvisor.com/Hotel_Review-g298213-d1071756-Reviews-Kumamoto_Station_Hotel-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
Kumamoto KB Hotel,860-0811,Kumamoto Prefecture,3-2-9 Honjo Kumamoto,,$,http://www.tripadvisor.com/Hotel_Review-g298213-d1071758-Reviews-Kumamoto_KB_Hotel-Kumamoto_Kumamoto_Prefecture_Kyushu_Okinawa.html
