Grand Prince Hotel Kyoto,606-8505,Kyoto Prefecture,"1092-2 Hataedacho, Iwakura, Sakyo-ku Kyoto",309,$,http://www.tripadvisor.com/Hotel_Review-g298564-d301219-Reviews-Grand_Prince_Hotel_Kyoto-Kyoto_Kyoto_Prefecture_Kinki.html
Kyoto Tokyu Hotel,600-8519,Kyoto Prefecture,"Gojo-sagaru, Horikawa-dori, Shimogyo-ku Kyoto",430,$,http://www.tripadvisor.com/Hotel_Review-g298564-d301925-Reviews-Kyoto_Tokyu_Hotel-Kyoto_Kyoto_Prefecture_Kinki.html
Hotel New Hankyu Kyoto,600-8216,Kyoto Prefecture,"579 Higashishiokoji-cho, Shiokojidori, Shinmachi Higahi iru, Shimogyo-ku Kyoto",323,$,http://www.tripadvisor.com/Hotel_Review-g298564-d302288-Reviews-Hotel_New_Hankyu_Kyoto-Kyoto_Kyoto_Prefecture_Kinki.html
ANA Crowne Plaza Kyoto,604-0055,Kyoto Prefecture,"Nijojo-mae, Horikawa-dori, Nakagyo-ku Kyoto",291,$,http://www.tripadvisor.com/Hotel_Review-g298564-d302530-Reviews-ANA_Crowne_Plaza_Kyoto-Kyoto_Kyoto_Prefecture_Kinki.html
Tour Club,600-8345,Kyoto Prefecture,"362 Momijicho, Shimogyo-ku Kyoto",,$,http://www.tripadvisor.com/Hotel_Review-g298564-d302761-Reviews-Tour_Club-Kyoto_Kyoto_Prefecture_Kinki.html
RyokanYuhara,600-8126 ,Kyoto Prefecture,"188 Kagiyacho, Shimogyo-ku Kyoto",8,$,http://www.tripadvisor.com/Hotel_Review-g298564-d302804-Reviews-RyokanYuhara-Kyoto_Kyoto_Prefecture_Kinki.html
Ryokan Heianbo,600-8216,Kyoto Prefecture,"725 Higashi Shiokoji-cho, Shimogyo-ku Kyoto",,,http://www.tripadvisor.com/Hotel_Review-g298564-d302806-Reviews-Ryokan_Heianbo-Kyoto_Kyoto_Prefecture_Kinki.html
Three Sisters Inn Annex,606-8322,Kyoto Prefecture,"89 Okazaki Iriecho, Sakyo-ku Kyoto",,,http://www.tripadvisor.com/Hotel_Review-g298564-d302809-Reviews-Three_Sisters_Inn_Annex-Kyoto_Kyoto_Prefecture_Kinki.html
Uno House,604-0906 ,Kyoto Prefecture,"108 Higahi Sawaragicho, Nakagyo-ku Kyoto",,$,http://www.tripadvisor.com/Hotel_Review-g298564-d302814-Reviews-Uno_House-Kyoto_Kyoto_Prefecture_Kinki.html
Hotel Alpha Kyoto,604-8031 ,Kyoto Prefecture,"Sanjo-agaru-nisigawa, Kawaramachidori, Nakagyo-ku Kyoto",119,$,http://www.tripadvisor.com/Hotel_Review-g298564-d302815-Reviews-Hotel_Alpha_Kyoto-Kyoto_Kyoto_Prefecture_Kinki.html
