Comfort Inn Suzuka,510-0241,Mie Prefecture,"14-26, Shiroko-Ekimae Suzuka",105,$,http://www.tripadvisor.com/Hotel_Review-g298194-d299467-Reviews-Comfort_Inn_Suzuka-Suzuka_Mie_Prefecture_Kinki.html
Hotel Green Park Suzuka,510-0243,Mie Prefecture,4-15-20 Shiroko Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1074385-Reviews-Hotel_Green_Park_Suzuka-Suzuka_Mie_Prefecture_Kinki.html
Hotel High City Serente,513-0843,Mie Prefecture,14-15 Hiratahigashimachi Suzuka,,$$,http://www.tripadvisor.com/Hotel_Review-g298194-d1086172-Reviews-Hotel_High_City_Serente-Suzuka_Mie_Prefecture_Kinki.html
Hotel Castle Inn Suzuka,513-0806,Mie Prefecture,3-6-12 Sanjo Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1086177-Reviews-Hotel_Castle_Inn_Suzuka-Suzuka_Mie_Prefecture_Kinki.html
Hotel Castle Inn Tamagaki,513-0816,Mie Prefecture,6312 Minamitamagaki Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1086183-Reviews-Hotel_Castle_Inn_Tamagaki-Suzuka_Mie_Prefecture_Kinki.html
Hotel Route Inn Suzuka,513-0844 ,Mie Prefecture,2-6-9 Hirata Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1086188-Reviews-Hotel_Route_Inn_Suzuka-Suzuka_Mie_Prefecture_Kinki.html
Suzuka Royal Hotel,513-0826,Mie Prefecture,3-2-21 Sumiyoshi Suzuka,36,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1094079-Reviews-Suzuka_Royal_Hotel-Suzuka_Mie_Prefecture_Kinki.html
Suzuka Central Hotel,513-0827,Mie Prefecture,3-11-35 Oike Suzuka,106,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1094081-Reviews-Suzuka_Central_Hotel-Suzuka_Mie_Prefecture_Kinki.html
Suzuka Storia Hotel,513-0806,Mie Prefecture,1-1-1 Sanjo Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1094082-Reviews-Suzuka_Storia_Hotel-Suzuka_Mie_Prefecture_Kinki.html
Business Hotel Mifune,513-0801,Mie Prefecture,8-6-11 Kanbe Suzuka,,,http://www.tripadvisor.com/Hotel_Review-g298194-d1114034-Reviews-Business_Hotel_Mifune-Suzuka_Mie_Prefecture_Kinki.html
Hotel High City,510-0241,Mie Prefecture,10-15 Shirokoekimae Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1114040-Reviews-Hotel_High_City-Suzuka_Mie_Prefecture_Kinki.html
Isuzu,513-0833,Mie Prefecture,1-4-51 Shonokyoshin Suzuka,,,http://www.tripadvisor.com/Hotel_Review-g298194-d1114045-Reviews-Isuzu-Suzuka_Mie_Prefecture_Kinki.html
Hanafusa,513-0041,Mie Prefecture,2-11-3 Nagoshinmachi Suzuka,,,http://www.tripadvisor.com/Hotel_Review-g298194-d1114049-Reviews-Hanafusa-Suzuka_Mie_Prefecture_Kinki.html
Suzuka Circuit Hotel,510-0295,Mie Prefecture,7992 Inocho Suzuka,229,$$,http://www.tripadvisor.com/Hotel_Review-g298194-d1145371-Reviews-Suzuka_Circuit_Hotel-Suzuka_Mie_Prefecture_Kinki.html
Shiroko Storia Hotel,510-0241,Mie Prefecture,2955 Shiroko-ekimae Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1484339-Reviews-Shiroko_Storia_Hotel-Suzuka_Mie_Prefecture_Kinki.html
Business Hotel Thank You (Suzuka branch),513-0827,Mie Prefecture,3-8-25 Oike Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1863072-Reviews-Business_Hotel_Thank_You_Suzuka_branch-Suzuka_Mie_Prefecture_Kinki.html
Ryokan Uoyo,510-0254,Mie Prefecture,4-9-21 Jike Suzuka,,$,http://www.tripadvisor.com/Hotel_Review-g298194-d1876902-Reviews-Ryokan_Uoyo-Suzuka_Mie_Prefecture_Kinki.html
