Holiday Inn ANA Sendai,984-0051,Miyagi Prefecture,1-4-1 Shintera Wakabayashi Ku Sendai,165,$,http://www.tripadvisor.com/Hotel_Review-g298249-d299141-Reviews-Holiday_Inn_ANA_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
Sendai Kokusai Hotel,980-0021,Miyagi Prefecture,"4-6-1 Chuo, Aoba-ku Sendai",234,$,http://www.tripadvisor.com/Hotel_Review-g298249-d302459-Reviews-Sendai_Kokusai_Hotel-Sendai_Miyagi_Prefecture_Tohoku.html
Hotel Metropolitan Sendai,980-8477,Miyagi Prefecture,"1-1-1 Chuo, Aoba-ku Sendai",295,$,http://www.tripadvisor.com/Hotel_Review-g298249-d302460-Reviews-Hotel_Metropolitan_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
Marks G Hotel,983-0852 ,Miyagi Prefecture,"1-2-45 Tsutsuji-gaoka, Miyagino-ku Sendai",,,http://www.tripadvisor.com/Hotel_Review-g298249-d302461-Reviews-Marks_G_Hotel-Sendai_Miyagi_Prefecture_Tohoku.html
Hotel JAL City Sendai,980-0013,Miyagi Prefecture,"1-2-12 Kakyoin, Aoba-ku Sendai",238,$,http://www.tripadvisor.com/Hotel_Review-g298249-d307696-Reviews-Hotel_JAL_City_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
Hotel Hokke Club Sendai,980-0014,Miyagi Prefecture,"2-11-30 Honcho, Aoba-ku Sendai",151,$,http://www.tripadvisor.com/Hotel_Review-g298249-d479515-Reviews-Hotel_Hokke_Club_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
Hotel Grand Terrace Sendai Kokubucho,980-0803,Miyagi Prefecture,"2-2-2 Kokubuncho, Aoba-ku Sendai",294,$,http://www.tripadvisor.com/Hotel_Review-g298249-d479770-Reviews-Hotel_Grand_Terrace_Sendai_Kokubucho-Sendai_Miyagi_Prefecture_Tohoku.html
Unizo Inn Sendai,980-0021,Miyagi Prefecture,4-8-7 Chuo Aoba-ku Sendai,250,$,http://www.tripadvisor.com/Hotel_Review-g298249-d482006-Reviews-Unizo_Inn_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
Hotel Leopalace Sendai,983-0852,Miyagi Prefecture,"4-6-28 Tsutsujigaoka, Miyagino-ku Sendai",222,$,http://www.tripadvisor.com/Hotel_Review-g298249-d505510-Reviews-Hotel_Leopalace_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
Hotel Pearl City Sendai,980-0811,Miyagi Prefecture,"2-8-9 Ichiban-Cho, Aoba-ku Sendai",166,$,http://www.tripadvisor.com/Hotel_Review-g298249-d505511-Reviews-Hotel_Pearl_City_Sendai-Sendai_Miyagi_Prefecture_Tohoku.html
