Buena Vista Hotel,390-0814,Nagano Prefecture,1-2-1 Honjo Matsumoto,200,$,http://www.tripadvisor.com/Hotel_Review-g298118-d320185-Reviews-Buena_Vista_Hotel-Matsumoto_Nagano_Prefecture_Chubu.html
Enjo Bekkan,390-0221 ,Nagano Prefecture,110 Satoyamabe Matsumoto,,$,http://www.tripadvisor.com/Hotel_Review-g298118-d320186-Reviews-Enjo_Bekkan-Matsumoto_Nagano_Prefecture_Chubu.html
Hotel Ikkyu,390-0814,Nagano Prefecture,1-11-13 Honjo Matsumoto,,$,http://www.tripadvisor.com/Hotel_Review-g298118-d320188-Reviews-Hotel_Ikkyu-Matsumoto_Nagano_Prefecture_Chubu.html
Ichiyama,390-0811 ,Nagano Prefecture,2-1-12 Chuo Matsumoto,,$,http://www.tripadvisor.com/Hotel_Review-g298118-d320189-Reviews-Ichiyama-Matsumoto_Nagano_Prefecture_Chubu.html
Matsumoto Tokyu Inn,390-0815,Nagano Prefecture,1-3-21 Fukashi Matsumoto,160,$,http://www.tripadvisor.com/Hotel_Review-g298118-d320190-Reviews-Matsumoto_Tokyu_Inn-Matsumoto_Nagano_Prefecture_Chubu.html
Matsumoto Tourist Hotel,390-0815,Nagano Prefecture,2-4-24 Fukashi Matsumoto,201,$,http://www.tripadvisor.com/Hotel_Review-g298118-d320191-Reviews-Matsumoto_Tourist_Hotel-Matsumoto_Nagano_Prefecture_Chubu.html
Tobira Onsen Myojinkan,390-0222,Nagano Prefecture,8967 Iriyamabe Matsumoto,45,$$$$,http://www.tripadvisor.com/Hotel_Review-g298118-d482233-Reviews-Tobira_Onsen_Myojinkan-Matsumoto_Nagano_Prefecture_Chubu.html
Hoshino Resort Kai Matsumoto,390-0303,Nagano Prefecture,1-31-1 Asamaonsen Matsumoto,26,$$$$,http://www.tripadvisor.com/Hotel_Review-g298118-d482372-Reviews-Hoshino_Resort_Kai_Matsumoto-Matsumoto_Nagano_Prefecture_Chubu.html
Matsumoto Wellton Hotel,390-0841,Nagano Prefecture,2-4-5 Nagisa Matsumoto,44,$,http://www.tripadvisor.com/Hotel_Review-g298118-d1017403-Reviews-Matsumoto_Wellton_Hotel-Matsumoto_Nagano_Prefecture_Chubu.html
Richmond Hotel Matsumoto,390-0811,Nagano Prefecture,1-10-7 Chuo Matsumoto,204,$,http://www.tripadvisor.com/Hotel_Review-g298118-d1045307-Reviews-Richmond_Hotel_Matsumoto-Matsumoto_Nagano_Prefecture_Chubu.html
