Hotel Europe Nagasaki,859-3293,Nagasaki Prefecture,7-7 Huis Ten Bosch Sasebo,329,$$$$,http://www.tripadvisor.com/Hotel_Review-g298217-d301715-Reviews-Hotel_Europe_Nagasaki-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hotel Nikko Huis Ten Bosch,859-3243,Nagasaki Prefecture,6 Huis Ten Bosch Machi Sasebo,388,$$,http://www.tripadvisor.com/Hotel_Review-g298217-d302381-Reviews-Hotel_Nikko_Huis_Ten_Bosch-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Leo Plaza Hotel Sasebo,857-0863,Nagasaki Prefecture,4-28 Miuracho Sasebo,37,$,http://www.tripadvisor.com/Hotel_Review-g298217-d307659-Reviews-Leo_Plaza_Hotel_Sasebo-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hotel Okura JR Huis Ten Bosch,859-3296 ,Nagasaki Prefecture,"10 Huis Ten Bosch-cho, Sasebo-shi Sasebo",320,$$,http://www.tripadvisor.com/Hotel_Review-g298217-d307671-Reviews-Hotel_Okura_JR_Huis_Ten_Bosch-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Chisun Grand Sasebo,857-0055 ,Nagasaki Prefecture,5-24 Minatomachi Sasebo,162,$,http://www.tripadvisor.com/Hotel_Review-g298217-d457075-Reviews-Chisun_Grand_Sasebo-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Yumihari-no-Oka Hotel,857-0069,Nagasaki Prefecture,510 Udogoe-cho Sasebo,105,$,http://www.tripadvisor.com/Hotel_Review-g298217-d628761-Reviews-Yumihari_no_Oka_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Sasebo Washington Hotel,857-0834,Nagasaki Prefecture,12-7 Shiomi-cho Sasebo,190,$,http://www.tripadvisor.com/Hotel_Review-g298217-d648116-Reviews-Sasebo_Washington_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hotel Resol Sasebo,857-0862,Nagasaki Prefecture,8-17 Shirahaecho Sasebo,154,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071245-Reviews-Hotel_Resol_Sasebo-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Forest Villa,859-3293,Nagasaki Prefecture,7-7 Hausutenbosumachi Sasebo,105,$$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071249-Reviews-Forest_Villa-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Sasebo Green Hotel,857-0853,Nagasaki Prefecture,4-1 Miura-machi Sasebo,74,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071250-Reviews-Sasebo_Green_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hanamizuki Onsen SASPA,858-0922,Nagasaki Prefecture,1129 Kashimaecho Sasebo,,$$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071252-Reviews-Hanamizuki_Onsen_SASPA-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hotel Sunroute Sasebo,857-0871,Nagasaki Prefecture,1-15 Motoshima-cho Sasebo,106,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071253-Reviews-Hotel_Sunroute_Sasebo-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hotel Banshouro,857-0027,Nagasaki Prefecture,5-32 Tanigo-cho Sasebo,,,http://www.tripadvisor.com/Hotel_Review-g298217-d1071254-Reviews-Hotel_Banshouro-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Saikaibashi Corazon Hotel,859-3451,Nagasaki Prefecture,2523-1 Hariohigashi-machi Sasebo,91,$$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071260-Reviews-Saikaibashi_Corazon_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Grand First Inn Sasebo,857-0876,Nagasaki Prefecture,7-1 Shiohama-cho Sasebo,,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071261-Reviews-Grand_First_Inn_Sasebo-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Sasebo Daiichi Hotel,857-0863,Nagasaki Prefecture,4-4 Miura-cho Sasebo,84,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071263-Reviews-Sasebo_Daiichi_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Business Hotel Suizanso,857-0040,Nagasaki Prefecture,4-20 Hira-machi Sasebo,,,http://www.tripadvisor.com/Hotel_Review-g298217-d1071265-Reviews-Business_Hotel_Suizanso-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Business Kaneko Hotel,857-0864,Nagasaki Prefecture,8-23 Tono-cho Sasebo,,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1071266-Reviews-Business_Kaneko_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Fuji International Hotel,857-0053,Nagasaki Prefecture,8-8 Tokiwa-cho Sasebo,132,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1085797-Reviews-Fuji_International_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Ryokan Tsukumosou,857-0801,Nagasaki Prefecture,8-3 Gion-cho Sasebo,,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1085829-Reviews-Ryokan_Tsukumosou-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Sun Hotel Iida,857-0878,Nagasaki Prefecture,"4-19, Yamagata-cho Sasebo",,,http://www.tripadvisor.com/Hotel_Review-g298217-d1085848-Reviews-Sun_Hotel_Iida-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Sasebo Terminal Hotel,857-0862,Nagasaki Prefecture,"7-4, Shirahae-cho Sasebo",,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1085866-Reviews-Sasebo_Terminal_Hotel-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Hanaichi,857-1231,Nagasaki Prefecture,190 Funakoshi-cho Sasebo,,,http://www.tripadvisor.com/Hotel_Review-g298217-d1085999-Reviews-Hanaichi-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
Business Hotel Byblos,857-0802,Nagasaki Prefecture,5-3 Kouten-cho Sasebo,40,$,http://www.tripadvisor.com/Hotel_Review-g298217-d1086008-Reviews-Business_Hotel_Byblos-Sasebo_Nagasaki_Prefecture_Kyushu_Okinawa.html
