Nara Hotel,630-8301,Nara Prefecture,1096 Takabatake-cho Nara,129,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d307626-Reviews-Nara_Hotel-Nara_Nara_Prefecture_Kinki.html
Kikusuiro,630-8301,Nara Prefecture,1130 Takahatacho Nara,,$$$,http://www.tripadvisor.com/Hotel_Review-g298198-d319870-Reviews-Kikusuiro-Nara_Nara_Prefecture_Kinki.html
Seikanso,630-8327,Nara Prefecture,29 Higashi Kitsuji-cho Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d319871-Reviews-Seikanso-Nara_Nara_Prefecture_Kinki.html
Hotel Sunroute Nara,630-8301,Nara Prefecture,1110 Takabatakecho Nara,95,$,http://www.tripadvisor.com/Hotel_Review-g298198-d325783-Reviews-Hotel_Sunroute_Nara-Nara_Nara_Prefecture_Kinki.html
Hotel Fujita Nara,630-8236,Nara Prefecture,47-1 Shimo-Sanjocho Nara,117,$,http://www.tripadvisor.com/Hotel_Review-g298198-d325892-Reviews-Hotel_Fujita_Nara-Nara_Nara_Prefecture_Kinki.html
Hotel Nikko Nara,630-8122,Nara Prefecture,8-1 Sanjo Hommachi Nara,330,$,http://www.tripadvisor.com/Hotel_Review-g298198-d574405-Reviews-Hotel_Nikko_Nara-Nara_Nara_Prefecture_Kinki.html
Petit Hotel Nara Club,630-8204,Nara Prefecture,21 Kitamikado-cho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d613525-Reviews-Petit_Hotel_Nara_Club-Nara_Nara_Prefecture_Kinki.html
Hotel Half Time,630-8114,Nara Prefecture,2-11-1 Shibatsuji-cho Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d628499-Reviews-Hotel_Half_Time-Nara_Nara_Prefecture_Kinki.html
Ryokan Matsumae,630-8362,Nara Prefecture,28-1 Higashi Terabayashicho Nara,23,$,http://www.tripadvisor.com/Hotel_Review-g298198-d629858-Reviews-Ryokan_Matsumae-Nara_Nara_Prefecture_Kinki.html
Kankaso,630-8212,Nara Prefecture,10 Kasugano-cho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d754016-Reviews-Kankaso-Nara_Nara_Prefecture_Kinki.html
Comfort Hotel NARA,630-8244,Nara Prefecture,321 3 Sanjo cho Nara,131,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1025759-Reviews-Comfort_Hotel_NARA-Nara_Nara_Prefecture_Kinki.html
Kasuga Hotel,630-8213,Nara Prefecture,40 Noboriojicho Nara,32,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1059273-Reviews-Kasuga_Hotel-Nara_Nara_Prefecture_Kinki.html
Asukaso,630-8301,Nara Prefecture,1113-3 Takabatakecho Nara,28,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1064292-Reviews-Asukaso-Nara_Nara_Prefecture_Kinki.html
Daibutsukan,630-8301,Nara Prefecture,250 Takabatakecho Nara,30,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066598-Reviews-Daibutsukan-Nara_Nara_Prefecture_Kinki.html
Furuichi Ryokan,630-8362,Nara Prefecture,6 Higashiterabayashicho Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066600-Reviews-Furuichi_Ryokan-Nara_Nara_Prefecture_Kinki.html
Hotel Mimatsu,630-8233,Nara Prefecture,10 Ogawacho Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066603-Reviews-Hotel_Mimatsu-Nara_Nara_Prefecture_Kinki.html
Cotton 100 %,630-8301,Nara Prefecture,1122-21 Takabatakecho Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066614-Reviews-Cotton_100-Nara_Nara_Prefecture_Kinki.html
Nara Park Hotel,631-0845,Nara Prefecture,4-18-1 Horai Nara,35,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066627-Reviews-Nara_Park_Hotel-Nara_Nara_Prefecture_Kinki.html
Nara Washington Hotel Plaza,630-8236,Nara Prefecture,31-1 Shimosanjocho Nara,204,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066631-Reviews-Nara_Washington_Hotel_Plaza-Nara_Nara_Prefecture_Kinki.html
People's Inn Hanakomichi,630-8226,Nara Prefecture,23 Konishicho Nara,30,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066642-Reviews-People_s_Inn_Hanakomichi-Nara_Nara_Prefecture_Kinki.html
Ryokan Hakuhou,630-8228,Nara Prefecture,4-1 Kamisanjocho Nara,20,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066644-Reviews-Ryokan_Hakuhou-Nara_Nara_Prefecture_Kinki.html
Ryokan Nanto,630-8228,Nara Prefecture,29 Kamisanjo-cho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066646-Reviews-Ryokan_Nanto-Nara_Nara_Prefecture_Kinki.html
Heijo,630-8202,Nara Prefecture,728 Kawakamicho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1066651-Reviews-Heijo-Nara_Nara_Prefecture_Kinki.html
Toyoko Inn Nara Shin Omiya Ekimae,630-8114　,Nara Prefecture,4-3-2 Shibatsujicho Nara,139,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1084756-Reviews-Toyoko_Inn_Nara_Shin_Omiya_Ekimae-Nara_Nara_Prefecture_Kinki.html
Green Hotel Ashibi,630-8214,Nara Prefecture,16-1 Higashimuki Kitamachi Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1086827-Reviews-Green_Hotel_Ashibi-Nara_Nara_Prefecture_Kinki.html
Hatago Hasegawa,630-8301,Nara Prefecture,1474 Takabatakecho Nara,,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1086838-Reviews-Hatago_Hasegawa-Nara_Nara_Prefecture_Kinki.html
Hotel Asyl Nara,630-8247,Nara Prefecture,1-58 Aburasakacho Nara,42,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1086897-Reviews-Hotel_Asyl_Nara-Nara_Nara_Prefecture_Kinki.html
Hotel Asyl Nara Annex,630-8014,Nara Prefecture,1-4-45 Shijooji Nara,81,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1086906-Reviews-Hotel_Asyl_Nara_Annex-Nara_Nara_Prefecture_Kinki.html
Hotel Allamanda,630-8001,Nara Prefecture,1857-3 Hokkejicho Nara,13,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1086944-Reviews-Hotel_Allamanda-Nara_Nara_Prefecture_Kinki.html
Mikasa,630-8202,Nara Prefecture,728 Kawakamicho Nara,34,$$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1086966-Reviews-Mikasa-Nara_Nara_Prefecture_Kinki.html
Hotel New Wakasa,630-8274,Nara Prefecture,1 Kitahanda Higashi-machi Nara,22,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1087043-Reviews-Hotel_New_Wakasa-Nara_Nara_Prefecture_Kinki.html
Hotel Yamatoji,630-8301,Nara Prefecture,1118 Bodaicho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1087068-Reviews-Hotel_Yamatoji-Nara_Nara_Prefecture_Kinki.html
Kanko Hotel Tamaru,630-8273,Nara Prefecture,41 Oshiagecho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1087073-Reviews-Kanko_Hotel_Tamaru-Nara_Nara_Prefecture_Kinki.html
Kanponoyado Nara,630-8002,Nara Prefecture,3-9-1 Nijocho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1087083-Reviews-Kanponoyado_Nara-Nara_Nara_Prefecture_Kinki.html
Kasuganoso,630-8113,Nara Prefecture,757-2 Horencho Nara,31,$,http://www.tripadvisor.com/Hotel_Review-g298198-d1087086-Reviews-Kasuganoso-Nara_Nara_Prefecture_Kinki.html
KKR Nara Mikasaso,630-8301,Nara Prefecture,1224 Takabatakecho Nara,,$$,http://www.tripadvisor.com/Hotel_Review-g298198-d1087097-Reviews-KKR_Nara_Mikasaso-Nara_Nara_Prefecture_Kinki.html
