Bandai Silver Hotel,950-8533,Niigata Prefecture,"1-3-30 Bandai, Chuo-ku Niigata",222,$,http://www.tripadvisor.com/Hotel_Review-g298120-d300454-Reviews-Bandai_Silver_Hotel-Niigata_Niigata_Prefecture_Chubu.html
The Italia Ken,951-8061,Niigata Prefecture,"7-1574 Chuo-ku Nishiboridori, Niigata",,$,http://www.tripadvisor.com/Hotel_Review-g298120-d301287-Reviews-The_Italia_Ken-Niigata_Niigata_Prefecture_Chubu.html
Hotel Okura Niigata,951-8053,Niigata Prefecture,"6-53 Kawabatacho, Chuo-ku Niigata",265,$,http://www.tripadvisor.com/Hotel_Review-g298120-d301655-Reviews-Hotel_Okura_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Hotel Nikko Niigata,950-0078,Niigata Prefecture,"5-1 Bandaijima, Chuo-ku Niigata",203,$,http://www.tripadvisor.com/Hotel_Review-g298120-d302019-Reviews-Hotel_Nikko_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Niigata Tokyu Inn,950-0901,Niigata Prefecture,"1-2-4 Benten, Chuo-ku Niigata",309,$,http://www.tripadvisor.com/Hotel_Review-g298120-d325561-Reviews-Niigata_Tokyu_Inn-Niigata_Niigata_Prefecture_Chubu.html
Hotel Leopalace Niigata,950-0086,Niigata Prefecture,"1-6-15 Hanazono, Chuo-ku Niigata",160,$,http://www.tripadvisor.com/Hotel_Review-g298120-d505393-Reviews-Hotel_Leopalace_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Hotel Sunroute Niigata,950-0087,Niigata Prefecture,"1-11-25 Higashiodori, Chuo-ku Niigata",231,$,http://www.tripadvisor.com/Hotel_Review-g298120-d583148-Reviews-Hotel_Sunroute_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Niigata Washington Hotel,950-0911　,Niigata Prefecture,1-1 Sasaguchi Niigata,,,http://www.tripadvisor.com/Hotel_Review-g298120-d583618-Reviews-Niigata_Washington_Hotel-Niigata_Niigata_Prefecture_Chubu.html
Niigata Toei Hotel,950-0901,Niigata Prefecture,"2-1-6 Benten, Chuo-ku Niigata",,$,http://www.tripadvisor.com/Hotel_Review-g298120-d628277-Reviews-Niigata_Toei_Hotel-Niigata_Niigata_Prefecture_Chubu.html
Court Hotel Niigata,950-0901,Niigata Prefecture,"2-3-35 Benten, Chuo-ku Niigata",157,$,http://www.tripadvisor.com/Hotel_Review-g298120-d628701-Reviews-Court_Hotel_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Chisun Hotel & Conference Center Niigata,950-0911,Niigata Prefecture,"1-1 Sasaguchi, Chuo-ku Niigata",303,$,http://www.tripadvisor.com/Hotel_Review-g298120-d676652-Reviews-Chisun_Hotel_Conference_Center_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Dormy Inn Niigata,950-0084,Niigata Prefecture,"1-7-14 Akashi, Chuo-ku Niigata",242,$,http://www.tripadvisor.com/Hotel_Review-g298120-d1081729-Reviews-Dormy_Inn_Niigata-Niigata_Niigata_Prefecture_Chubu.html
Fujiya,953-0104,Niigata Prefecture,"693 Iwamuro Onsen, Nishikan-ku Niigata",64,$$,http://www.tripadvisor.com/Hotel_Review-g298120-d1081731-Reviews-Fujiya-Niigata_Niigata_Prefecture_Chubu.html
