International Minshuku Kokage,874-0935　,Oita Prefecture,8-9 Ekimae-cho Beppu,,$,http://www.tripadvisor.com/Hotel_Review-g298219-d302515-Reviews-International_Minshuku_Kokage-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Business Hotel Kagetsu,874-0909 ,Oita Prefecture,7-22 Tanoyu-cho Beppu,,$,http://www.tripadvisor.com/Hotel_Review-g298219-d320308-Reviews-Business_Hotel_Kagetsu-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Kannawaen,874-0045,Oita Prefecture,6-kumi Miyuki Beppu,,$$$,http://www.tripadvisor.com/Hotel_Review-g298219-d320309-Reviews-Kannawaen-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Sakaeya,874-0043,Oita Prefecture,Kannawa Ida 2-kumi Beppu,,$,http://www.tripadvisor.com/Hotel_Review-g298219-d320310-Reviews-Sakaeya-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Suginoi Hotel,874-0822,Oita Prefecture,1 Kankaiji Beppu,592,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d320314-Reviews-Suginoi_Hotel-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Kijima Kogen Hotel,874-8666 ,Oita Prefecture,123 Kijima Beppu,71,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d483612-Reviews-Kijima_Kogen_Hotel-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Sun Seaside Hotel,874-0920 ,Oita Prefecture,2-14-35 Kitahama Beppu,,,http://www.tripadvisor.com/Hotel_Review-g298219-d505997-Reviews-Sun_Seaside_Hotel-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Nogamihonkan Ryokan,874-0920,Oita Prefecture,1-12-1 Kitahama Beppu,31,$,http://www.tripadvisor.com/Hotel_Review-g298219-d553831-Reviews-Nogamihonkan_Ryokan-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Sea Wave Beppu,874-0935,Oita Prefecture,12-8 Ekimaecho Beppu,91,$,http://www.tripadvisor.com/Hotel_Review-g298219-d628337-Reviews-Hotel_Sea_Wave_Beppu-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel New Tsuruta,874-0920,Oita Prefecture,1-14-15 Kitahama Beppu,60,$,http://www.tripadvisor.com/Hotel_Review-g298219-d652708-Reviews-Hotel_New_Tsuruta-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Shirasagi,874-0920,Oita Prefecture,3-11-25 Kitahama Beppu,,,http://www.tripadvisor.com/Hotel_Review-g298219-d666420-Reviews-Hotel_Shirasagi-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Ryokan Sueyoshi,874-0920,Oita Prefecture,2-12-9 Kitahama Beppu,,$,http://www.tripadvisor.com/Hotel_Review-g298219-d673809-Reviews-Ryokan_Sueyoshi-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Beppu Kamenoi Hotel,874-0936,Oita Prefecture,5-17 Chuo Machi Beppu,322,$,http://www.tripadvisor.com/Hotel_Review-g298219-d803313-Reviews-Beppu_Kamenoi_Hotel-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Beppu Daiiti Hotel,874-0933,Oita Prefecture,2-40 Noguchimotomachi Beppu,47,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078011-Reviews-Beppu_Daiiti_Hotel-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Beppu Hotel Seifu,874-0920,Oita Prefecture,2-12-21 Kitahama Beppu,161,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078018-Reviews-Beppu_Hotel_Seifu-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Good Inn Beppu,874-0945,Oita Prefecture,10 Hamamachi Beppu,210,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078023-Reviews-Good_Inn_Beppu-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Fujiyoshi,874-0933,Oita Prefecture,1-3 Noguchimotomachi Beppu,88,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078027-Reviews-Hotel_Fujiyoshi-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Hosenkaku,874-0920,Oita Prefecture,3-10-23 Kitahama Beppu,,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078031-Reviews-Hotel_Hosenkaku-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Koraku,874-0920,Oita Prefecture,3-13-21 Kitahama Beppu,38,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078056-Reviews-Hotel_Koraku-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Sun Valley,874-0919,Oita Prefecture,10-2-33 Ishigakihigashi Beppu,95,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078060-Reviews-Hotel_Sun_Valley-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Sun Valley Annex,874-0919,Oita Prefecture,10-1-20 Ishigakihigashi Beppu,150,$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078063-Reviews-Hotel_Sun_Valley_Annex-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Sansuikan,874-0844,Oita Prefecture,628-1 Tsurumi Beppu,,$$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078125-Reviews-Hotel_Sansuikan-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Hotel Shiragiku,874-0908,Oita Prefecture,16-36 Kamitanoyumachi Beppu,115,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078158-Reviews-Hotel_Shiragiku-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Seaside Hotel Mimatsu OOETEI,874-0920,Oita Prefecture,3-14-17 Kitahama Beppu,,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078180-Reviews-Seaside_Hotel_Mimatsu_OOETEI-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Seikai,874-0023,Oita Prefecture,6-24 Shoningahamacho Beppu,48,$$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078181-Reviews-Seikai-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Tenjuso,874-0904,Oita Prefecture,"6 kumi, Minamisoencho Beppu",,,http://www.tripadvisor.com/Hotel_Review-g298219-d1078187-Reviews-Tenjuso-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Seikaiso,874-0920,Oita Prefecture,3-14-3 Kitahama Beppu,28,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078190-Reviews-Seikaiso-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Bokai,874-0920,Oita Prefecture,3-8-7 Kitahama Beppu,,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078218-Reviews-Bokai-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Takenoi,874-0920,Oita Prefecture,3-10-26 Kitahama Beppu,,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1078223-Reviews-Takenoi-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
Nagomitsuki,874-0032 ,Oita Prefecture,11-18 Shonin Honmachi Beppu,12,$$,http://www.tripadvisor.com/Hotel_Review-g298219-d1083099-Reviews-Nagomitsuki-Beppu_Oita_Prefecture_Kyushu_Okinawa.html
