Vessel hotel Kurashiki,701-0114,Okayama Prefecture,1177-7 Matsushima Kurashiki,119,$,http://www.tripadvisor.com/Hotel_Review-g298133-d299372-Reviews-Vessel_hotel_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Hotel Nikko Kurashiki,710-0055,Okayama Prefecture,3-21-19 Achi Kurashiki,70,$$,http://www.tripadvisor.com/Hotel_Review-g298133-d306500-Reviews-Hotel_Nikko_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Hostel Cuore Kurashiki,710-0046,Okayama Prefecture,1-9-4 Chuo Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d323967-Reviews-Hostel_Cuore_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Hotel Kurashiki,710-0055,Okayama Prefecture,1-1-1 Achi Kurashiki,133,$,http://www.tripadvisor.com/Hotel_Review-g298133-d323968-Reviews-Hotel_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki Ivy Square Hotel,710-0054,Okayama Prefecture,7-2 Honmachi Kurashiki,161,$,http://www.tripadvisor.com/Hotel_Review-g298133-d323970-Reviews-Kurashiki_Ivy_Square_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki Kokusai Hotel,710-0046,Okayama Prefecture,1-1-44 Chuo Kurashiki,106,$$,http://www.tripadvisor.com/Hotel_Review-g298133-d323971-Reviews-Kurashiki_Kokusai_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki,710-0054,Okayama Prefecture,4-1 Honmachi Kurashiki,,$$$$,http://www.tripadvisor.com/Hotel_Review-g298133-d323972-Reviews-Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Toyoko Inn Kurashiki-Eki Minamiguchi,710-0055,Okayama Prefecture,2-10-20 Achi Kurashiki,154,$,http://www.tripadvisor.com/Hotel_Review-g298133-d323974-Reviews-Toyoko_Inn_Kurashiki_Eki_Minamiguchi-Kurashiki_Okayama_Prefecture_Chugoku.html
Tsurugata,710-0046,Okayama Prefecture,1-3-15 Chuo Kurashiki,,$$$,http://www.tripadvisor.com/Hotel_Review-g298133-d323975-Reviews-Tsurugata-Kurashiki_Okayama_Prefecture_Chugoku.html
Court Hotel Kurashiki,710-0046,Okayama Prefecture,2-2-26 Chuo Kurashiki,104,$,http://www.tripadvisor.com/Hotel_Review-g298133-d479501-Reviews-Court_Hotel_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Setouchi Kojima Hotel,711-0926,Okayama Prefecture,303-53 Fukiage Shimotsui Kurashiki,,$$,http://www.tripadvisor.com/Hotel_Review-g298133-d628335-Reviews-Setouchi_Kojima_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Misono Ryokan,710-0826,Okayama Prefecture,3-4-1 Omatsucho Kurashiki,,$$,http://www.tripadvisor.com/Hotel_Review-g298133-d729734-Reviews-Misono_Ryokan-Kurashiki_Okayama_Prefecture_Chugoku.html
Hotel Sunplaza Kurashiki,710-0814,Okayama Prefecture,1-5 Iwamicho Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1030701-Reviews-Hotel_Sunplaza_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki Seaside Hotel,711-0934,Okayama Prefecture,2767-21 Kojima Shionasu Kurashiki,75,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1030705-Reviews-Kurashiki_Seaside_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki Youth Hostel,710-0044,Okayama Prefecture,1537-1 Mukoyama Kurashiki,,,http://www.tripadvisor.com/Hotel_Review-g298133-d1030709-Reviews-Kurashiki_Youth_Hostel-Kurashiki_Okayama_Prefecture_Chugoku.html
Shin-Kurashiki Green Hotel,713-8103,Okayama Prefecture,7130-1 Tamashima Otoshima Kurashiki,,,http://www.tripadvisor.com/Hotel_Review-g298133-d1030714-Reviews-Shin_Kurashiki_Green_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Washu Highland Hotel,711-0926,Okayama Prefecture,303-17 Shimotsuifukiage Kurashiki,76,$$$,http://www.tripadvisor.com/Hotel_Review-g298133-d1030726-Reviews-Washu_Highland_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Yamako,701-0112,Okayama Prefecture,140-1 Shimosho Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1030727-Reviews-Yamako-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki Business Hotel Mizushima,712-8063,Okayama Prefecture,1-8 Mizushima Minamisaiwai-cho Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1030733-Reviews-Kurashiki_Business_Hotel_Mizushima-Kurashiki_Okayama_Prefecture_Chugoku.html
Yoshii Ryokan,710-0054,Okayama Prefecture,1-29 Honmachi Kurashiki,,$$$$,http://www.tripadvisor.com/Hotel_Review-g298133-d1041939-Reviews-Yoshii_Ryokan-Kurashiki_Okayama_Prefecture_Chugoku.html
Hotel Setoohashi,711-0934,Okayama Prefecture,3777 Kojimashionasu Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1073101-Reviews-Hotel_Setoohashi-Kurashiki_Okayama_Prefecture_Chugoku.html
Hotel 1-2-3 Kurashiki,710-0826,Okayama Prefecture,2-12-15 Oimatsucho Kurashiki,140,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1073102-Reviews-Hotel_1_2_3_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Kurashiki Station Hotel,710-0055,Okayama Prefecture,2-8-1 Achi Kurashiki,111,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1073105-Reviews-Kurashiki_Station_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Ryori & Oyado Shimotsuitei,711-0927,Okayama Prefecture,4-1-3 Shimotsui Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1073107-Reviews-Ryori_Oyado_Shimotsuitei-Kurashiki_Okayama_Prefecture_Chugoku.html
Santoka,711-0901,Okayama Prefecture,3285 Kojimayuga Kurashiki,,$$$,http://www.tripadvisor.com/Hotel_Review-g298133-d1073108-Reviews-Santoka-Kurashiki_Okayama_Prefecture_Chugoku.html
Business Inn Kurashiki,710-0051 ,Okayama Prefecture,6-5 Saiwaicho Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1088986-Reviews-Business_Inn_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Hotel Cent Inn Kurashiki,710-0253,Okayama Prefecture,5-203 Shinkurashiki-ekimae Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1088989-Reviews-Hotel_Cent_Inn_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
White Inn Kurashiki,710-0821　　,Okayama Prefecture,11-10 Kawanishimachi Kurashiki,47,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1088991-Reviews-White_Inn_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Higashimachi,710-0053,Okayama Prefecture,2-7 Higashimachi Kurashiki,,,http://www.tripadvisor.com/Hotel_Review-g298133-d1088994-Reviews-Higashimachi-Kurashiki_Okayama_Prefecture_Chugoku.html
Park Side Villa Kurashiki,710-0801,Okayama Prefecture,1664-3 Sakazu Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1089002-Reviews-Park_Side_Villa_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Sanyo Heights,710-0031 ,Okayama Prefecture,1265 Aruki Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1089003-Reviews-Sanyo_Heights-Kurashiki_Okayama_Prefecture_Chugoku.html
Bingoya,713-8121,Okayama Prefecture,956 Tamashimaagasaki Kurashiki,9,$$,http://www.tripadvisor.com/Hotel_Review-g298133-d1092868-Reviews-Bingoya-Kurashiki_Okayama_Prefecture_Chugoku.html
Escale Mizushima,712-8057,Okayama Prefecture,3-27 Mizushimahigashichidoricho Kurashiki,,,http://www.tripadvisor.com/Hotel_Review-g298133-d1096911-Reviews-Escale_Mizushima-Kurashiki_Okayama_Prefecture_Chugoku.html
Washuzan Shimoden Hotel,711-0924,Okayama Prefecture,1666-2 Obatake Kurashiki,101,$$,http://www.tripadvisor.com/Hotel_Review-g298133-d1096912-Reviews-Washuzan_Shimoden_Hotel-Kurashiki_Okayama_Prefecture_Chugoku.html
Seaside Truffle,711-0927,Okayama Prefecture,3-105 Shimotsui Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1096913-Reviews-Seaside_Truffle-Kurashiki_Okayama_Prefecture_Chugoku.html
Ryokanso,713-8123,Okayama Prefecture,478 Tamashima Kashiwajima Kurashiki,,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1110344-Reviews-Ryokanso-Kurashiki_Okayama_Prefecture_Chugoku.html
Pension Tefutefu,711-0933,Okayama Prefecture,19-2 Kojimakayo Kurashiki,,,http://www.tripadvisor.com/Hotel_Review-g298133-d1110346-Reviews-Pension_Tefutefu-Kurashiki_Okayama_Prefecture_Chugoku.html
Dormy Inn Kurashiki,710-0055,Okayama Prefecture,3-21-11 Achi Kurashiki,168,$,http://www.tripadvisor.com/Hotel_Review-g298133-d1110351-Reviews-Dormy_Inn_Kurashiki-Kurashiki_Okayama_Prefecture_Chugoku.html
Business Hotel Appoint,710-0052,Okayama Prefecture,1-14-29 Miwa Kurashiki,,,http://www.tripadvisor.com/Hotel_Review-g298133-d1110352-Reviews-Business_Hotel_Appoint-Kurashiki_Okayama_Prefecture_Chugoku.html
