Laguna Garden Hotel,901-2224,Okinawa Prefecture,4-1-1 Mashiki Ginowan,303,$$,http://www.tripadvisor.com/Hotel_Review-g298222-d300575-Reviews-Laguna_Garden_Hotel-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Kenkobunkamura Culture Resort Festone,901-2224,Okinawa Prefecture,3-28-1 Mashiki Ginowan,26,$,http://www.tripadvisor.com/Hotel_Review-g298222-d1035789-Reviews-Kenkobunkamura_Culture_Resort_Festone-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Guesthouse Freedom Bebas,901-2202,Okinawa Prefecture,1-27-7-2F Futenma Ginowan,,,http://www.tripadvisor.com/Hotel_Review-g298222-d1457694-Reviews-Guesthouse_Freedom_Bebas-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Moon Ocean Ginowan Hotel & Residence,901-2227,Okinawa Prefecture,558-8 Uchidomari Ginowan,177,$$,http://www.tripadvisor.com/Hotel_Review-g298222-d1737178-Reviews-Moon_Ocean_Ginowan_Hotel_Residence-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Base-Side Inn,901-2223,Okinawa Prefecture,2-4-5 Oyama Ginowan,,$$$,http://www.tripadvisor.com/Hotel_Review-g298222-d1862104-Reviews-Base_Side_Inn-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Hotel Noah,901-2227,Okinawa Prefecture,764 Uchidomari Ginowan,36,$,http://www.tripadvisor.com/Hotel_Review-g298222-d1882640-Reviews-Hotel_Noah-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Sands House Oyama,901-2223,Okinawa Prefecture,1-15-16 Oyama Ginowan,2,$$,http://www.tripadvisor.com/Hotel_Review-g298222-d3322449-Reviews-Sands_House_Oyama-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
Kafu-wa Ginowan,901-2225,Okinawa Prefecture,2-5-11 Ojana Ginowan,,$$$,http://www.tripadvisor.com/Hotel_Review-g298222-d4066585-Reviews-Kafu_wa_Ginowan-Ginowan_Okinawa_Prefecture_Kyushu_Okinawa.html
The Busena Terrace,905-0026,Okinawa Prefecture,1808 Kise Nago,410,$$$$,http://www.tripadvisor.com/Hotel_Review-g1023465-d457065-Reviews-The_Busena_Terrace-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Hotel Resonex Nago,905-0008,Okinawa Prefecture,247-1 Yamanoha Nago,141,$$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1076054-Reviews-Hotel_Resonex_Nago-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Hotel Yamadaso,905-0016,Okinawa Prefecture,1-9-6 Ohigashi Nago,53,,http://www.tripadvisor.com/Hotel_Review-g1023465-d1076055-Reviews-Hotel_Yamadaso-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Hotel Yugaf Inn Okinawa,905-0011,Okinawa Prefecture,453-1 Miyazato Nago,125,$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1076057-Reviews-Hotel_Yugaf_Inn_Okinawa-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Nago Business Hotel,905-0016,Okinawa Prefecture,1-12-6 Ohigashi Nago,35,$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1076058-Reviews-Nago_Business_Hotel-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Hotel Nago Castle,905-0014,Okinawa Prefecture,1-14-1 Minato Nago,,$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1086202-Reviews-Hotel_Nago_Castle-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Hotel Route Inn Nago,905-0021,Okinawa Prefecture,5-11-3 Agarie Nago,147,$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1086210-Reviews-Hotel_Route_Inn_Nago-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Kanucha Bay Hotel & Villas,905-2263,Okinawa Prefecture,156-2 Abu Nago,304,$$$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1086223-Reviews-Kanucha_Bay_Hotel_Villas-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Kise Beach Palace,905-0026,Okinawa Prefecture,115-2 Kise Nago,146,$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1086227-Reviews-Kise_Beach_Palace-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
Okinawa Marriott Resort & Spa,905-0026,Okinawa Prefecture,1490-1 Kise Nago,361,$$,http://www.tripadvisor.com/Hotel_Review-g1023465-d1086229-Reviews-Okinawa_Marriott_Resort_Spa-Nago_Okinawa_Prefecture_Kyushu_Okinawa.html
