Hotel Nikko Kansai Airport,549-0001,Osaka Prefecture,1 Senshu-kuko kita Izumisano,576,$$,http://www.tripadvisor.com/Hotel_Review-g298200-d302305-Reviews-Hotel_Nikko_Kansai_Airport-Izumisano_Osaka_Prefecture_Kinki.html
Star Gate Hotel Kansai Airport,598-8511,Osaka Prefecture,1 Rinku Orai Kita Izumisano,358,$$,http://www.tripadvisor.com/Hotel_Review-g298200-d307415-Reviews-Star_Gate_Hotel_Kansai_Airport-Izumisano_Osaka_Prefecture_Kinki.html
Bellevue Garden Hotel Kansai International Airport,598-0006,Osaka Prefecture,3-3-34 Ichibanishi Izumisano,186,$,http://www.tripadvisor.com/Hotel_Review-g298200-d307676-Reviews-Bellevue_Garden_Hotel_Kansai_International_Airport-Izumisano_Osaka_Prefecture_Kinki.html
Hotel New Yutaka,598-0002,Osaka Prefecture,915-1 Nakajo Izumisano,61,$,http://www.tripadvisor.com/Hotel_Review-g298200-d642687-Reviews-Hotel_New_Yutaka-Izumisano_Osaka_Prefecture_Kinki.html
Best Western Hotel Kansai Airport,598-0021,Osaka Prefecture,4066 Hineno Izumisano,270,$,http://www.tripadvisor.com/Hotel_Review-g298200-d649466-Reviews-Best_Western_Hotel_Kansai_Airport-Izumisano_Osaka_Prefecture_Kinki.html
Kanku Onsen Hotel Garden Palace,598-0013,Osaka Prefecture,1-3-51 Nakamachi Izumisano,80,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1015375-Reviews-Kanku_Onsen_Hotel_Garden_Palace-Izumisano_Osaka_Prefecture_Kinki.html
Inunaki Grand Hotel Kisenkaku,598-0023,Osaka Prefecture,2240 Ogi Izumisano,27,$$,http://www.tripadvisor.com/Hotel_Review-g298200-d1075744-Reviews-Inunaki_Grand_Hotel_Kisenkaku-Izumisano_Osaka_Prefecture_Kinki.html
First Hotel,598-0007,Osaka Prefecture,3-4-18 Uemachi Izumisano,50,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1075749-Reviews-First_Hotel-Izumisano_Osaka_Prefecture_Kinki.html
Hotel Seagull,598-0062,Osaka Prefecture,2-4-78 Shimokawaraya Izumisano,65,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1075751-Reviews-Hotel_Seagull-Izumisano_Osaka_Prefecture_Kinki.html
Izumisano City Hotel Air Port Prince,598-0055,Osaka Prefecture,6-3 Wakamiyacho Izumisano,78,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1075758-Reviews-Izumisano_City_Hotel_Air_Port_Prince-Izumisano_Osaka_Prefecture_Kinki.html
Lodge Tyojirou,598-0001,Osaka Prefecture,840 Kamikawaraya Izumisano,18,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1075764-Reviews-Lodge_Tyojirou-Izumisano_Osaka_Prefecture_Kinki.html
City Hotel Yutaka,598-0005,Osaka Prefecture,2 1010-3 Ichibahigashi Izumisano,,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1075798-Reviews-City_Hotel_Yutaka-Izumisano_Osaka_Prefecture_Kinki.html
Kansai Airport Washington Hotel,598-8522,Osaka Prefecture,1-7 Rinkuorai Kita Izumisano,504,$,http://www.tripadvisor.com/Hotel_Review-g298200-d1093096-Reviews-Kansai_Airport_Washington_Hotel-Izumisano_Osaka_Prefecture_Kinki.html
