Hotel New Otani Saga,840-0047,Saga Prefecture,1-2 Yogamachi Saga,102,$,http://www.tripadvisor.com/Hotel_Review-g298227-d301322-Reviews-Hotel_New_Otani_Saga-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Comfort Hotel Saga,840-0801,Saga Prefecture,1-14-38 Ekimae Chuo Saga,134,$,http://www.tripadvisor.com/Hotel_Review-g298227-d676405-Reviews-Comfort_Hotel_Saga-Saga_Saga_Prefecture_Kyushu_Okinawa.html
APA Hotel Sagaekimae Chuo,840-0801,Saga Prefecture,2-6-14 Ekimaechuo Saga,218,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1066424-Reviews-APA_Hotel_Sagaekimae_Chuo-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Healthy Pal Saga,849-0918,Saga Prefecture,2-21-35 Hyogominami Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1066425-Reviews-Healthy_Pal_Saga-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Hotel Sansuiso,840-0054,Saga Prefecture,1-2-2 Mizugae Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1066429-Reviews-Hotel_Sansuiso-Saga_Saga_Prefecture_Kyushu_Okinawa.html
ONCRI,840-0501,Saga Prefecture,556 Fujichofuruyu Saga,38,$$$,http://www.tripadvisor.com/Hotel_Review-g298227-d1067837-Reviews-ONCRI-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Kakureisen,840-0501,Saga Prefecture,875 Fujicho Furuyu Saga,,$$$,http://www.tripadvisor.com/Hotel_Review-g298227-d1067847-Reviews-Kakureisen-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Nabeshima S'est,849-0937,Saga Prefecture,3-3-20 Nabeshima Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1067850-Reviews-Nabeshima_S_est-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Royal Park Arcadia Resort,840-2104,Saga Prefecture,"19-1 Tokudomi, Morodomicho Saga",,,http://www.tripadvisor.com/Hotel_Review-g298227-d1067854-Reviews-Royal_Park_Arcadia_Resort-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Akebono,840-0833,Saga Prefecture,3-10 Nakanokoji Saga,,$$,http://www.tripadvisor.com/Hotel_Review-g298227-d1067860-Reviews-Akebono-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Washington Hotel Plaza,840-0801,Saga Prefecture,1-164 Ekimaechuo Saga,,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1067863-Reviews-Washington_Hotel_Plaza-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Chiyodakan,849-0916,Saga Prefecture,"216-1 Higashitakagi, Takagisemachi Saga",33,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1067867-Reviews-Chiyodakan-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Ryutouen,840-0203,Saga Prefecture,120 Yamatocho Oaza Umeno Saga,,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1092617-Reviews-Ryutouen-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Saga City Hotel Kitaguchikan,840-0804,Saga Prefecture,2-7-2 Konohigashi Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1093635-Reviews-Saga_City_Hotel_Kitaguchikan-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Saga City Hotel,840-0801,Saga Prefecture,1-7-31 Ekimaechuo Saga,237,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1093637-Reviews-Saga_City_Hotel-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Hotel Route Inn Saga Ekimae,840-0801,Saga Prefecture,1-9-50 Ekimaechuo Saga,200,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1093643-Reviews-Hotel_Route_Inn_Saga_Ekimae-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Furuyu Log House A,840-0502,Saga Prefecture,1423-15 Fujicho Sugiyama Saga,,$,http://www.tripadvisor.com/Hotel_Review-g298227-d1093649-Reviews-Furuyu_Log_House_A-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Furuyu Woody House D,840-0502,Saga Prefecture,1807-3 Fujicho Sugiyama Saga,,$$,http://www.tripadvisor.com/Hotel_Review-g298227-d1093653-Reviews-Furuyu_Woody_House_D-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Saga Youth Hall,849-0923,Saga Prefecture,1-21-50 Hinode Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1105818-Reviews-Saga_Youth_Hall-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Tamaya,840-0512,Saga Prefecture,118 Fujicho Kamikumakawa Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1105848-Reviews-Tamaya-Saga_Saga_Prefecture_Kyushu_Okinawa.html
Komeya,840-0501,Saga Prefecture,866 Fujicho Furuyu Saga,,,http://www.tripadvisor.com/Hotel_Review-g298227-d1105873-Reviews-Komeya-Saga_Saga_Prefecture_Kyushu_Okinawa.html
