Hotel Heritage Hanno Sta.,357-0038,Saitama Prefecture,11-21 Nakacho Hanno,,$,http://www.tripadvisor.com/Hotel_Review-g298176-d301199-Reviews-Hotel_Heritage_Hanno_Sta-Hanno_Saitama_Prefecture_Kanto.html
Hannou Daiichi Hotel,357-0038,Saitama Prefecture,12-15 Nakacho Hanno,,$,http://www.tripadvisor.com/Hotel_Review-g298176-d1075276-Reviews-Hannou_Daiichi_Hotel-Hanno_Saitama_Prefecture_Kanto.html
Marroad Inn Hanno,357-0021,Saitama Prefecture,Namiyanagi 105-8 Hanno,148,$,http://www.tripadvisor.com/Hotel_Review-g298176-d1075278-Reviews-Marroad_Inn_Hanno-Hanno_Saitama_Prefecture_Kanto.html
Guest House Villages Hannou,357-0021,Saitama Prefecture,1370-2 Namiyanagi Hanno,,,http://www.tripadvisor.com/Hotel_Review-g298176-d1090943-Reviews-Guest_House_Villages_Hannou-Hanno_Saitama_Prefecture_Kanto.html
Minshuku Kawanami,357-0205,Saitama Prefecture,216 Shirako Hanno,,$,http://www.tripadvisor.com/Hotel_Review-g298176-d1090953-Reviews-Minshuku_Kawanami-Hanno_Saitama_Prefecture_Kanto.html
Taishoukaku,357-0112,Saitama Prefecture,917-1 Shimonaguri Hanno,,$$,http://www.tripadvisor.com/Hotel_Review-g298176-d1090976-Reviews-Taishoukaku-Hanno_Saitama_Prefecture_Kanto.html
Business Hotel Ogawa,357-0038,Saitama Prefecture,20-17 Nakacho Hanno,,$,http://www.tripadvisor.com/Hotel_Review-g298176-d1113100-Reviews-Business_Hotel_Ogawa-Hanno_Saitama_Prefecture_Kanto.html
Okumusashi Ryokan,357-0038,Saitama Prefecture,24-8 Nakacho Hanno,,$,http://www.tripadvisor.com/Hotel_Review-g298176-d1113102-Reviews-Okumusashi_Ryokan-Hanno_Saitama_Prefecture_Kanto.html
Shokakuji Shukubo,357-0111,Saitama Prefecture,2326 Kaminaguri Hanno,,,http://www.tripadvisor.com/Hotel_Review-g298176-d1113111-Reviews-Shokakuji_Shukubo-Hanno_Saitama_Prefecture_Kanto.html
Qkamura Okumusashi,357-0216,Saitama Prefecture,72 Agano Hanno,,$$,http://www.tripadvisor.com/Hotel_Review-g298176-d4513459-Reviews-Qkamura_Okumusashi-Hanno_Saitama_Prefecture_Kanto.html
Dormy Inn Express Soka City,340-0022,Saitama Prefecture,1-7-20 Sezaki Soka,95,$,http://www.tripadvisor.com/Hotel_Review-g1021377-d1075321-Reviews-Dormy_Inn_Express_Soka_City-Soka_Saitama_Prefecture_Kanto.html
Hotel Housen Soka,340-0014,Saitama Prefecture,1-2-27 Sumiyoshi Soka,160,$,http://www.tripadvisor.com/Hotel_Review-g1021377-d1089265-Reviews-Hotel_Housen_Soka-Soka_Saitama_Prefecture_Kanto.html
Echigoya,340-0022,Saitama Prefecture,1302-3 Sezaki-cho Soka,,,http://www.tripadvisor.com/Hotel_Review-g1021377-d1089883-Reviews-Echigoya-Soka_Saitama_Prefecture_Kanto.html
Toyoko Inn Soka eki nishiguchi,340-0034　,Saitama Prefecture,2124-15 Hikawa-cho Soka,,$,http://www.tripadvisor.com/Hotel_Review-g1021377-d1497046-Reviews-Toyoko_Inn_Soka_eki_nishiguchi-Soka_Saitama_Prefecture_Kanto.html
Saitamaya Ryokan,340-0015,Saitama Prefecture,1-10-3 Takasago Soka,,$,http://www.tripadvisor.com/Hotel_Review-g1021377-d4341897-Reviews-Saitamaya_Ryokan-Soka_Saitama_Prefecture_Kanto.html
Ryokan Asayorozu,340-0115,Saitama Prefecture,1-6-22 Naka Satte,,$$,http://www.tripadvisor.com/Hotel_Review-g1021406-d1113125-Reviews-Ryokan_Asayorozu-Satte_Saitama_Prefecture_Kanto.html
Hotel Green Core,340-0115,Saitama Prefecture,3-17-24 Naka Satte,45,$,http://www.tripadvisor.com/Hotel_Review-g1021406-d1113128-Reviews-Hotel_Green_Core-Satte_Saitama_Prefecture_Kanto.html
Hotel Green Core Plus one,340-0114,Saitama Prefecture,3-4-8 Higashi Satte,,$,http://www.tripadvisor.com/Hotel_Review-g1021406-d1113136-Reviews-Hotel_Green_Core_Plus_one-Satte_Saitama_Prefecture_Kanto.html
Kawagoe Prince Hotel,350-8501,Saitama Prefecture,1-22 Shintomicho Kawagoe,110,$$,http://www.tripadvisor.com/Hotel_Review-g298177-d301208-Reviews-Kawagoe_Prince_Hotel-Kawagoe_Saitama_Prefecture_Kanto.html
Kawagoe Daiichi Hotel,350-0046,Saitama Prefecture,"7-34, Sugawara-Machi Kawagoe",154,$,http://www.tripadvisor.com/Hotel_Review-g298177-d797376-Reviews-Kawagoe_Daiichi_Hotel-Kawagoe_Saitama_Prefecture_Kanto.html
Capsule Inn Kawagoe,350-1122,Saitama Prefecture,18-3 Wakitamachi Kawagoe,,$,http://www.tripadvisor.com/Hotel_Review-g298177-d1075288-Reviews-Capsule_Inn_Kawagoe-Kawagoe_Saitama_Prefecture_Kanto.html
Kawagoe Tobu Hotel,350-1122,Saitama Prefecture,29-1 Wakitamachi Kawagoe,,$$,http://www.tripadvisor.com/Hotel_Review-g298177-d1075290-Reviews-Kawagoe_Tobu_Hotel-Kawagoe_Saitama_Prefecture_Kanto.html
Kawagoe Yuyu Land Hotel Sanko,350-0043,Saitama Prefecture,1-9-1 Shintomicho Kawagoe,,$,http://www.tripadvisor.com/Hotel_Review-g298177-d1075292-Reviews-Kawagoe_Yuyu_Land_Hotel_Sanko-Kawagoe_Saitama_Prefecture_Kanto.html
Central Hotel Kawagoe,350-0042,Saitama Prefecture,2-21-6 Nakaharamachi Kawagoe,,,http://www.tripadvisor.com/Hotel_Review-g298177-d1096161-Reviews-Central_Hotel_Kawagoe-Kawagoe_Saitama_Prefecture_Kanto.html
Matumuraya Ryokan,350-0062,Saitama Prefecture,1-1-11 Motomachi Kawagoe,,,http://www.tripadvisor.com/Hotel_Review-g298177-d1112967-Reviews-Matumuraya_Ryokan-Kawagoe_Saitama_Prefecture_Kanto.html
Wakatake Ryokan,350-0042,Saitama Prefecture,2-21-3 Nakaharamachi Kawagoe,,$,http://www.tripadvisor.com/Hotel_Review-g298177-d1112984-Reviews-Wakatake_Ryokan-Kawagoe_Saitama_Prefecture_Kanto.html
Kawagoe Business Hotel,350-0033,Saitama Prefecture,12-2 Fujimicho Kawagoe,,,http://www.tripadvisor.com/Hotel_Review-g298177-d1112987-Reviews-Kawagoe_Business_Hotel-Kawagoe_Saitama_Prefecture_Kanto.html
