Horaiso,690-0887,Shimane Prefecture,Tonomachi Matsue,,$$,http://www.tripadvisor.com/Hotel_Review-g298136-d324835-Reviews-Horaiso-Matsue_Shimane_Prefecture_Chugoku.html
Hotel Ichibata,690-0852,Shimane Prefecture,30 Chidori-cho Matsue,142,$$,http://www.tripadvisor.com/Hotel_Review-g298136-d324836-Reviews-Hotel_Ichibata-Matsue_Shimane_Prefecture_Chugoku.html
Matsue New Urban Hotel,690-0845,Shimane Prefecture,40-1 Nishichamachi Matsue,68,$,http://www.tripadvisor.com/Hotel_Review-g298136-d324837-Reviews-Matsue_New_Urban_Hotel-Matsue_Shimane_Prefecture_Chugoku.html
Minami-Kan,690-0843,Shimane Prefecture,14 Suetsugu Honmachi Matsue,,$$$,http://www.tripadvisor.com/Hotel_Review-g298136-d324838-Reviews-Minami_Kan-Matsue_Shimane_Prefecture_Chugoku.html
Inn Terazuya,690-0064,Shimane Prefecture,60-3 Tenjin-machi Matsue,9,$,http://www.tripadvisor.com/Hotel_Review-g298136-d324839-Reviews-Inn_Terazuya-Matsue_Shimane_Prefecture_Chugoku.html
Tokyu Inn Matsue,690-0003,Shimane Prefecture,590 Asahimachi Matsue,181,$,http://www.tripadvisor.com/Hotel_Review-g298136-d324840-Reviews-Tokyu_Inn_Matsue-Matsue_Shimane_Prefecture_Chugoku.html
Matsue Urban Hotel Lakeinn,690-0056,Shimane Prefecture,153 Saikamachi Matsue,44,$,http://www.tripadvisor.com/Hotel_Review-g298136-d1073017-Reviews-Matsue_Urban_Hotel_Lakeinn-Matsue_Shimane_Prefecture_Chugoku.html
Fukumakan,690-1501,Shimane Prefecture,586 Mihonosekichomihonoseki Matsue,15,$,http://www.tripadvisor.com/Hotel_Review-g298136-d1073027-Reviews-Fukumakan-Matsue_Shimane_Prefecture_Chugoku.html
Hoseikan,699-0201,Shimane Prefecture,1191-1 Tamatukuri Tamayucho Matsue,,$$,http://www.tripadvisor.com/Hotel_Review-g298136-d1073028-Reviews-Hoseikan-Matsue_Shimane_Prefecture_Chugoku.html
Hotel Alpha 1 Daini Matsue,690-0003,Shimane Prefecture,461 Asahimachi Matsue,160,$,http://www.tripadvisor.com/Hotel_Review-g298136-d1073029-Reviews-Hotel_Alpha_1_Daini_Matsue-Matsue_Shimane_Prefecture_Chugoku.html
Hotel Alpha 1 Matsue,690-0007,Shimane Prefecture,567 Otesenbacho Matsue,197,$,http://www.tripadvisor.com/Hotel_Review-g298136-d1073030-Reviews-Hotel_Alpha_1_Matsue-Matsue_Shimane_Prefecture_Chugoku.html
