Hoshino Resort Kai Atami,413-0002,Shizuoka Prefecture,750-6 Izusan Atami,16,$$$$,http://www.tripadvisor.com/Hotel_Review-g298122-d304291-Reviews-Hoshino_Resort_Kai_Atami-Atami_Shizuoka_Prefecture_Chubu.html
Atami Korakuen Hotel,413-8626,Shizuoka Prefecture,10-1 Wadahamaminami-Cho Atami,235,$$,http://www.tripadvisor.com/Hotel_Review-g298122-d306466-Reviews-Atami_Korakuen_Hotel-Atami_Shizuoka_Prefecture_Chubu.html
Taikanso,413-0031,Shizuoka Prefecture,7-1 Hayashigaoka-cho Atami,,$$$$,http://www.tripadvisor.com/Hotel_Review-g298122-d320302-Reviews-Taikanso-Atami_Shizuoka_Prefecture_Chubu.html
Hotel New Akao,413-8555,Shizuoka Prefecture,1993-250 Atami Atami,255,$$$,http://www.tripadvisor.com/Hotel_Review-g298122-d479495-Reviews-Hotel_New_Akao-Atami_Shizuoka_Prefecture_Chubu.html
Kajikaso Warakutei,413-0034,Shizuoka Prefecture,17-62 Nishiyama-machi Atami,,,http://www.tripadvisor.com/Hotel_Review-g298122-d628770-Reviews-Kajikaso_Warakutei-Atami_Shizuoka_Prefecture_Chubu.html
Atami Sekitei,413-0024,Shizuoka Prefecture,6-17 Wadacho Atami,27,$$$$,http://www.tripadvisor.com/Hotel_Review-g298122-d1028469-Reviews-Atami_Sekitei-Atami_Shizuoka_Prefecture_Chubu.html
Hotel Micuras,413-0012,Shizuoka Prefecture,3-19 Higashikaigan-cho Atami,62,$$,http://www.tripadvisor.com/Hotel_Review-g298122-d1063960-Reviews-Hotel_Micuras-Atami_Shizuoka_Prefecture_Chubu.html
Isofune Hotel,413-0103,Shizuoka Prefecture,627-506 Ajiro Atami,,$$$,http://www.tripadvisor.com/Hotel_Review-g298122-d1065422-Reviews-Isofune_Hotel-Atami_Shizuoka_Prefecture_Chubu.html
Ajiro Kankou Hotel,413-0102,Shizuoka Prefecture,134 Shimotaga Atami,,$$,http://www.tripadvisor.com/Hotel_Review-g298122-d1065429-Reviews-Ajiro_Kankou_Hotel-Atami_Shizuoka_Prefecture_Chubu.html
New Tomiyoshi,413-0102,Shizuoka Prefecture,1472-1 Shimotaga Atami,,$$,http://www.tripadvisor.com/Hotel_Review-g298122-d1065432-Reviews-New_Tomiyoshi-Atami_Shizuoka_Prefecture_Chubu.html
