Turtle Inn Nikko,321-1433,Tochigi Prefecture,2-16 Takumi-cho Nikko,,$,http://www.tripadvisor.com/Hotel_Review-g298182-d304202-Reviews-Turtle_Inn_Nikko-Nikko_Tochigi_Prefecture_Kanto.html
Logette Sanbois,321-1421,Tochigi Prefecture,1560 Tokorono Nikko,8,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d304204-Reviews-Logette_Sanbois-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Kanaya Hotel,321-1401,Tochigi Prefecture,"1300, Kami-Hatsuishi-machi Nikko",71,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d304205-Reviews-Nikko_Kanaya_Hotel-Nikko_Tochigi_Prefecture_Kanto.html
Annex Turtle Hotori An,321-1433 ,Tochigi Prefecture,8-28 Takumi-cho Nikko,,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d317485-Reviews-Annex_Turtle_Hotori_An-Nikko_Tochigi_Prefecture_Kanto.html
Ryokan Kanaya,321-2522,Tochigi Prefecture,1394-1 Kinugawa Onsen Ohara Nikko,39,$$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d325885-Reviews-Ryokan_Kanaya-Nikko_Tochigi_Prefecture_Kanto.html
Kinugawa Onsen Ryokan,321-2526,Tochigi Prefecture,545 Kinugawa Onsen Taki Nikko,163,$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d325886-Reviews-Kinugawa_Onsen_Ryokan-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Senhime Monogatari,321-1432　,Tochigi Prefecture,6-48 Yasukawacho Nikko,44,$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d479497-Reviews-Nikko_Senhime_Monogatari-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Lakeside Hotel,321-1661,Tochigi Prefecture,2482 Chugushi Nikko,100,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d547106-Reviews-Nikko_Lakeside_Hotel-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Park Lodge,321-1421,Tochigi Prefecture,2828-5 Tokorono Nikko,12,$,http://www.tripadvisor.com/Hotel_Review-g298182-d606562-Reviews-Nikko_Park_Lodge-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Konishiya Hotel,321-1401,Tochigi Prefecture,1030 Kamihatsuishi-cho Nikko,,,http://www.tripadvisor.com/Hotel_Review-g298182-d614944-Reviews-Nikko_Konishiya_Hotel-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Minshuku Narusawa Lodge,321-1421,Tochigi Prefecture,1462-22 Tokorono Nikko,,$,http://www.tripadvisor.com/Hotel_Review-g298182-d627663-Reviews-Nikko_Minshuku_Narusawa_Lodge-Nikko_Tochigi_Prefecture_Kanto.html
Hotel Kosho,321-1414,Tochigi Prefecture,2400-1 Hangakimen Nikko,12,$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d652709-Reviews-Hotel_Kosho-Nikko_Tochigi_Prefecture_Kanto.html
Chuzenji Kanaya Hotel,321-1661,Tochigi Prefecture,2482 Chugushi Nikko,57,$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d678408-Reviews-Chuzenji_Kanaya_Hotel-Nikko_Tochigi_Prefecture_Kanto.html
Forest Inn Nikko Teddy Bear House,321-1421,Tochigi Prefecture,1543-507 Tokorono Nikko,20,,http://www.tripadvisor.com/Hotel_Review-g298182-d795509-Reviews-Forest_Inn_Nikko_Teddy_Bear_House-Nikko_Tochigi_Prefecture_Kanto.html
Hotel Seikoen,321-1431,Tochigi Prefecture,Sannai 2350 Nikko,,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d953120-Reviews-Hotel_Seikoen-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Tokanso,321-1432,Tochigi Prefecture,2335 Sannai Nikko,18,$,http://www.tripadvisor.com/Hotel_Review-g298182-d1051893-Reviews-Nikko_Tokanso-Nikko_Tochigi_Prefecture_Kanto.html
Hotel Natural Garden Nikko,321-1435 ,Tochigi Prefecture,1825-3 Hanaishi-cho Nikko,35,$,http://www.tripadvisor.com/Hotel_Review-g298182-d1056517-Reviews-Hotel_Natural_Garden_Nikko-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Cottage Inn Fu-Sha,321-1433,Tochigi Prefecture,8-22 Takumicho Nikko,3,$,http://www.tripadvisor.com/Hotel_Review-g298182-d1068572-Reviews-Nikko_Cottage_Inn_Fu_Sha-Nikko_Tochigi_Prefecture_Kanto.html
Asaya,321-2526,Tochigi Prefecture,813 Kinugawaonsentaki Nikko,192,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d1070194-Reviews-Asaya-Nikko_Tochigi_Prefecture_Kanto.html
Nikko Prince Hotel,321-1692,Tochigi Prefecture,2485 Chugushi Nikko,,,http://www.tripadvisor.com/Hotel_Review-g298182-d1081301-Reviews-Nikko_Prince_Hotel-Nikko_Tochigi_Prefecture_Kanto.html
Kinugawa Kanko Hotel,321-2526,Tochigi Prefecture,359-2 Kinugawa Onsentaki Nikko,167,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d1081313-Reviews-Kinugawa_Kanko_Hotel-Nikko_Tochigi_Prefecture_Kanto.html
The Pageant,321-1421,Tochigi Prefecture,1541-1383 Tokorono Nikko,,$,http://www.tripadvisor.com/Hotel_Review-g298182-d1081368-Reviews-The_Pageant-Nikko_Tochigi_Prefecture_Kanto.html
Yamashiroya,321-2601,Tochigi Prefecture,715 Yunishikawa Nikko,,$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d1081378-Reviews-Yamashiroya-Nikko_Tochigi_Prefecture_Kanto.html
Yumoto Hill Side Inn,321-1662,Tochigi Prefecture,2536 Yumoto Nikko,,$$,http://www.tripadvisor.com/Hotel_Review-g298182-d1081384-Reviews-Yumoto_Hill_Side_Inn-Nikko_Tochigi_Prefecture_Kanto.html
Kashiwaya,321-2612,Tochigi Prefecture,62 Kawaji Onsen Takahara Nikko,,$$$,http://www.tripadvisor.com/Hotel_Review-g298182-d1081393-Reviews-Kashiwaya-Nikko_Tochigi_Prefecture_Kanto.html
