Tokyu Inn Tokushima,770-0834,Tokushima Prefecture,1-24 Motomachi Tokushima,138,$,http://www.tripadvisor.com/Hotel_Review-g298236-d505981-Reviews-Tokyu_Inn_Tokushima-Tokushima_Tokushima_Prefecture_Shikoku.html
Tokushima Kenchomae Daiichi Hotel,770-0942,Tokushima Prefecture,1-15 Showacho Tokushima,63,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047852-Reviews-Tokushima_Kenchomae_Daiichi_Hotel-Tokushima_Tokushima_Prefecture_Shikoku.html
Agnes Hotel Tokushima,770-0831,Tokushima Prefecture,1-28 Terashimahonchonishi Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047861-Reviews-Agnes_Hotel_Tokushima-Tokushima_Tokushima_Prefecture_Shikoku.html
Hotel Plaza Inn Tokushima,770-0815,Tokushima Prefecture,1-20 Suketobashi Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047864-Reviews-Hotel_Plaza_Inn_Tokushima-Tokushima_Tokushima_Prefecture_Shikoku.html
Tokushima Grand Hotel Kairakuen,770-0926,Tokushima Prefecture,1-8 Igacho Tokushima,,$$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047867-Reviews-Tokushima_Grand_Hotel_Kairakuen-Tokushima_Tokushima_Prefecture_Shikoku.html
Hotel Astria,770-0833,Tokushima Prefecture,2-26-1 Ichibancho Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047874-Reviews-Hotel_Astria-Tokushima_Tokushima_Prefecture_Shikoku.html
Business Hotel New Toyo,770-0902,Tokushima Prefecture,1-33 Nishishinmachi Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047881-Reviews-Business_Hotel_New_Toyo-Tokushima_Tokushima_Prefecture_Shikoku.html
Taishoro,770-0042,Tokushima Prefecture,1-24 Kuramotocho Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047884-Reviews-Taishoro-Tokushima_Tokushima_Prefecture_Shikoku.html
Business Hotel Sasada,770-0931,Tokushima Prefecture,1-9 Tomidahama Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047898-Reviews-Business_Hotel_Sasada-Tokushima_Tokushima_Prefecture_Shikoku.html
Tokushima Washington Hotel Plaza,770-0923,Tokushima Prefecture,1-61-1 Omichi Tokushima,196,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047908-Reviews-Tokushima_Washington_Hotel_Plaza-Tokushima_Tokushima_Prefecture_Shikoku.html
Century Plaza Hotel,770-0944,Tokushima Prefecture,1-46-1 Minamishowacho Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047913-Reviews-Century_Plaza_Hotel-Tokushima_Tokushima_Prefecture_Shikoku.html
Business Hotel Nakazu,770-0856,Tokushima Prefecture,3-26-3 Nakazucho Tokushima,,,http://www.tripadvisor.com/Hotel_Review-g298236-d1047919-Reviews-Business_Hotel_Nakazu-Tokushima_Tokushima_Prefecture_Shikoku.html
Kenzan Hotel,770-0846,Tokushima Prefecture,2-11 Minamiuchimachi Tokushima,,$,http://www.tripadvisor.com/Hotel_Review-g298236-d1047926-Reviews-Kenzan_Hotel-Tokushima_Tokushima_Prefecture_Shikoku.html
Business Hotel Kondo,770-0903,Tokushima Prefecture,1-10 Nishidaikumachi Tokushima,,,http://www.tripadvisor.com/Hotel_Review-g298236-d1047936-Reviews-Business_Hotel_Kondo-Tokushima_Tokushima_Prefecture_Shikoku.html
