Business Ryokan Maizuru,120-0034,Tokyo Prefecture,3-18 Senju Adachi,,,http://www.tripadvisor.com/Hotel_Review-g1066440-d1089504-Reviews-Business_Ryokan_Maizuru-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Hotel Pine Hill Nishiarai,121-0816,Tokyo Prefecture,3-33-6 Umejima Adachi,,$,http://www.tripadvisor.com/Hotel_Review-g1066440-d1114449-Reviews-Hotel_Pine_Hill_Nishiarai-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Hotel La Firenze,121-0812,Tokyo Prefecture,4-14-22 Nishihokima Adachi,,$,http://www.tripadvisor.com/Hotel_Review-g1066440-d1114451-Reviews-Hotel_La_Firenze-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Takenotsuka Station Hotel Village,121-0813,Tokyo Prefecture,1-28-36 Takenotsuka Adachi,,,http://www.tripadvisor.com/Hotel_Review-g1066440-d1114459-Reviews-Takenotsuka_Station_Hotel_Village-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Hotel Cocogrand Kitasenju,120-0034,Tokyo Prefecture,3-40-2 Senju Adachi,100,$,http://www.tripadvisor.com/Hotel_Review-g1066440-d1486321-Reviews-Hotel_Cocogrand_Kitasenju-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Capsule Inn Kitasenju,120-0036,Tokyo Prefecture,40-9 Senju Nakacho Adachi,,,http://www.tripadvisor.com/Hotel_Review-g1066440-d1866129-Reviews-Capsule_Inn_Kitasenju-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Cupsel hotel and sauna Ginga Ayase,120-0005,Tokyo Prefecture,1-38-15 Ayase Adachi,,,http://www.tripadvisor.com/Hotel_Review-g1066440-d2271792-Reviews-Cupsel_hotel_and_sauna_Ginga_Ayase-Adachi_Tokyo_Tokyo_Prefecture_Kanto.html
Hotel Mets Akabane,115-0045,Tokyo Prefecture,1-1-76 Akabane Kita,120,$,http://www.tripadvisor.com/Hotel_Review-g1066448-d603228-Reviews-Hotel_Mets_Akabane-Kita_Tokyo_Tokyo_Prefecture_Kanto.html
Hotel Mets Tabata,114-0013,Tokyo Prefecture,1-17-20 Higashitabata Kita,98,$,http://www.tripadvisor.com/Hotel_Review-g1066448-d604443-Reviews-Hotel_Mets_Tabata-Kita_Tokyo_Tokyo_Prefecture_Kanto.html
Akabane Plaza Hotel,115-0044,Tokyo Prefecture,"1-9-12, Akabaneminami Kita",,$,http://www.tripadvisor.com/Hotel_Review-g1066448-d1082700-Reviews-Akabane_Plaza_Hotel-Kita_Tokyo_Tokyo_Prefecture_Kanto.html
