Hotel New Otani Tottori,680-0822,Tottori Prefecture,2-153 Ima-machi Tottori,137,$,http://www.tripadvisor.com/Hotel_Review-g298138-d301318-Reviews-Hotel_New_Otani_Tottori-Tottori_Tottori_Prefecture_Chugoku.html
Hotel Alpha 1 Tottori,680-0833,Tottori Prefecture,759 Suehironsencho Tottori,,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072614-Reviews-Hotel_Alpha_1_Tottori-Tottori_Tottori_Prefecture_Chugoku.html
Hotel Sakyu Center,689-0105,Tottori Prefecture,2083 Yuyama Fukube-cho Tottori,,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072616-Reviews-Hotel_Sakyu_Center-Tottori_Tottori_Prefecture_Chugoku.html
Hotel Resh Tottori Ekimae,680-0831,Tottori Prefecture,752 Sakaemachi Tottori,88,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072617-Reviews-Hotel_Resh_Tottori_Ekimae-Tottori_Tottori_Prefecture_Chugoku.html
Kansuitei Kozeniya,680-0834,Tottori Prefecture,651 Eirakuonsencho Tottori,,$$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072618-Reviews-Kansuitei_Kozeniya-Tottori_Tottori_Prefecture_Chugoku.html
Tottori Green Hotel Morris,680-0822,Tottori Prefecture,2-107 Imamachi Tottori,,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072619-Reviews-Tottori_Green_Hotel_Morris-Tottori_Tottori_Prefecture_Chugoku.html
Tottori City Hotel,680-0055,Tottori Prefecture,471 Ebisu-cho Tottori,146,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072621-Reviews-Tottori_City_Hotel-Tottori_Tottori_Prefecture_Chugoku.html
Tottori Washington Hotel Plaza,680-0835,Tottori Prefecture,102 Higashihonjicho Tottori,,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1072622-Reviews-Tottori_Washington_Hotel_Plaza-Tottori_Tottori_Prefecture_Chugoku.html
Apa Hotel Tottori Ekimae,680-0845,Tottori Prefecture,2-138-2 Tomiyasu Tottori,122,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087929-Reviews-Apa_Hotel_Tottori_Ekimae-Tottori_Tottori_Prefecture_Chugoku.html
Fukutaya Ryokan,680-1442,Tottori Prefecture,238 Yoshioka Onsencho Tottori,,$$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087934-Reviews-Fukutaya_Ryokan-Tottori_Tottori_Prefecture_Chugoku.html
Hotel Monarque Tottori,680-0834,Tottori Prefecture,403 Eiraku Onsencho Tottori,116,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087935-Reviews-Hotel_Monarque_Tottori-Tottori_Tottori_Prefecture_Chugoku.html
Hotel National,680-0834,Tottori Prefecture,159 Eiraku Onsencho Tottori,,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087936-Reviews-Hotel_National-Tottori_Tottori_Prefecture_Chugoku.html
Wellness Inn Inabaji,680-1444,Tottori Prefecture,343 Matsubara Tottori,17,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087937-Reviews-Wellness_Inn_Inabaji-Tottori_Tottori_Prefecture_Chugoku.html
Yamadaya,680-0907,Tottori Prefecture,1-5-36 Karocho Kita Tottori,,$$$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087950-Reviews-Yamadaya-Tottori_Tottori_Prefecture_Chugoku.html
Onsen Ryokan Marumo,680-0834,Tottori Prefecture,458 Eiraku Onsencho Tottori,,$$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087952-Reviews-Onsen_Ryokan_Marumo-Tottori_Tottori_Prefecture_Chugoku.html
Shinseikan,680-1442,Tottori Prefecture,753 Yoshiokaonsencho Tottori,,$$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087955-Reviews-Shinseikan-Tottori_Tottori_Prefecture_Chugoku.html
Super Hotel Tottori Stationside,680-0846　,Tottori Prefecture,5 Ogimachi Tottori,,$,http://www.tripadvisor.com/Hotel_Review-g298138-d1087957-Reviews-Super_Hotel_Tottori_Stationside-Tottori_Tottori_Prefecture_Chugoku.html
