ANA Crowne Plaza Toyama,930-0084,Toyama Prefecture,2-3 Otemachi Toyama,251,$$,http://www.tripadvisor.com/Hotel_Review-g298126-d478176-Reviews-ANA_Crowne_Plaza_Toyama-Toyama_Toyama_Prefecture_Chubu.html
Toyama Daiichi Hotel,930-0082,Toyama Prefecture,10-10 Sakuragicho Toyama,,$,http://www.tripadvisor.com/Hotel_Review-g298126-d478177-Reviews-Toyama_Daiichi_Hotel-Toyama_Toyama_Prefecture_Chubu.html
Toyama Excel Hotel Tokyu,930-0002,Toyama Prefecture,1-2-3 Shintomicho Toyama,210,$,http://www.tripadvisor.com/Hotel_Review-g298126-d505895-Reviews-Toyama_Excel_Hotel_Tokyu-Toyama_Toyama_Prefecture_Chubu.html
Crown Hills Toyama,930-0003,Toyama Prefecture,2-4-11 Sakuramachi Toyama,,$,http://www.tripadvisor.com/Hotel_Review-g298126-d506461-Reviews-Crown_Hills_Toyama-Toyama_Toyama_Prefecture_Chubu.html
Comfort Hotel Toyama Station,930-0007,Toyama Prefecture,1-3-2 Takaramachi Toyama,150,$,http://www.tripadvisor.com/Hotel_Review-g298126-d656590-Reviews-Comfort_Hotel_Toyama_Station-Toyama_Toyama_Prefecture_Chubu.html
Hamanoya,930-0002,Toyama Prefecture,2-5-1 Shintomicho Toyama,,,http://www.tripadvisor.com/Hotel_Review-g298126-d1078553-Reviews-Hamanoya-Toyama_Toyama_Prefecture_Chubu.html
Nissho,930-0813,Toyama Prefecture,1-13-32 Shimoakaemachi Toyama,,$,http://www.tripadvisor.com/Hotel_Review-g298126-d1078555-Reviews-Nissho-Toyama_Toyama_Prefecture_Chubu.html
Tomiya,930-0966,Toyama Prefecture,3-1-6 Ishigane Toyama,,,http://www.tripadvisor.com/Hotel_Review-g298126-d1078556-Reviews-Tomiya-Toyama_Toyama_Prefecture_Chubu.html
Toyama Urban Hotel,930-0041,Toyama Prefecture,1-6 Mukogawaramachi Toyama,,$,http://www.tripadvisor.com/Hotel_Review-g298126-d1078558-Reviews-Toyama_Urban_Hotel-Toyama_Toyama_Prefecture_Chubu.html
Bintel Meiken,930-1455,Toyama Prefecture,3 Hanakiriwari Hongu Toyama,,,http://www.tripadvisor.com/Hotel_Review-g298126-d1078564-Reviews-Bintel_Meiken-Toyama_Toyama_Prefecture_Chubu.html
Daiwa Roynet Hotel Toyama,930-0028,Toyama Prefecture,6-1 Aramachi Toyama,227,$,http://www.tripadvisor.com/Hotel_Review-g298126-d1078569-Reviews-Daiwa_Roynet_Hotel_Toyama-Toyama_Toyama_Prefecture_Chubu.html
Hotel Alpha-1 Toyama Aramachi,930-0028,Toyama Prefecture,4-3 Aramachi Toyama,,$,http://www.tripadvisor.com/Hotel_Review-g298126-d1079522-Reviews-Hotel_Alpha_1_Toyama_Aramachi-Toyama_Toyama_Prefecture_Chubu.html
