Granvia Wakayama Hotel,640-8342,Wakayama Prefecture,5-18 Tomoda-Cho Wakayama,155,$,http://www.tripadvisor.com/Hotel_Review-g298204-d482460-Reviews-Granvia_Wakayama_Hotel-Wakayama_Wakayama_Prefecture_Kinki.html
Tokyu Inn Wakayama,640-8232,Wakayama Prefecture,18 Minamimigiwacho Wakayama,,$,http://www.tripadvisor.com/Hotel_Review-g298204-d505966-Reviews-Tokyu_Inn_Wakayama-Wakayama_Wakayama_Prefecture_Kinki.html
Sun Hotel Wakayama,640-8342,Wakayama Prefecture,4-75 Tomodacho Wakayama,,$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047506-Reviews-Sun_Hotel_Wakayama-Wakayama_Wakayama_Prefecture_Kinki.html
Tomoe Ryokan,640-8033,Wakayama Prefecture,3-8 Honmachi Wakayama,,$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047507-Reviews-Tomoe_Ryokan-Wakayama_Wakayama_Prefecture_Kinki.html
Capsule Inn Wakayama,640-8150,Wakayama Prefecture,19 Jusanbancho Wakayama,,,http://www.tripadvisor.com/Hotel_Review-g298204-d1047508-Reviews-Capsule_Inn_Wakayama-Wakayama_Wakayama_Prefecture_Kinki.html
Atarashiya,640-0103,Wakayama Prefecture,205 Kada Wakayama,,$$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047516-Reviews-Atarashiya-Wakayama_Wakayama_Prefecture_Kinki.html
Futagojimaso,641-0062,Wakayama Prefecture,599 Saikazaki Wakayama,,$$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047521-Reviews-Futagojimaso-Wakayama_Wakayama_Prefecture_Kinki.html
Mitsui Ryokan,640-8203,Wakayama Prefecture,15 Higashikuramae Wakayama,,,http://www.tripadvisor.com/Hotel_Review-g298204-d1047525-Reviews-Mitsui_Ryokan-Wakayama_Wakayama_Prefecture_Kinki.html
Katsuya,640-8342,Wakayama Prefecture,3-12 Tomodacho Wakayama,,$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047528-Reviews-Katsuya-Wakayama_Wakayama_Prefecture_Kinki.html
Wakayama Green Hotel,640-8101,Wakayama Prefecture,38 Shinsaikamachi Wakayama,,$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047530-Reviews-Wakayama_Green_Hotel-Wakayama_Wakayama_Prefecture_Kinki.html
City Inn Wakayama,640-8343,Wakayama Prefecture,432 Yoshida Wakayama,,$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047538-Reviews-City_Inn_Wakayama-Wakayama_Wakayama_Prefecture_Kinki.html
Kimiidera Garden Hotel Hayashi,641-0012,Wakayama Prefecture,673 Kimiidera Wakayama,70,$,http://www.tripadvisor.com/Hotel_Review-g298204-d1047543-Reviews-Kimiidera_Garden_Hotel_Hayashi-Wakayama_Wakayama_Prefecture_Kinki.html
