Hotel Metropolitan Yamagata,990-0039,Yamagata Prefecture,1-1-1 Kasumi-cho Yamagata,116,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d482466-Reviews-Hotel_Metropolitan_Yamagata-Yamagata_Yamagata_Prefecture_Tohoku.html
Yamagata Grand Hotel,990-0043,Yamagata Prefecture,1-7-42 Honcho Yamagata,104,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d673645-Reviews-Yamagata_Grand_Hotel-Yamagata_Yamagata_Prefecture_Tohoku.html
Comfort Hotel Yamagata,990-0039,Yamagata Prefecture,1-3-12 Kasumi-cho Yamagata,108,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1027111-Reviews-Comfort_Hotel_Yamagata-Yamagata_Yamagata_Prefecture_Tohoku.html
Robata,990-2301,Yamagata Prefecture,42-5 Kawara Zao-onsen Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1060358-Reviews-Robata-Yamagata_Yamagata_Prefecture_Tohoku.html
Sole Inn Hotels,990-0038,Yamagata Prefecture,1-1 Saiwaicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1060362-Reviews-Sole_Inn_Hotels-Yamagata_Yamagata_Prefecture_Tohoku.html
Business Hotel Matsumi,990-2411,Yamagata Prefecture,16-11 Maetamachi Yamagata,,,http://www.tripadvisor.com/Hotel_Review-g1023191-d1060364-Reviews-Business_Hotel_Matsumi-Yamagata_Yamagata_Prefecture_Tohoku.html
Jyuhyonoie,990-2301,Yamagata Prefecture,Paradise Zao-onsen Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1060373-Reviews-Jyuhyonoie-Yamagata_Yamagata_Prefecture_Tohoku.html
Apa Hotel Yamagata-Ekimaedori,990-0031,Yamagata Prefecture,4-1-8 Tokamachi Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082191-Reviews-Apa_Hotel_Yamagata_Ekimaedori-Yamagata_Yamagata_Prefecture_Tohoku.html
Business Hotel Okazawa,990-0039,Yamagata Prefecture,1-14-13 Kasumicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082196-Reviews-Business_Hotel_Okazawa-Yamagata_Yamagata_Prefecture_Tohoku.html
Business Hotel Yoshida,990-0038,Yamagata Prefecture,3-10 Saiwaicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082199-Reviews-Business_Hotel_Yoshida-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel East One,990-0039,Yamagata Prefecture,1-18-12 Kasumicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082289-Reviews-Hotel_East_One-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel New Marble,990-0039,Yamagata Prefecture,3-1-28 Kasumicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082291-Reviews-Hotel_New_Marble-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel New Mogamiya,990-0039,Yamagata Prefecture,1-15-28 Kasumicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082293-Reviews-Hotel_New_Mogamiya-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel Oakhill,990-2301,Yamagata Prefecture,756 Zao Onsen Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082300-Reviews-Hotel_Oakhill-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel Limoges,990-0031,Yamagata Prefecture,1-1-35 Tokamachi Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082307-Reviews-Hotel_Limoges-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel Sunroute Yamagata,990-0039,Yamagata Prefecture,1-10-1 Kasumicho Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082309-Reviews-Hotel_Sunroute_Yamagata-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel Century Yamagata,990-2444,Yamagata Prefecture,2-13 Minami 4 Bancho Yamagata,,,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082324-Reviews-Hotel_Century_Yamagata-Yamagata_Yamagata_Prefecture_Tohoku.html
Hotel Stay In 7kamachi,990-0042,Yamagata Prefecture,2-7-10 Nanukamachi Yamagata,,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082330-Reviews-Hotel_Stay_In_7kamachi-Yamagata_Yamagata_Prefecture_Tohoku.html
Kinosato,990-2301,Yamagata Prefecture,1271-1 Sandogawa Zao Onsen Yamagata,,$$$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1082333-Reviews-Kinosato-Yamagata_Yamagata_Prefecture_Tohoku.html
Miyamaso Takamiya,990-2301,Yamagata Prefecture,54 Zao Onsen Yamagata,,$$$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1086027-Reviews-Miyamaso_Takamiya-Yamagata_Yamagata_Prefecture_Tohoku.html
Ohira Hotel,990-2301,Yamagata Prefecture,825 Zao Onsen Yamagata,34,$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1086028-Reviews-Ohira_Hotel-Yamagata_Yamagata_Prefecture_Tohoku.html
Omiya Ryokan,990-2301,Yamagata Prefecture,46 Zao Onsen Yamagata,,$$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1086031-Reviews-Omiya_Ryokan-Yamagata_Yamagata_Prefecture_Tohoku.html
Pension Puutaro,990-2301,Yamagata Prefecture,934-26 Zao Onsen Yamagata,,$$,http://www.tripadvisor.com/Hotel_Review-g1023191-d1086035-Reviews-Pension_Puutaro-Yamagata_Yamagata_Prefecture_Tohoku.html
