ANA Crowne Plaza Ube,755-8588,Yamaguchi Prefecture,8-1 Aioicho Ube,140,$$,http://www.tripadvisor.com/Hotel_Review-g298141-d300480-Reviews-ANA_Crowne_Plaza_Ube-Ube_Yamaguchi_Prefecture_Chugoku.html
Business Hotal Access,755-0051,Yamaguchi Prefecture,1-8-4 Uemachi Ube,,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1071862-Reviews-Business_Hotal_Access-Ube_Yamaguchi_Prefecture_Chugoku.html
Shinkawa Business Hotel,755-0051,Yamaguchi Prefecture,1-5-4 Uemachi Ube,,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1071879-Reviews-Shinkawa_Business_Hotel-Ube_Yamaguchi_Prefecture_Chugoku.html
Business Ryokan Ekimae,755-0051,Yamaguchi Prefecture,1-8-9 Uemachi Ube,,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1072332-Reviews-Business_Ryokan_Ekimae-Ube_Yamaguchi_Prefecture_Chugoku.html
Hotel Media Ube,755-0042,Yamaguchi Prefecture,3-15 Matsushimacho Ube,,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1072333-Reviews-Hotel_Media_Ube-Ube_Yamaguchi_Prefecture_Chugoku.html
Royal City Hotel,755-0019,Yamaguchi Prefecture,1-28 Higashishinkawacho Ube,,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1072334-Reviews-Royal_City_Hotel-Ube_Yamaguchi_Prefecture_Chugoku.html
Ube Station Hotel,759-0207,Yamaguchi Prefecture,3-2-39 Nishiube Minami Ube,60,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1072339-Reviews-Ube_Station_Hotel-Ube_Yamaguchi_Prefecture_Chugoku.html
Business Hotel ube,755-0032,Yamaguchi Prefecture,3-7-5 Kotobukicho Ube,,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1072340-Reviews-Business_Hotel_ube-Ube_Yamaguchi_Prefecture_Chugoku.html
International Hotel Ube,755-0047,Yamaguchi Prefecture,1-7-1 Shima Ube,106,$$,http://www.tripadvisor.com/Hotel_Review-g298141-d1072341-Reviews-International_Hotel_Ube-Ube_Yamaguchi_Prefecture_Chugoku.html
Super Hotel City Ube,755-0045,Yamaguchi Prefecture,3-14-14 Chuocho Ube,108,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1090095-Reviews-Super_Hotel_City_Ube-Ube_Yamaguchi_Prefecture_Chugoku.html
Cocoland Yamaguchi Ube,755-0091 ,Yamaguchi Prefecture,75 Kamiube Ube,50,$,http://www.tripadvisor.com/Hotel_Review-g298141-d1090096-Reviews-Cocoland_Yamaguchi_Ube-Ube_Yamaguchi_Prefecture_Chugoku.html
Business Hotel Ohmori,755-0013,Yamaguchi Prefecture,1-2-15 Meijimachi Ube,,,http://www.tripadvisor.com/Hotel_Review-g298141-d1090097-Reviews-Business_Hotel_Ohmori-Ube_Yamaguchi_Prefecture_Chugoku.html
