Hotel New Station,400-0024,Yamanashi Prefecture,1-4-15 Kitaguchi Kofu,80,$,http://www.tripadvisor.com/Hotel_Review-g298128-d794253-Reviews-Hotel_New_Station-Kofu_Yamanashi_Prefecture_Chubu.html
Konaya Hotel Urban Villa,400-0032,Yamanashi Prefecture,1-7-15 Chuo Kofu,36,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1063055-Reviews-Konaya_Hotel_Urban_Villa-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Viento,400-0043,Yamanashi Prefecture,5-6-3 Kokubo Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1064335-Reviews-Hotel_Viento-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Azuma,400-0031,Yamanashi Prefecture,3-4-11 Marunochi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064340-Reviews-Business_Hotel_Azuma-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Minazuki,400-0031,Yamanashi Prefecture,3-19-10 Marunochi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064348-Reviews-Business_Hotel_Minazuki-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Danrokan,400-0031,Yamanashi Prefecture,1-19-16 Marunochi Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064355-Reviews-Hotel_Danrokan-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Kikufuji,400-0025,Yamanashi Prefecture,4-6-2 Asahi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064366-Reviews-Hotel_Kikufuji-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Naito Aioi,400-0858,Yamanashi Prefecture,2-2-15 Aioi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1064375-Reviews-Hotel_Naito_Aioi-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Naito Showa,400-0043,Yamanashi Prefecture,7-12-3 Kokubo Kofu,152,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064380-Reviews-Hotel_Naito_Showa-Kofu_Yamanashi_Prefecture_Chubu.html
Route Inn Court Kofu,400-0049,Yamanashi Prefecture,2-2-24 Tomitake Kofu,64,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064387-Reviews-Route_Inn_Court_Kofu-Kofu_Yamanashi_Prefecture_Chubu.html
Sea Luck Pal Kofu,400-0047,Yamanashi Prefecture,3-11-9 Tokugyo Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064391-Reviews-Sea_Luck_Pal_Kofu-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel 1-2-3 Kofu Shingen Onsen,400-0043,Yamanashi Prefecture,8-1-1_Kokubo Kofu,85,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064397-Reviews-Hotel_1_2_3_Kofu_Shingen_Onsen-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Yoshino,400-0073,Yamanashi Prefecture,3-11-14 Yumura Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1064403-Reviews-Hotel_Yoshino-Kofu_Yamanashi_Prefecture_Chubu.html
Kofu Fujiya Hotel,400-0073,Yamanashi Prefecture,3-2-30 Yumura Kofu,102,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064410-Reviews-Kofu_Fujiya_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Kofu Hotel,400-0024,Yamanashi Prefecture,1-2-17 Kitaguchi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064417-Reviews-Kofu_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Prince Hotel Asahikan,400-0025,Yamanashi Prefecture,2-5-13 Asahi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064421-Reviews-Prince_Hotel_Asahikan-Kofu_Yamanashi_Prefecture_Chubu.html
Terminal Hotel,400-0031,Yamanashi Prefecture,1-2-12 Marunochi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064422-Reviews-Terminal_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Washington Hotel Plaza,400-0032,Yamanashi Prefecture,4-3-5 Chuo Kofu,243,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064423-Reviews-Washington_Hotel_Plaza-Kofu_Yamanashi_Prefecture_Chubu.html
Yumura Hotel B&B,400-0073,Yamanashi Prefecture,3-3-11 Yumura Kofu,99,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064426-Reviews-Yumura_Hotel_B_B-Kofu_Yamanashi_Prefecture_Chubu.html
Meiji,400-0073,Yamanashi Prefecture,3-10-14 Yumura Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064427-Reviews-Meiji-Kofu_Yamanashi_Prefecture_Chubu.html
Sun Park Hotel Naito,400-0031,Yamanashi Prefecture,1-4-18 Marunochi Kofu,191,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064429-Reviews-Sun_Park_Hotel_Naito-Kofu_Yamanashi_Prefecture_Chubu.html
Sentia Hotel Naito,400-0858,Yamanashi Prefecture,2-3-16 Aioi Kofu,95,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064430-Reviews-Sentia_Hotel_Naito-Kofu_Yamanashi_Prefecture_Chubu.html
Century Hotel Kofu,400-0845,Yamanashi Prefecture,1031-3 Kamiimaicho Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1064432-Reviews-Century_Hotel_Kofu-Kofu_Yamanashi_Prefecture_Chubu.html
Best Inn Kofu,400-0047,Yamanashi Prefecture,4-15-42 Tokugyo Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085506-Reviews-Best_Inn_Kofu-Kofu_Yamanashi_Prefecture_Chubu.html
Business Inn Kokubo,400-0043,Yamanashi Prefecture,4-21-17 Kokubo Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1085630-Reviews-Business_Inn_Kokubo-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Fujio,400-0031,Yamanashi Prefecture,1-7-4 Marunouchi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1085666-Reviews-Hotel_Fujio-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Crown Palais Kofu,400-0862,Yamanashi Prefecture,1-2-1 Asake Kofu,47,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085699-Reviews-Hotel_Crown_Palais_Kofu-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Yuo Onsen,400-0851,Yamanashi Prefecture,5-10-18 Sumiyoshi Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085707-Reviews-Hotel_Yuo_Onsen-Kofu_Yamanashi_Prefecture_Chubu.html
KKR Kofu New Fuyo,400-0026,Yamanashi Prefecture,3-6-10 Shiobe Kofu,20,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085722-Reviews-KKR_Kofu_New_Fuyo-Kofu_Yamanashi_Prefecture_Chubu.html
Kofu East Side Hotel,400-0814,Yamanashi Prefecture,302-1 Kamia Hara-machi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085736-Reviews-Kofu_East_Side_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Manshukaku,400-0031,Yamanashi Prefecture,2-15-15 Marunouchi Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085742-Reviews-Manshukaku-Kofu_Yamanashi_Prefecture_Chubu.html
Sekisuiji Onsen Yogai,400-0011,Yamanashi Prefecture,1003 Kamiseki Suiji-machi Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085973-Reviews-Sekisuiji_Onsen_Yogai-Kofu_Yamanashi_Prefecture_Chubu.html
Shosenkyo Keikoku Hotel,400-1214,Yamanashi Prefecture,1007 Takanari-cho Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085977-Reviews-Shosenkyo_Keikoku_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Dormy Inn Kofu,400-0032,Yamanashi Prefecture,1-14-3 Chuo Kofu,189,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085979-Reviews-Dormy_Inn_Kofu-Kofu_Yamanashi_Prefecture_Chubu.html
Yumura Tokiwa Hotel,400-0073,Yamanashi Prefecture,2-5-21 Yumura Kofu,50,$$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085984-Reviews-Yumura_Tokiwa_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Yanagiya,400-0073,Yamanashi Prefecture,3-16-2 Yumura Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085986-Reviews-Yanagiya-Kofu_Yamanashi_Prefecture_Chubu.html
Yumoto Hotel Norayu,400-0073,Yamanashi Prefecture,3-11-30 Yumura Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1085988-Reviews-Yumoto_Hotel_Norayu-Kofu_Yamanashi_Prefecture_Chubu.html
Yushimanosato Rakusuien,400-0073,Yamanashi Prefecture,1-11-5 Yumura Kofu,,$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085990-Reviews-Yushimanosato_Rakusuien-Kofu_Yamanashi_Prefecture_Chubu.html
Toyoko Inn Kofueki Minamiguchi 1,400-0031,Yamanashi Prefecture,1-13-20 Marunouchi Kofu,191,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1085993-Reviews-Toyoko_Inn_Kofueki_Minamiguchi_1-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Daishin,400-0834,Yamanashi Prefecture,1203-7 Ochiai-cho Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1086030-Reviews-Business_Hotel_Daishin-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Nissho,400-0025,Yamanashi Prefecture,5-11-18 Asahi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1095563-Reviews-Hotel_Nissho-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Azumakan,400-0031 ,Yamanashi Prefecture,3-33-4 Marunouchi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1108488-Reviews-Hotel_Azumakan-Kofu_Yamanashi_Prefecture_Chubu.html
Zaboan,400-0011,Yamanashi Prefecture,1614 Kami Sekisuijimachi Kofu,28,$$$,http://www.tripadvisor.com/Hotel_Review-g298128-d1108492-Reviews-Zaboan-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Nishiko,400-0031 ,Yamanashi Prefecture,1-19-1 Marunouchi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1108493-Reviews-Business_Hotel_Nishiko-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Taisei,400-0032 ,Yamanashi Prefecture,1-12-26 Chuo Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1108494-Reviews-Business_Hotel_Taisei-Kofu_Yamanashi_Prefecture_Chubu.html
Royal Garden Hotel,400-0858,Yamanashi Prefecture,1-3-17 Aioi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1111228-Reviews-Royal_Garden_Hotel-Kofu_Yamanashi_Prefecture_Chubu.html
Yamabiko Ryokan,400-0026,Yamanashi Prefecture,1-14-17 Shiobe Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1111239-Reviews-Yamabiko_Ryokan-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Asahi,400-0031,Yamanashi Prefecture,3-33-2 Marunochi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1111243-Reviews-Business_Hotel_Asahi-Kofu_Yamanashi_Prefecture_Chubu.html
Business Hotel Aikawa,400-0031,Yamanashi Prefecture,2-4-18 Marunochi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1111252-Reviews-Business_Hotel_Aikawa-Kofu_Yamanashi_Prefecture_Chubu.html
Aioi Ryokan,400-0858,Yamanashi Prefecture,2-16-11 Aioi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1111256-Reviews-Aioi_Ryokan-Kofu_Yamanashi_Prefecture_Chubu.html
Koboyu,400-0073,Yamanashi Prefecture,3-16-16 Yumura Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1111257-Reviews-Koboyu-Kofu_Yamanashi_Prefecture_Chubu.html
Seiunso,400-1217,Yamanashi Prefecture,383 Ikaricho Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1111259-Reviews-Seiunso-Kofu_Yamanashi_Prefecture_Chubu.html
Hotel Yuden,400-0073,Yamanashi Prefecture,3-11-10 Yumura Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1128863-Reviews-Hotel_Yuden-Kofu_Yamanashi_Prefecture_Chubu.html
Toyoko Inn Kofueki Minamiguchi,400-0031,Yamanashi Prefecture,2-3-2 Marunouchi Kofu,,$,http://www.tripadvisor.com/Hotel_Review-g298128-d1497060-Reviews-Toyoko_Inn_Kofueki_Minamiguchi-Kofu_Yamanashi_Prefecture_Chubu.html
Mifuji Ryokan,400-0025,Yamanashi Prefecture,1-8-2 Asahi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1566458-Reviews-Mifuji_Ryokan-Kofu_Yamanashi_Prefecture_Chubu.html
Yamashiro Onsen,400-0835,Yamanashi Prefecture,51-11 Shimokajiyamachi Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d1879653-Reviews-Yamashiro_Onsen-Kofu_Yamanashi_Prefecture_Chubu.html
Kamenoi Hotel Yamanashi Kofuminami IC,400-1508,Yamanashi Prefecture,423-1 Shimosonecho Kofu,92,$,http://www.tripadvisor.com/Hotel_Review-g298128-d2109328-Reviews-Kamenoi_Hotel_Yamanashi_Kofuminami_IC-Kofu_Yamanashi_Prefecture_Chubu.html
Privatestay Hotel Tachibana,400-0031,Yamanashi Prefecture,1-7-4 Marunouchi Kofu,21,$,http://www.tripadvisor.com/Hotel_Review-g298128-d2243134-Reviews-Privatestay_Hotel_Tachibana-Kofu_Yamanashi_Prefecture_Chubu.html
Kikusui Ryokan,400-1501,Yamanashi Prefecture,1870 Kamisonecho Kofu,,,http://www.tripadvisor.com/Hotel_Review-g298128-d3463022-Reviews-Kikusui_Ryokan-Kofu_Yamanashi_Prefecture_Chubu.html
Fujinoya Yutei,406-0023,Yamanashi Prefecture,"286 Hatsuta, Isawacho Fuefuki",,$$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064837-Reviews-Fujinoya_Yutei-Fuefuki_Yamanashi_Prefecture_Chubu.html
Keizan,406-0031,Yamanashi Prefecture,"822 Ichibe, Isawacho Fuefuki",122,$$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064838-Reviews-Keizan-Fuefuki_Yamanashi_Prefecture_Chubu.html
Hotel Hana Isawa,406-0021,Yamanashi Prefecture,"1409 Matsumoto, Isawacho Fuefuki",,$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064842-Reviews-Hotel_Hana_Isawa-Fuefuki_Yamanashi_Prefecture_Chubu.html
Hotel Hatsuta,406-0024,Yamanashi Prefecture,1607 Isawacho Kawanaka-jima Fuefuki,,$$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064843-Reviews-Hotel_Hatsuta-Fuefuki_Yamanashi_Prefecture_Chubu.html
Hotel Heisei,406-0031,Yamanashi Prefecture,"789-14 Ichibe, Isawacho Fuefuki",,$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064846-Reviews-Hotel_Heisei-Fuefuki_Yamanashi_Prefecture_Chubu.html
Kaiji,406-0024,Yamanashi Prefecture,1607-40 Isawachokawanakajima Fuefuki,,$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064848-Reviews-Kaiji-Fuefuki_Yamanashi_Prefecture_Chubu.html
Hotel Kasugai,406-0004,Yamanashi Prefecture,"855 Komatsu, Kasugaicho Fuefuki",86,$$,http://www.tripadvisor.com/Hotel_Review-g1021447-d1064852-Reviews-Hotel_Kasugai-Fuefuki_Yamanashi_Prefecture_Chubu.html
